Grade,Name,Category,SubCategory,Group,Density (g/cm³),Melting Point (°C),Thermal Conductivity (W/m·K),Tensile Strength (MPa),Yield Strength (MPa),Elongation (%),Hardness,Machinability,Weldability,Cost Tier,Cost Index
09MnNiD,低温用钢,metal,ferrous,alloy_steel,7.85,1490,38,490,315,22,HB140-180,good,good,3,4.5
0Cr25Ni20,耐热不锈钢,metal,ferrous,stainless_steel,7.98,1400,14,520,205,35,HB190-220,poor,good,3,5.0
10,低碳钢,metal,ferrous,carbon_steel,7.85,1525,54.6,335,205,31,HB100-130,excellent,excellent,1,1.0
1060,工业纯铝,metal,non_ferrous,aluminum,2.7,660,234,70,30,43,HB23,excellent,excellent,1,1.0
12Cr1MoV,耐热钢,metal,ferrous,alloy_steel,7.85,1500,35,490,275,20,HB156-207,good,fair,2,2.8
12Cr2Mo1R,压力容器用钢,metal,ferrous,alloy_steel,7.85,1480,36,515,310,18,HB150-200,fair,fair,3,4.0
12L14,含铅易切削钢,metal,ferrous,free_cutting_steel,7.87,1500,51,390,230,22,HB160-200,excellent,poor,2,1.8
15,低碳钢,metal,ferrous,carbon_steel,7.85,1520,52.7,375,225,27,HB110-140,excellent,excellent,1,1.0
15-5PH,沉淀硬化不锈钢,metal,ferrous,stainless_steel,7.8,1400,18.4,1070,1000,10,HRC35-42,fair,good,3,7.0
15CrMoG,锅炉用合金钢,metal,ferrous,alloy_steel,7.85,1490,40,440,295,21,HB130-180,good,good,2,2.5
15MnVB,低碳硼钢,metal,ferrous,chain_steel,7.85,1495,47,880,685,12,表面HRC56-60，心部HRC28-38,good,good,2,1.8
16MnDR,低温压力容器用钢,metal,ferrous,alloy_steel,7.85,1495,45,490,295,21,HB130-170,good,good,2,2.8
17-4PH,沉淀硬化不锈钢,metal,ferrous,stainless_steel,7.78,1400,18.3,1310,1170,10,HRC40-45,fair,fair,3,8.0
1Cr17,铁素体不锈钢,metal,ferrous,stainless_steel,7.7,1500,26,450,275,20,HB180-220,good,fair,2,2.5
1J79,坡莫合金,metal,non_ferrous,precision_alloy,8.6,1410,17,500,200,40,HB120-150,good,good,4,25.0
20,低碳钢,metal,ferrous,carbon_steel,7.85,1510,51.9,410,245,25,HB120-160,excellent,excellent,1,1.1
2024,硬铝合金,metal,non_ferrous,aluminum,2.78,502,121,470,325,10,HB120,good,poor,2,3.8
20Cr,渗碳钢,metal,ferrous,alloy_steel,7.85,1470,38,835,540,15,HRC56-62,good,fair,2,1.6
20Cr13,马氏体不锈钢,metal,ferrous,stainless_steel,7.75,1530,25.2,690,490,15,HRC50-55,fair,poor,2,2.0
20CrMnTi,渗碳齿轮钢,metal,ferrous,gear_steel,7.87,1480,45,1080,835,0.5,表面HRC58-62，心部HRC30-45,good,fair,2,2.2
20CrMo,铬钼渗碳钢,metal,ferrous,gear_steel,7.87,1485,42,980,785,12,表面HRC58-62，心部HRC28-42,good,fair,2,2.5
20CrNiMo,铬镍钼渗碳钢,metal,ferrous,gear_steel,7.85,1475,38,1080,880,10,表面HRC58-64，心部HRC35-48,fair,fair,2,3.5
20G,锅炉用碳素钢,metal,ferrous,carbon_steel,7.85,1500,50,410,245,24,HB120-160,good,excellent,1,1.3
20MnVB,渗碳硼钢,metal,ferrous,chain_steel,7.85,1490,45,980,785,10,表面HRC58-62，心部HRC30-40,good,fair,2,2.0
2205,双相不锈钢,metal,ferrous,stainless_steel,7.8,1385,19,620,450,25,HB290,fair,good,3,6.0
22MnB5,热成形钢,metal,ferrous,chain_steel,7.85,1490,42,1500,1100,5,HV450-500,poor,fair,2,2.5
2507,超级双相不锈钢,metal,ferrous,stainless_steel,7.8,1350,14,800,550,15,HB310,poor,fair,3,8.0
254SMO,超级奥氏体不锈钢,metal,ferrous,stainless_steel,8.0,1340,13.5,650,310,40,HB180-220,fair,good,4,18.0
2A12,硬铝合金,metal,non_ferrous,aluminum,2.78,502,121,470,325,12,HB105,good,poor,2,3.5
2A14,高强铝合金,metal,non_ferrous,aluminum,2.8,635,155,470,415,8,HB135,good,poor,3,4.0
2Cr13,马氏体不锈钢,metal,ferrous,stainless_steel,7.75,1480,25,735,540,12,HRC45-50,fair,fair,2,2.8
3003,防锈铝合金,metal,non_ferrous,aluminum,2.73,655,193,130,110,20,HB40,excellent,excellent,1,1.2
30CrMnSi,高强度结构钢,metal,ferrous,alloy_steel,7.85,1485,35,1080,885,11,HB270-320,fair,fair,2,2.2
30Q130,冷轧取向硅钢,metal,ferrous,electrical_steel,7.65,1500,18,350,250,2,HV150-180,fair,poor,3,5.0
310S,耐热不锈钢,metal,ferrous,corrosion_resistant,7.98,1400,14.2,520,205,40,HB150-190,fair,good,3,5.0
316L-Medical,医用不锈钢,metal,ferrous,medical_alloy,8.0,1400,14,580,290,40,HB200,good,good,4,25.0
316L-PM,316L不锈钢粉末冶金,metal,ferrous,powder_metallurgy,7.6,1400,14,480,170,15,HRB70-85,fair,fair,3,8.0
316Ti,钛稳定奥氏体不锈钢,metal,ferrous,stainless_steel,8.0,1400,14.6,520,220,35,HB150-190,fair,excellent,3,5.5
321,钛稳定奥氏体不锈钢,metal,ferrous,stainless_steel,7.9,1400,16.1,520,205,40,HB150-190,fair,excellent,2,4.0
347,铌稳定奥氏体不锈钢,metal,ferrous,stainless_steel,7.9,1400,16.2,515,205,40,HB150-190,fair,excellent,3,4.5
35,中碳钢,metal,ferrous,carbon_steel,7.85,1495,49,530,315,20,HB150-190,good,fair,1,1.2
38CrMoAl,氮化钢,metal,ferrous,alloy_steel,7.85,1480,33,980,835,10,HV850-1000,fair,poor,2,2.5
40Cr,铬钢,metal,ferrous,alloy_steel,7.85,1480,42,980,785,9,HB207-255,good,fair,2,1.8
410,马氏体不锈钢,metal,ferrous,stainless_steel,7.75,1480,24.9,550,345,20,HRC38-45,good,fair,2,2.8
42CrMo,铬钼钢,metal,ferrous,alloy_steel,7.85,1470,40,1080,930,12,HB217-269,good,fair,2,2.2
430,铁素体不锈钢,metal,ferrous,stainless_steel,7.7,1425,26.1,450,205,22,HB150-180,good,fair,2,2.5
45,优质碳素结构钢,metal,ferrous,carbon_steel,7.85,1495,48,600,355,16,HB170-220,good,fair,1,1.3
4Cr10Si2Mo,马氏体耐热钢,metal,ferrous,valve_steel,7.7,1480,24,980,785,0.5,HRC38-45,fair,poor,3,8.0
4Cr14Ni14W2Mo,高温气门钢,metal,ferrous,valve_steel,7.95,1380,12,880,590,12,HB280-350,poor,fair,4,25.0
4J29,可伐合金,metal,non_ferrous,precision_alloy,8.36,1450,17.3,520,350,25,HB150-200,fair,excellent,4,18.0
4J32,超因瓦合金,metal,non_ferrous,low_expansion_alloy,8.15,1425,12,480,260,30,HB150,fair,good,4,45.0
4J36,因瓦合金,metal,non_ferrous,precision_alloy,8.05,1430,10.5,500,280,30,HB160-200,fair,good,4,15.0
4J42,恒弹性合金,metal,non_ferrous,precision_alloy,8.12,1425,14,600,350,20,HB180-220,fair,good,4,16.0
50,中碳钢,metal,ferrous,carbon_steel,7.85,1480,47,630,375,14,HB180-230,good,fair,1,1.4
5052,防锈铝合金,metal,non_ferrous,aluminum,2.68,607,138,230,195,12,HB60,good,excellent,2,2.5
5083,船用铝合金,metal,non_ferrous,aluminum,2.66,591,121,315,230,14,HB75,good,excellent,2,3.2
50CrVA,铬钒弹簧钢,metal,ferrous,spring_steel,7.85,1475,34,1570,1370,6,HRC47-55,fair,poor,2,3.0
50W470,冷轧无取向硅钢,metal,ferrous,electrical_steel,7.65,1500,25,450,320,3,HV180-220,good,fair,2,2.5
