file_path,cache_path,taxonomy_v2_class
/Users/chouhua/Downloads/Github/cad-ml-platform/data/training/其他/BTJ01230901522-00汽水分离器v1.dxf,data/graph_cache/ad49e50b3165e49a0c0897df2ccb4a51.pt,分离器
/Users/chouhua/Downloads/Github/cad-ml-platform/data/training/其他/BTJ01230901522-00汽水分离器v2.dxf,data/graph_cache/51af38a56c10c550f1cdda7c96ebcef8.pt,分离器
/Users/chouhua/Downloads/Github/cad-ml-platform/data/training/其他/BTJ01231101522-00自动进料装置v1.dxf,data/graph_cache/42e33bba148076b23a0bc4f88360ecba.pt,进出料装置
/Users/chouhua/Downloads/Github/cad-ml-platform/data/training/其他/BTJ01231101522-00自动进料装置v2.dxf,data/graph_cache/359457c6fca0f452f5038fb66628ae62.pt,进出料装置
/Users/chouhua/Downloads/Github/cad-ml-platform/data/training/其他/BTJ01231201522-00拖车DN1500v1.dxf,data/graph_cache/2f0afe21f3515dafc36d19959681ae12.pt,支架
/Users/chouhua/Downloads/Github/cad-ml-platform/data/training/其他/BTJ01231201522-00拖车DN1500v2.dxf,data/graph_cache/b5b5b8f1c192016d7f1c1e808e409dd1.pt,支架
/Users/chouhua/Downloads/Github/cad-ml-platform/data/training/其他/BTJ01231301522-00蜗轮蜗杆传动出料机构v1.dxf,data/graph_cache/b2f698004cd9101df5bdf6b1e422a651.pt,传动件
/Users/chouhua/Downloads/Github/cad-ml-platform/data/training/其他/BTJ01231301522-00蜗轮蜗杆传动出料机构v2.dxf,data/graph_cache/ee33cdf80cdebf4154149798ad6dfc55.pt,传动件
/Users/chouhua/Downloads/Github/cad-ml-platform/data/training/其他/BTJ01231301522-00蜗轮蜗杆传动出料机构v3.dxf,data/graph_cache/da5a0fb538f6f33f9328805b38be9bf3.pt,传动件
/Users/chouhua/Downloads/Github/cad-ml-platform/data/training/其他/BTJ01232801522-01电加热箱v1.dxf,data/graph_cache/fd97d91220ed527e5673f9b84007358a.pt,箱体
/Users/chouhua/Downloads/Github/cad-ml-platform/data/training/其他/BTJ01232801522-01电加热箱v2.dxf,data/graph_cache/ddd33ba8eeac72014ede90fb0f4fce98.pt,箱体
/Users/chouhua/Downloads/Github/cad-ml-platform/data/training/其他/J0224025-06-01-03出料凸缘v2.dxf,data/graph_cache/20c977dc4b397fb82335c43b84dc08ca.pt,法兰
/Users/chouhua/Downloads/Github/cad-ml-platform/data/training/其他/J0224036-10搅拌减速机机罩v1.dxf,data/graph_cache/ae9faa3484884113a89a8a2e988bf579.pt,搅拌器
