file_name,stem,label_cn,version,part_code,is_comparison,relative_path,source_dir
2004阶梯轴7.dwg,2004阶梯轴7,阶梯轴,,2004,0,2004阶梯轴7.dwg,蜗杆与箱体
2004阶梯轴71.dwg,2004阶梯轴71,阶梯轴,,2004,0,2004阶梯轴71.dwg,蜗杆与箱体
2004零件轴改6.dwg,2004零件轴改6,零件轴改,,2004,0,2004零件轴改6.dwg,蜗杆与箱体
2004零件轴改7.dwg,2004零件轴改7,零件轴改,,2004,0,2004零件轴改7.dwg,蜗杆与箱体
改箱体右盖123.dwg,改箱体右盖123,改箱体右盖,,,0,改箱体右盖123.dwg,蜗杆与箱体
传动轴.dwg,传动轴,传动轴,,,0,老接的/传动轴.dwg,蜗杆与箱体
压下螺丝.dwg,压下螺丝,压下螺丝,,,0,老接的/压下螺丝.dwg,蜗杆与箱体
涡轮.dwg,涡轮,涡轮,,,0,老接的/涡轮.dwg,蜗杆与箱体
蜗杆.dwg,蜗杆,蜗杆,,,0,老接的/蜗杆.dwg,蜗杆与箱体
轴承外圈强化研磨上下料系统11-2.dwg,轴承外圈强化研磨上下料系统11-2,轴承外圈强化研磨上下料系统,,,0,轴承外圈强化研磨上下料系统11-2.dwg,蜗杆与箱体
1.dwg,1,练习零件图,,,0,1.dwg,机械零件CAD图纸
10.dwg,10,练习零件图,,,0,10.dwg,机械零件CAD图纸
11001床身装配图.dwg,11001床身装配图,床身装配图,,11001,0,11001床身装配图.dwg,机械零件CAD图纸
2.dwg,2,练习零件图,,,0,2.dwg,机械零件CAD图纸
3.dwg,3,练习零件图,,,0,3.dwg,机械零件CAD图纸
31001-1.dwg,31001-1,差动机构,,,0,31001-1.dwg,机械零件CAD图纸
31001-2.dwg,31001-2,蜗杆,,,0,31001-2.dwg,机械零件CAD图纸
32001差动机构.dwg,32001差动机构,差动机构,,32001,0,32001差动机构.dwg,机械零件CAD图纸
35001滑板装配图.dwg,35001滑板装配图,滑板装配图,,35001,0,35001滑板装配图.dwg,机械零件CAD图纸
4.dwg,4,练习零件图,,,0,4.dwg,机械零件CAD图纸
44001液压原理图 070210.dwg,44001液压原理图 070210,液压原理图,,44001,0,44001液压原理图 070210.dwg,机械零件CAD图纸
44002液压系统管路图.dwg,44002液压系统管路图,液压系统管路图,,44002,0,44002液压系统管路图.dwg,机械零件CAD图纸
