file_name,output_path,status,error,relative_path,source_dir
2004阶梯轴7.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/2004阶梯轴7.dxf,ok,,2004阶梯轴7.dwg,蜗杆与箱体
2004阶梯轴71.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/2004阶梯轴71.dxf,ok,,2004阶梯轴71.dwg,蜗杆与箱体
2004零件轴改6.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/2004零件轴改6.dxf,ok,,2004零件轴改6.dwg,蜗杆与箱体
2004零件轴改7.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/2004零件轴改7.dxf,ok,,2004零件轴改7.dwg,蜗杆与箱体
改箱体右盖123.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/改箱体右盖123.dxf,ok,,改箱体右盖123.dwg,蜗杆与箱体
传动轴.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/传动轴.dxf,ok,,老接的/传动轴.dwg,蜗杆与箱体
压下螺丝.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/压下螺丝.dxf,ok,,老接的/压下螺丝.dwg,蜗杆与箱体
涡轮.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/涡轮.dxf,ok,,老接的/涡轮.dwg,蜗杆与箱体
蜗杆.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/蜗杆.dxf,ok,,老接的/蜗杆.dwg,蜗杆与箱体
轴承外圈强化研磨上下料系统11-2.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/轴承外圈强化研磨上下料系统11-2.dxf,ok,,轴承外圈强化研磨上下料系统11-2.dwg,蜗杆与箱体
1.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/1.dxf,ok,,1.dwg,机械零件CAD图纸
10.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/10.dxf,ok,,10.dwg,机械零件CAD图纸
11001床身装配图.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/11001床身装配图.dxf,ok,,11001床身装配图.dwg,机械零件CAD图纸
2.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/2.dxf,ok,,2.dwg,机械零件CAD图纸
3.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/3.dxf,ok,,3.dwg,机械零件CAD图纸
