file_name,stem,label_cn,version,part_code,is_comparison,relative_path,source_dir
2004阶梯轴7.dwg,2004阶梯轴7,阶梯轴,,2004,0,2004阶梯轴7.dwg,蜗杆与箱体
2004阶梯轴71.dwg,2004阶梯轴71,阶梯轴,,2004,0,2004阶梯轴71.dwg,蜗杆与箱体
2004零件轴改6.dwg,2004零件轴改6,零件轴改,,2004,0,2004零件轴改6.dwg,蜗杆与箱体
2004零件轴改7.dwg,2004零件轴改7,零件轴改,,2004,0,2004零件轴改7.dwg,蜗杆与箱体
蜗杆.dwg,蜗杆,蜗杆,,,0,老接的/蜗杆.dwg,蜗杆与箱体
1.dwg,1,练习零件图,,,0,1.dwg,机械零件CAD图纸
10.dwg,10,练习零件图,,,0,10.dwg,机械零件CAD图纸
2.dwg,2,练习零件图,,,0,2.dwg,机械零件CAD图纸
3.dwg,3,练习零件图,,,0,3.dwg,机械零件CAD图纸
31001-1.dwg,31001-1,差动机构,,,0,31001-1.dwg,机械零件CAD图纸
31001-2.dwg,31001-2,蜗杆,,,0,31001-2.dwg,机械零件CAD图纸
32001差动机构.dwg,32001差动机构,差动机构,,32001,0,32001差动机构.dwg,机械零件CAD图纸
4.dwg,4,练习零件图,,,0,4.dwg,机械零件CAD图纸
6.dwg,6,练习零件图,,,0,6.dwg,机械零件CAD图纸
7.dwg,7,练习零件图,,,0,7.dwg,机械零件CAD图纸
8.dwg,8,练习零件图,,,0,8.dwg,机械零件CAD图纸
9.dwg,9,练习零件图,,,0,9.dwg,机械零件CAD图纸
PE2540.0.dwg,PE2540.0,挡板,,,0,PE2540.0.dwg,机械零件CAD图纸
底座视图.dwg,底座视图,底座视图,,,0,底座视图.dwg,机械零件CAD图纸
泵盖图.dwg,泵盖图,泵盖图,,,0,泵盖图.dwg,机械零件CAD图纸
FU200-02-01-2.DWG,FU200-02-01-2,轴承座,,,0,FU200-02-01-2.DWG,机械零件CAD图纸
JDD00000.DWG,JDD00000,挡板,,,0,JDD00000.DWG,机械零件CAD图纸
JDE00000.DWG,JDE00000,底板,,,0,JDE00000.DWG,机械零件CAD图纸
JDF00000.DWG,JDF00000,轴承座,,,0,JDF00000.DWG,机械零件CAD图纸
激光固定座.dwg,激光固定座,激光固定座,,,0,2007版本的/激光固定座.dwg,机械CAD图纸
激光固定座2.dwg,激光固定座2,激光固定座,,,0,2007版本的/激光固定座2.dwg,机械CAD图纸
