label_cn,count,suggested_group,action,rule,notes
机械制图,71,机械制图,keep,keep,
机械平面图,9,机械平面图,keep,keep,
练习零件图,9,练习零件图,keep,keep,
模板,5,模板,keep,keep,
三视图,3,三视图,keep,keep,
轴的标注,3,轴的标注,keep,keep,
三视图练习,2,三视图练习,keep,keep,
后桥装配,2,后桥装配,keep,keep,
圆柱滚子轴承,2,圆柱滚子轴承,keep,keep,
差动机构,2,差动机构,keep,keep,
底座视图,2,底座视图,keep,keep,
底板,2,底板,keep,keep,
挡板,2,挡板,keep,keep,
泵盖图,2,泵盖图,keep,keep,
激光固定座,2,激光固定座,keep,keep,
站架三视图,2,站架三视图,keep,keep,
粗糙度,2,粗糙度,keep,keep,
蜗杆,2,蜗杆,keep,keep,
轴承座,2,轴承座,keep,keep,
阶梯轴,2,阶梯轴,keep,keep,
零件轴改,2,零件轴改,keep,keep,
三视图投影示例,1,三视图,merge,keyword:三视图,
上摆臂,1,上摆臂,keep,keep,
中摆臂,1,中摆臂,keep,keep,
中间板,1,板类,merge,keyword:板,
传动轴,1,轴类,merge,keyword:轴,
光线调节座,1,光线调节座,keep,keep,
前盖板,1,盖,merge,keyword:盖,
前筒体（改）,1,前筒体（改）,keep,keep,
前进离合器,1,前进离合器,keep,keep,
副本,1,副本,keep,keep,
压下螺丝,1,紧固件,merge,keyword:螺丝,
压板,1,板类,merge,keyword:板,
压盖,1,盖,merge,keyword:盖,
压紧片,1,压紧片,keep,keep,
后机架更换桥,1,机架,merge,keyword:机架,
后筒体（改）,1,后筒体（改）,keep,keep,
喷雾器组件（改）,1,喷雾器组件（改）,keep,keep,
四缸八气门凸轮轴(,1,轴类,merge,keyword:轴,
图框,1,图框,keep,keep,
圆柱销,1,紧固件,merge,keyword:销,
型风送式喷雾机,1,型风送式喷雾机,keep,keep,
基准代号,1,基准代号,keep,keep,
基质沥青计量罐,1,基质沥青计量罐,keep,keep,
夹具,1,夹具,keep,keep,
夹具主体座,1,夹具主体座,keep,keep,
夹具二维图,1,夹具二维图,keep,keep,
夹具二维图(,1,夹具二维图(,keep,keep,
夹具装配图,1,装配图,merge,keyword:装配图,
小立柱油缸装配图,1,装配图,merge,keyword:装配图,
小立柱装配图,1,装配图,merge,keyword:装配图,
工件图,1,工件图,merge,keyword:工件图,
带座轴承板,1,轴承,merge,keyword:轴承,
床身装配图,1,装配图,merge,keyword:装配图,
底座,1,底座,keep,keep,
弹簧视图,1,视图,merge,keyword:视图,
总装配,1,总装配,keep,keep,
托轮轴压板,1,轴类,merge,keyword:轴,
技术文件,1,技术文件,keep,keep,
拨叉,1,拨叉,keep,keep,
控制板,1,板类,merge,keyword:板,
搅拌轴组件,1,轴类,merge,keyword:轴,
支撑架,1,架类,merge,keyword:架,
支腿,1,支腿,merge,keyword:支腿,
改箱体右盖,1,箱体,merge,keyword:箱体,
数据图,1,数据图,keep,keep,
旋转组件,1,旋转组件,keep,keep,
机件多面视图,1,视图,merge,keyword:视图,
校准指示激光器结构示意图,1,示意图,merge,keyword:示意图,
汽缸,1,汽缸,keep,keep,
油管布置示意图,1,示意图,merge,keyword:示意图,
泵,1,泵,merge,keyword:泵,
涡轮,1,涡轮,keep,keep,
液压原理图,1,原理图,merge,keyword:原理图,
液压系统管路图,1,管类,merge,keyword:管,
滑块,1,滑块,keep,keep,
滑板装配图,1,装配图,merge,keyword:装配图,
激光发射仓结构图,1,激光发射仓结构图,keep,keep,
电路图,1,电路图,keep,keep,
盖板,1,盖,merge,keyword:盖,
瞄准指示激光器结构示意图,1,示意图,merge,keyword:示意图,
端盖,1,盖,merge,keyword:盖,
简化标题栏表格,1,简化标题栏表格,keep,keep,
箱座,1,箱座,keep,keep,
箱盖,1,盖,merge,keyword:盖,
组合刀架装配图,1,装配图,merge,keyword:装配图,
菱形销,1,紧固件,merge,keyword:销,
蜗杆轴,1,轴类,merge,keyword:轴,
蜗轮,1,蜗轮蜗杆,merge,keyword:蜗轮,
蜗轮轮杆减速器装配图,1,装配图,merge,keyword:装配图,
蜗轮轴,1,轴类,merge,keyword:轴,
螺栓视图,1,视图,merge,keyword:视图,
装配图,1,装配图,merge,keyword:装配图,
装配图纸,1,装配图,merge,keyword:装配图,
角钢,1,角钢,keep,keep,
轴承外圈强化研磨上下料系统,1,轴承,merge,keyword:轴承,
轴零件图,1,零件图,merge,keyword:零件图,
轴零件平面图,1,平面图,merge,keyword:平面图,
金雨薇,1,金雨薇,keep,keep,
铰制螺栓,1,紧固件,merge,keyword:螺栓,
镜头固定座,1,镜头固定座,keep,keep,
阀视图,1,视图,merge,keyword:视图,
零件一,1,零件一,keep,keep,
零件七,1,零件七,keep,keep,
零件三,1,零件三,keep,keep,
零件九,1,零件九,keep,keep,
零件二,1,零件二,keep,keep,
零件五,1,零件五,keep,keep,
零件八,1,零件八,keep,keep,
零件六,1,零件六,keep,keep,
零件四,1,零件四,keep,keep,
风叶(改),1,风叶(改),keep,keep,
餐桌底视图,1,视图,merge,keyword:视图,
齿轮罩,1,罩,merge,keyword:罩,
