file_name,source_path,relative_path,source_dir,suggested_label_cn,suggested_label_en,text_sample,normalized_text_sample,title_block_drawing_number,title_block_part_name,title_block_material,title_block_scale,title_block_sheet,title_block_date,title_block_weight,title_block_company,title_block_projection,title_block_revision,review_drawing_number,review_part_name,review_material,review_scale,review_sheet,review_date,review_weight,review_company,review_projection,review_revision,dimensions_count,dimensions_sample,layers_count,hatches_count,reviewer_label_cn,reviewer_label_en,review_status,review_notes,preview_path,graph2d_label,graph2d_confidence,auto_review_verdict,auto_review_reason,preview_pack_path
电路图.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/电路图.dxf,夹具图纸、装配图纸/电路图.dwg,机械CAD图纸,电路图,,SB1 | SB2 | SQ1 | SQ2 | SQ3 | SQ4 | SQ5 | SQ6 | SQ7 | SQ8 | SQ9 | SQ10 | SQ11 | SQ12 | SQ13 | SQ14 | SQ15 | SQ16 | SQ17 | SQ18 | KM1 | X0 | X1 | X2 | X3 | X4 | X5 | X6 | X7 | X10 | X11 | X12 | X13...,sb1 | sb2 | sq1 | sq2 | sq3 | sq4 | sq5 | sq6 | sq7 | sq8 | sq9 | sq10 | sq11 | sq12 | sq13 | sq14 | sq15 | sq16 | sq17 | sq18 | km1 | x0 | x1 | x2 | x3 | x4 | x5 | x6 | x7 | x10 | x11 | x12 | x13...,,,,,,,,,,,,,,,,,,,,,0,,18,0,原理图,,confirmed,manual_priority_decision; manual_priority_pack_30d; manual_final_category=原理图; manual_subcategory=电路原理图,,机械制图,0.1773,needs_followup,label_conflict,previews/001_电路图.png
零件三.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/零件三.dxf,CAD图纸抄画/已完成/零件三.dwg,机械CAD图纸,零件三,,,,,,,,,,,,,,,,,,,,,,,,24,linear:51.00 | linear:11.00 | linear:10.00 | linear:9.00 | radial:6.50,22,0,零件图,,confirmed,manual_priority_decision; manual_priority_pack_30d; manual_final_category=零件图; manual_subcategory=教学零件,,机械制图,0.1773,needs_followup,label_conflict,previews/002_零件三.png
FU200-02-01-1.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/FU200-02-01-1.dxf,FU200-02-01-1.DWG,机械零件CAD图纸,盖,,2x45%%D | 1.5x45%%D | 6.3 | 6.3 | 3.2 | 6-Ø9 | 4-Ø4 | \M+5BEF9\M+5B2BC | \M+5BEF9\M+5B2BC | \M+5BCBC\M+5CAF5\M+5D2AA\M+5C7F3 | \M+5D6FD\M+5BCFE\M+5B2BB\M+5B5C3\M+5D3D0\M+5D3B0\M+5CFEC\M+5D0D4\M+5C4...,2x45%%d | 1.5x45%%d | 6.3 | 6.3 | 3.2 | 6-ø9 | 4-ø4 | \m+5bef9\m+5b2bc | \m+5bef9\m+5b2bc | \m+5bcbc\m+5caf5\m+5d2aa\m+5c7f3 | \m+5d6fd\m+5bcfe\m+5b2bb\m+5b5c3\m+5d3d0\m+5d3b0\m+5cfec\m+5d0d4\m+5c4...,,,,,,,,,,,,,,,,,,,,,12,linear:{%%C<>} | linear:{%%C<>} | linear:{%%C<>} | linear:-1.00 | linear:-1.00,6,0,零件图,,confirmed,manual_priority_decision; manual_priority_pack_30d; manual_final_category=零件图; manual_subcategory=盖类,,机械制图,0.1760,needs_followup,label_conflict,previews/003_FU200-02-01-1.png
零件四.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/零件四.dxf,CAD图纸抄画/已完成/零件四.dwg,机械CAD图纸,零件四,,,,,,,,,,,,,,,,,,,,,,,,18,linear:15.00 | radial:20.00 | linear:15.00 | linear:12.00 | linear:51.00,22,0,零件图,,confirmed,manual_priority_decision; manual_priority_pack_30d; manual_final_category=零件图; manual_subcategory=教学零件,reports/experiments/20260120/MECH_4000_DWG_REVIEW_PREVIEWS_20260120/零件四.png,机械制图,0.1752,needs_followup,label_conflict,previews/004_零件四.png
零件九.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/零件九.dxf,CAD图纸抄画/已完成/零件九.dwg,机械CAD图纸,零件九,,,,,,,,,,,,,,,,,,,,,,,,21,angular:2.59 | radial:8.50 | linear:16.50 | linear:18.00 | linear:18.00,22,0,零件图,,confirmed,manual_priority_decision; manual_priority_pack_30d; manual_final_category=零件图; manual_subcategory=教学零件,,机械制图,0.1720,needs_followup,label_conflict,previews/005_零件九.png
滑块SCS16UU.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/滑块SCS16UU.dxf,PDF版/滑块SCS16UU.dwg,机械CAD图纸,滑块,,,,,,,,,,,,,,,,,,,,,,,,13,linear:10.00 | linear:36.00 | linear:43.00 | linear:7.00 | linear:44.00,18,0,零件图,,confirmed,manual_priority_decision; manual_priority_pack_30d; manual_final_category=零件图; manual_subcategory=标准件-直线滑块,,机械制图,0.1714,needs_followup,label_conflict,previews/006_滑块SCS16UU.png
零件五.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/零件五.dxf,CAD图纸抄画/已完成/零件五.dwg,机械CAD图纸,零件五,,,,,,,,,,,,,,,,,,,,,,,,34,radial:5.20 | radial:20.00 | radial:5.20 | linear:19.00 | linear:15.00,22,0,零件图,,confirmed,manual_priority_decision; manual_priority_pack_30d; manual_final_category=零件图; manual_subcategory=教学零件,reports/experiments/20260120/MECH_4000_DWG_REVIEW_PREVIEWS_20260120/零件五.png,机械制图,0.1711,needs_followup,label_conflict,previews/007_零件五.png
GB27-88.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/GB27-88.dxf,GB27-88.DWG,机械零件CAD图纸,紧固件,,,,,,,,,,,,,,,,,,,,,,,,0,,7,0,零件图,,confirmed,manual_priority_decision; manual_priority_pack_30d; manual_final_category=零件图; manual_subcategory=标准件-紧固件(六角螺母),reports/experiments/20260120/MECH_4000_DWG_REVIEW_PREVIEWS_20260120/GB27-88.png,机械制图,0.1703,needs_followup,label_conflict,previews/008_GB27-88.png
M10圆柱销.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/M10圆柱销.dxf,夹具设计/CAD2007/M10圆柱销.dwg,机械CAD图纸,紧固件,,\M+5CEB4\M+5D7A2\M+5B5B9\M+5BDC7\M+5CEAAC0.5,\m+5ceb4\m+5d7a2\m+5b5b9\m+5bdc7\m+5ceaac0.5,,,,,,,,,,,,,,,,,,,,,4,linear:{%%c<>}{}{\H0.7143x;\S+0.024^ +0.015;} | linear:10.00 | linear:15.00 | linear:{%%c<>}{}{\H0.7143x;\S+0.02^ +0.012;},19,1,零件图,,confirmed,manual_priority_decision; manual_priority_pack_30d; manual_final_category=零件图; manual_subcategory=标准件-销类,,机械制图,0.1699,needs_followup,label_conflict,previews/009_M10圆柱销.png
底座.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/底座.dxf,2007版本的/底座.dwg,机械CAD图纸,底座,,,,,,,,,,,,,,,,,,,,,,,,11,linear:200.00 | linear:60.00 | radial:16.00 | linear:120.00 | radial:16.00,23,0,零件图,,confirmed,manual_priority_decision; manual_priority_pack_30d; manual_final_category=零件图; manual_subcategory=座类-底座,,机械制图,0.1683,needs_followup,label_conflict,previews/010_底座.png
零件一.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/零件一.dxf,CAD图纸抄画/已完成/零件一.dwg,机械CAD图纸,零件一,,,,,,,,,,,,,,,,,,,,,,,,39,linear:250.00 | linear:250.00 | linear:150 | linear:11.00 | linear:11.00,22,0,零件图,,confirmed,manual_priority_decision; manual_priority_pack_30d; manual_final_category=零件图; manual_subcategory=教学零件,,机械制图,0.1668,needs_followup,label_conflict,previews/011_零件一.png
零件七.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/零件七.dxf,CAD图纸抄画/已完成/零件七.dwg,机械CAD图纸,零件七,,,,,,,,,,,,,,,,,,,,,,,,14,radial:{<>}{}{\H0.7143x;\S-0.04^ -0.06;} | linear:13 | linear:13 | linear:17.50 | linear:29.50,22,0,零件图,,confirmed,manual_priority_decision; manual_priority_pack_30d; manual_final_category=零件图; manual_subcategory=教学零件,,机械制图,0.1666,needs_followup,label_conflict,previews/012_零件七.png
轴零件平面图.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/轴零件平面图.dxf,CAD机械零件图纸127个/15/轴零件平面图.dwg,机械CAD图纸,平面图,,1\M+5A1C145° | 1\M+5A1C145° | 1\M+5A1C145° | A | A | B | B | A-A | B-B | 2:1,1\m+5a1c145° | 1\m+5a1c145° | 1\m+5a1c145° | a | a | b | b | a-a | b-b | 2:1,,,,,,,,,,,,,,,,,,,,,30,linear:28.00 | linear:21.00 | linear:5.00 | linear:5.00 | linear:31.00,10,2,零件图,,confirmed,manual_priority_decision; manual_priority_pack_30d; manual_final_category=零件图; manual_subcategory=轴类,,机械制图,0.1665,needs_followup,label_conflict,previews/013_轴零件平面图.png
a1汽缸.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/a1汽缸.dxf,夹具图纸、装配图纸/a1汽缸.dwg,机械CAD图纸,汽缸,,\M+5A2F1 | 3:1 | \M+5C9CF\M+5BAA3\M+5B9A4\M+5B3CC\M+5BCBC\M+5CAF5\M+5B4F3\M+5D1A7 | \M+5D6DC\M+5C8D5\M+5C9FD | I | ∅25+0.013^ 0,\m+5a2f1 | 3:1 | \m+5c9cf\m+5baa3\m+5b9a4\m+5b3cc\m+5bcbc\m+5caf5\m+5b4f3\m+5d1a7 | \m+5d6dc\m+5c8d5\m+5c9fd | i | ∅25+0.013^ 0,,,,,,,,,,,,,,,,,,,,,20,linear:{%%c<>}{}{\H0.7143x;\S+0.028^ +0.003;} | linear:{%%c<>}{}{\H0.7143x;\S+0.028^ +0.003;} | linear:304.20 | linear:{%%c<>}{}{\H0.7143x;\S+0.018^  0;} | linear:{<>}{}{%%p0.01},22,5,零件图,,confirmed,manual_priority_decision; manual_priority_pack_30d; manual_final_category=零件图; manual_subcategory=缸体类-汽缸,,机械制图,0.1655,needs_followup,label_conflict,previews/014_a1汽缸.png
压板.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/压板.dxf,夹具设计/CAD2007/压板.dwg,机械CAD图纸,板类,,A | A | A-A,a | a | a-a,,,,,,,,,,,,,,,,,,,,,11,linear:{M12}{}{} | linear:70.00 | linear:15.00 | linear:5.00 | radial:0.50,19,1,零件图,,confirmed,manual_priority_decision; manual_priority_pack_30d; manual_final_category=零件图; manual_subcategory=板类-压板,,机械制图,0.1638,needs_followup,label_conflict,previews/015_压板.png
蜗轮轴.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/蜗轮轴.dxf,CAD机械零件图纸127个/蜗杆涡轮/蜗轮轴.dwg,机械CAD图纸,轴类,,3.2 | 3.2 | 6.3 | 6.3 | G-G | F-F | 技术要求 | 1.调质处理后表面硬度220~~~~~~~250HBS。 | 2.两端中心孔：B3.5/10GB145-1985，粗糙度3.2。 | 3.全部圆角半径均为R1.5。 | 4.全部倒角均为C1.5。 | 5.未注尺寸公差按等级为GB/T1804-m。 | 湖南工业大学 机械工程学院材料051班 | 机械设计课...,3.2 | 3.2 | 6.3 | 6.3 | g-g | f-f | 技术要求 | 1.调质处理后表面硬度220~~~~~~~250hbs。 | 2.两端中心孔：b3.5/10gb145-1985，粗糙度3.2。 | 3.全部圆角半径均为r1.5。 | 4.全部倒角均为c1.5。 | 5.未注尺寸公差按等级为gb/t1804-m。 | 湖南工业大学 机械工程学院材料051班 | 机械设计课...,,,051班,,,,,,,,,,,,,,,,,,22,linear:23{\H0.7x;\S0^ -0.20;} | linear:37{\H0.7x;\S0^ -0.20;} | linear:%%C8{\H0.7x;\S0^ -0.043;} | linear:%%C14{\H0.7x;\S0^ -0.043;} | linear:40.00,10,5,零件图,,confirmed,manual_priority_decision; manual_priority_pack_30d; manual_final_category=零件图; manual_subcategory=轴类-蜗轮轴,,机械制图,0.1637,needs_followup,label_conflict,previews/016_蜗轮轴.png
2004阶梯轴7.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/2004阶梯轴7.dxf,2004阶梯轴7.dwg,蜗杆与箱体,阶梯轴,,设计 | 校核 | 审核 | 班级 | 比例 | 1:2 | 共   张 第   张 | 45 | C-C | B-B | A-A | B | B | A | A | D | R0.5 | 4:1 | Ø48 | C | C,设计 | 校核 | 审核 | 班级 | 比例 | 1:2 | 共   张 第   张 | 45 | c-c | b-b | a-a | b | b | a | a | d | r0.5 | 4:1 | ø48 | c | c,,,,1:2,,,,,,,,,,,,,,,,,1,linear:1.60,17,3,零件图,,confirmed,manual_priority_decision; manual_priority_pack_30d; manual_final_category=零件图; manual_subcategory=轴类-阶梯轴,,机械制图,0.1634,needs_followup,label_conflict,previews/017_2004阶梯轴7.png
轴的标注-1.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/轴的标注-1.dxf,CAD轴承/轴的标注-1.dwg,机械CAD图纸,轴的标注,,C2 | C2 | 两处 | 其余 | B | B | A | A,c2 | c2 | 两处 | 其余 | b | b | a | a,,,,,,,,,,,,,,,,,,,,,16,"linear:%%C{\fËÎÌå|b0|i0|c134|p0;45\Ftxt,gbcbig|c134;\H0.9583x;(\fËÎÌå|b0|i0|c134|p0;\H0.52176x;\S+0.025^ +0.009;\Ftxt,gbcbig|c134;\H1.9166x;)} | linear:60.00 | linear:36.00 | linear:57.00 | linear:12.00",7,0,零件图,,confirmed,manual_priority_decision; manual_priority_pack_30d; manual_final_category=零件图; manual_subcategory=轴类(标注示例),,机械制图,0.1621,needs_followup,label_conflict,previews/018_轴的标注-1.png
轴的标注.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/轴的标注.dxf,CAD机械零件图及高阶练习图纸/CAD机械零件图/轴的标注.dwg,机械CAD图纸,轴的标注,,C2 | C2 | \M+5C1BD\M+5B4A6 | \M+5C6E4\M+5D3E0 | B | B | A | A,c2 | c2 | \m+5c1bd\m+5b4a6 | \m+5c6e4\m+5d3e0 | b | b | a | a,,,,,,,,,,,,,,,,,,,,,16,"linear:%%C{\fËÎÌå|b0|i0|c134|p0;45\Ftxt,gbcbig|c134;\H0.9583x;(\fËÎÌå|b0|i0|c134|p0;\H0.52176x;\S+0.025^ +0.009;\Ftxt,gbcbig|c134;\H1.9166x;)} | linear:60.00 | linear:36.00 | linear:57.00 | linear:12.00",7,0,零件图,,confirmed,manual_priority_decision; manual_priority_pack_30d; manual_final_category=零件图; manual_subcategory=轴类(标注示例),,机械制图,0.1621,needs_followup,label_conflict,previews/019_轴的标注.png
5.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/5.dxf,5.dwg,机械零件CAD图纸,拨叉,,,,,,,,,,,,,,,,,,,,,,,,4,radial:12{\f\M+5CBCE\M+5CCE5|b0|i0|c134|p54;\M+5A1C1}<> | radial:300.00 | radial:500.00 | radial:600.00,9,0,零件图,,confirmed,manual_priority_decision; manual_priority_pack_30d; manual_final_category=零件图; manual_subcategory=拨叉类,,机械制图,0.1620,needs_followup,label_conflict,previews/020_5.png
镜头固定座.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/镜头固定座.dxf,2007版本的/镜头固定座.dwg,机械CAD图纸,镜头固定座,,,,,,,,,,,,,,,,,,,,,,,,5,linear:10.00 | radial:{<>}{}{\H0.7143x;\S+0.021^  0;} | radial:{M44}{}{} | radial:{<>}{}{\H0.7143x;\S+0.018^  0;} | linear:16.00,23,1,零件图,,confirmed,manual_priority_decision; manual_priority_pack_30d; manual_final_category=零件图; manual_subcategory=座类-固定座,,机械制图,0.1620,needs_followup,label_conflict,previews/021_镜头固定座.png
零件二.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/零件二.dxf,CAD图纸抄画/已完成/零件二.dwg,机械CAD图纸,零件二,,,,,,,,,,,,,,,,,,,,,,,,42,linear:250.00 | linear:145.00 | linear:25.00 | linear:30.00 | linear:11.00,22,0,零件图,,confirmed,manual_priority_decision; manual_priority_pack_30d; manual_final_category=零件图; manual_subcategory=教学零件,reports/experiments/20260120/MECH_4000_DWG_REVIEW_PREVIEWS_20260120/零件二.png,机械制图,0.1605,needs_followup,label_conflict,previews/022_零件二.png
激光发射仓结构图.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/激光发射仓结构图.dxf,2007版本的/激光发射仓结构图.dwg,机械CAD图纸,激光发射仓结构图,,,,,,,,,,,,,,,,,,,,,,,,9,linear:38.00 | linear:38.00 | linear:1.00 | linear:2.50 | linear:3.00,23,30,装配图,,confirmed,manual_priority_decision; manual_priority_pack_30d; manual_final_category=装配图; manual_subcategory=结构装配图,,机械制图,0.1604,needs_followup,label_conflict,previews/023_激光发射仓结构图.png
