file_name,source_path,relative_path,source_dir,suggested_label_cn,suggested_label_en,text_sample,normalized_text_sample,title_block_drawing_number,title_block_part_name,title_block_material,title_block_scale,title_block_sheet,title_block_date,title_block_weight,title_block_company,title_block_projection,title_block_revision,review_drawing_number,review_part_name,review_material,review_scale,review_sheet,review_date,review_weight,review_company,review_projection,review_revision,dimensions_count,dimensions_sample,layers_count,hatches_count,reviewer_label_cn,reviewer_label_en,review_status,review_notes,preview_path,graph2d_label,graph2d_confidence,auto_review_verdict,auto_review_reason,preview_pack_path
PE2540.0.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/PE2540.0.dxf,PE2540.0.dwg,机械零件CAD图纸,挡板,,K2540G.0.0 | \M+5B0B2\M+5D7B0\M+5CDBC | PE250\M+5A1C1400G          \M+5B8B4\M+5B0DA\M+5F2A6\M+5CABD\M+5C6C6\M+5CBE9\M+5BBFA | \M+5CDBC \M+5D1F9 \M+5B1EA \M+5BCC7 | \M+5B9B2      \M+5D5C5 | \M+5C9F3...,k2540g.0.0 | \m+5b0b2\m+5d7b0\m+5cdbc | pe250\m+5a1c1400g          \m+5b8b4\m+5b0da\m+5f2a6\m+5cabd\m+5c6c6\m+5cbe9\m+5bbfa | \m+5cdbc \m+5d1f9 \m+5b1ea \m+5bcc7 | \m+5b9b2      \m+5d5c5 | \m+5c9f3...,,,,,,,,,,,,,,,,,,,,,46,angular:1.05 | linear:450.00 | linear:420.00 | linear:1180.00 | linear:840.00,9,123,挡板,,confirmed,manual_priority_decision; manual_priority_pack_30,reports/experiments/20260120/MECH_4000_DWG_REVIEW_PREVIEWS_20260120/PE2540.0.png,机械制图,1.0000,needs_followup,label_conflict,previews/001_PE2540.0.png
71002小立柱油缸装配图.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/71002小立柱油缸装配图.dxf,71002小立柱油缸装配图.dwg,机械零件CAD图纸,装配图,,3.2 | 3.2 | 3.2 | 3.2 | A | 12.5 | 12.5 | 12.5 | 12.5 | A | \M+5C9E8\M+5BCC6\M+5D4B1 | \M+5BCEC  \M+5CDBC | \M+5D6F7\M+5C8CE\M+5C9E8\M+5BCC6\M+5CAA6 | \M+5B1EA\M+5D7BC\M+5BBAF\M+5C9F3\M+5B2E9 | \M+...,3.2 | 3.2 | 3.2 | 3.2 | a | 12.5 | 12.5 | 12.5 | 12.5 | a | \m+5c9e8\m+5bcc6\m+5d4b1 | \m+5bcec  \m+5cdbc | \m+5d6f7\m+5c8ce\m+5c9e8\m+5bcc6\m+5caa6 | \m+5b1ea\m+5d7bc\m+5bbaf\m+5c9f3\m+5b2e9 | \m+...,,,,,,,,,,,,,,,,,,,,,33,linear:130.00 | linear:180.00 | linear:16.00 | linear:<> | linear:20.00,12,15,装配图,,confirmed,manual_priority_decision; manual_priority_pack_30,,机械制图,0.9994,needs_followup,label_conflict,previews/002_71002小立柱油缸装配图.png
71001小立柱装配图2.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/71001小立柱装配图2.dxf,71001小立柱装配图2.dwg,机械零件CAD图纸,装配图,,\M+5C9E8\M+5BCC6\M+5D4B1 | \M+5BCEC  \M+5CDBC | \M+5D6F7\M+5C8CE\M+5C9E8\M+5BCC6\M+5CAA6 | \M+5B1EA\M+5D7BC\M+5BBAF\M+5C9F3\M+5B2E9 | \M+5B2FA\M+5C6B7\M+5B9A4\M+5D2D5\M+5CAA6 | \M+5C8D5  \M+5C6DA |...,\m+5c9e8\m+5bcc6\m+5d4b1 | \m+5bcec  \m+5cdbc | \m+5d6f7\m+5c8ce\m+5c9e8\m+5bcc6\m+5caa6 | \m+5b1ea\m+5d7bc\m+5bbaf\m+5c9f3\m+5b2e9 | \m+5b2fa\m+5c6b7\m+5b9a4\m+5d2d5\m+5caa6 | \m+5c8d5  \m+5c6da |...,,,,,,,,,,SA,,,,,,,,,,,54,linear:605 | linear:40.00 | linear:220.00 | linear:310.00 | linear:540,14,35,装配图,,confirmed,manual_priority_decision; manual_priority_pack_30,,机械制图,0.9553,needs_followup,label_conflict,previews/003_71001小立柱装配图2.png
夹具装配图.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/夹具装配图.dxf,夹具图纸、装配图纸/夹具装配图.dwg,机械CAD图纸,装配图,,A1 | 1 | 1 | \M+5B1C8\M+5C0FD | \M+5D6D8\M+5C1BF | 1:1 | \M+5B5DA  \M+5D5C5 | \M+5CDBC\M+5D1F9\M+5B1EA\M+5BCC7 | \M+5BCD0\M+5BEDF\M+5D7B0\M+5C5E4\M+5CDBC | \M+5B9B2  \M+5D5C5 | 1 | \M+5C8D5\M+5C6DA...,a1 | 1 | 1 | \m+5b1c8\m+5c0fd | \m+5d6d8\m+5c1bf | 1:1 | \m+5b5da  \m+5d5c5 | \m+5cdbc\m+5d1f9\m+5b1ea\m+5bcc7 | \m+5bcd0\m+5bedf\m+5d7b0\m+5c5e4\m+5cdbc | \m+5b9b2  \m+5d5c5 | 1 | \m+5c8d5\m+5c6da...,,,,,,,,,,,,,,,,,,,,,0,,35,6,装配图,,confirmed,manual_priority_decision; manual_priority_pack_30,,机械制图,0.9526,needs_followup,label_conflict,previews/004_夹具装配图.png
11001床身装配图.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/11001床身装配图.dxf,11001床身装配图.dwg,机械零件CAD图纸,装配图,,Y90L-6 \M+5D2BA\M+5D1B9\M+5B5E7\M+5B6AF\M+5BBFA 1.1Kw 1000r/min | \M+5C7E0\M+5BFC7\M+5D6BD | \M+5C0B4\M+5D7D4\M+5D2BA\M+5D1B944\M+5D7E9\M+5A2DC\M+5B9DC | A--A | B | B--B | 1\M+5A3BA1 | 1\M+5A3BA2 |...,y90l-6 \m+5d2ba\m+5d1b9\m+5b5e7\m+5b6af\m+5bbfa 1.1kw 1000r/min | \m+5c7e0\m+5bfc7\m+5d6bd | \m+5c0b4\m+5d7d4\m+5d2ba\m+5d1b944\m+5d7e9\m+5a2dc\m+5b9dc | a--a | b | b--b | 1\m+5a3ba1 | 1\m+5a3ba2 |...,,,,,,,,,,,,,,,,,,,,,62,linear:\M+5D7EE\M+5B4F3500 \M+5D7EE\M+5D0A1260 | linear:910.00 | linear:125.00 | linear:251.00 | linear:317,17,43,装配图,,confirmed,manual_priority_decision; manual_priority_pack_30,,机械制图,0.7408,needs_followup,label_conflict,previews/005_11001床身装配图.png
风叶(改).dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/风叶(改).dxf,1200型风送式喷雾机/风叶(改).dwg,机械CAD图纸,风叶(改),,PELECBASETEXT1 | 1\M+5A1A2\M+5BFC9\M+5D2D4\M+5B2C9\M+5D3C3\M+5BAB8\M+5BDD3\M+5D6C6\M+5D7F7\M+5A3AC\M+5D2B6\M+5C6AC\M+5B2C9\M+5D3C3\M+5B2BB\M+5D0E2\M+5B8D6\M+5B2C4\M+5C1CF\M+5D6C6\M+5D7F7 2\M+5A1A2\...,pelecbasetext1 | 1\m+5a1a2\m+5bfc9\m+5d2d4\m+5b2c9\m+5d3c3\m+5bab8\m+5bdd3\m+5d6c6\m+5d7f7\m+5a3ac\m+5d2b6\m+5c6ac\m+5b2c9\m+5d3c3\m+5b2bb\m+5d0e2\m+5b8d6\m+5b2c4\m+5c1cf\m+5d6c6\m+5d7f7 2\m+5a1a2\...,,,,,,,,,,,,,,,,,,,,,8,linear:\A0;<>{\H12.25;\S+0.087^  0;} | linear:240.00 | linear:\A0;<>{\H12.25;\S+0.046^  0;} | linear:119.65 | linear:240.00,20,2,风叶(改),,confirmed,manual_priority_decision; manual_priority_pack_30,,机械制图,0.5931,needs_followup,label_conflict,previews/006_风叶(改).png
装配图纸.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/装配图纸.dxf,夹具图纸、装配图纸/装配图纸.dwg,机械CAD图纸,装配图,,01 | 02 | 03 | 1700102 | 1700101 | 开关上盖 | 开关底座 | 后视镜开关安装槽 | 1700103 | 代       号 | 名       称 | 材       料 | 单件 | 总计 | 备 注 | 04 | 05 | 1700104 | 卡  扣 | 长春大学机械与车辆学院 | 阶段标记 | 重量 | 比例 | 共 张  第   张 | 工艺 |...,01 | 02 | 03 | 1700102 | 1700101 | 开关上盖 | 开关底座 | 后视镜开关安装槽 | 1700103 | 代       号 | 名       称 | 材       料 | 单件 | 总计 | 备 注 | 04 | 05 | 1700104 | 卡  扣 | 长春大学机械与车辆学院 | 阶段标记 | 重量 | 比例 | 共 张  第   张 | 工艺 |...,,,为聚乙烯； 2.聚乙烯材料中要加入稳定剂和其他助剂。,,,,,,,,,,,,,,,,,,59,angular:2.31 | angular:2.16 | angular:2.71 | linear:79.40 | linear:34.00,8,13,装配图,,confirmed,manual_priority_decision; manual_priority_pack_30,,机械制图,0.5477,needs_followup,label_conflict,previews/007_装配图纸.png
喷雾器组件（改）.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/喷雾器组件（改）.dxf,1200型风送式喷雾机/喷雾器组件（改）.dwg,机械CAD图纸,喷雾器组件（改）,,PELECBASETEXT1 | \M+5BCBC\M+5CAF5\M+5D2AA\M+5C7F3 1\M+5A1A2\M+5B2C9\M+5D3C3\M+5B2BB\M+5D0E2\M+5B8D6\M+5D6C6\M+5D7F7\M+5A3AC\M+5BAB8\M+5BDD3\M+5C6B4\M+5BDD3\M+5B6F8\M+5B3C9 2\M+5A1A2\M+5BAB8\M+5BDD3...,pelecbasetext1 | \m+5bcbc\m+5caf5\m+5d2aa\m+5c7f3 1\m+5a1a2\m+5b2c9\m+5d3c3\m+5b2bb\m+5d0e2\m+5b8d6\m+5d6c6\m+5d7f7\m+5a3ac\m+5bab8\m+5bdd3\m+5c6b4\m+5bdd3\m+5b6f8\m+5b3c9 2\m+5a1a2\m+5bab8\m+5bdd3...,,,,,,,,,,,,,,,,,,,,,31,linear:563.34 | linear:115.50 | linear:315.00 | linear:90.00 | linear:96.00,23,45,喷雾器组件（改）,,confirmed,manual_priority_decision; manual_priority_pack_30,,机械制图,0.5337,needs_followup,label_conflict,previews/008_喷雾器组件（改）.png
后筒体（改）.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/后筒体（改）.dxf,1200型风送式喷雾机/后筒体（改）.dwg,机械CAD图纸,后筒体（改）,,PELECBASETEXT1 | 1\M+5A1A2\M+5BFC9\M+5B2C9\M+5D3C3\M+5BAB8\M+5BDD3\M+5C6B4\M+5BDD3\M+5B6F8\M+5B3C9 2\M+5A1A2\M+5BAB8\M+5BDD3\M+5CDEA\M+5BAF3\M+5B4F2\M+5C4A5\M+5C5D7\M+5B9E2\M+5BAB8\M+5B7EC 3\M+5A1A...,pelecbasetext1 | 1\m+5a1a2\m+5bfc9\m+5b2c9\m+5d3c3\m+5bab8\m+5bdd3\m+5c6b4\m+5bdd3\m+5b6f8\m+5b3c9 2\m+5a1a2\m+5bab8\m+5bdd3\m+5cdea\m+5baf3\m+5b4f2\m+5c4a5\m+5c5d7\m+5b9e2\m+5bab8\m+5b7ec 3\m+5a1a...,,,,,,,,,,,,,,,,,,,,,8,linear:8-<>\M+5BEF9\M+5B2BC | linear:3150 | linear:18.00 | linear:18.00 | linear:9.00,23,54,后筒体（改）,,confirmed,manual_priority_decision; manual_priority_pack_30,,机械制图,0.4603,needs_followup,label_conflict,previews/009_后筒体（改）.png
ZHITUI.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/ZHITUI.dxf,ZHITUI.DWG,机械零件CAD图纸,支腿,,\M+5D6A7 \M+5CDC8 | 1:15 | A | 325 | B | 1:5 | B\M+5CFF2 | 16-%%C27 | 1:5 | C-C | 8-%%C33 | A\M+5CFF2 | C | C | 1980 | 1980 | 35 | 168 | \M+5BDD7\M+5B6CE%%p\M+5EABCÇ | \M+5B9B2   \M+5D5C5    \M+5B5...,\m+5d6a7 \m+5cdc8 | 1:15 | a | 325 | b | 1:5 | b\m+5cff2 | 16-%%c27 | 1:5 | c-c | 8-%%c33 | a\m+5cff2 | c | c | 1980 | 1980 | 35 | 168 | \m+5bdd7\m+5b6ce%%p\m+5eabcç | \m+5b9b2   \m+5d5c5    \m+5b5...,,,,,,,,,,,,,,,,,,,,,19,linear:4460 | linear:150 | linear:150 | linear: 2630 +1 -1\M+5AFA4 | angular:75%%D,27,0,机械制图,,confirmed,manual_priority_decision; manual_priority_pack_30,,机械平面图,0.3629,needs_followup,label_conflict,previews/010_ZHITUI.png
