file_name,source_path,relative_path,source_dir,suggested_label_cn,suggested_label_en,text_sample,normalized_text_sample,title_block_drawing_number,title_block_part_name,title_block_material,title_block_scale,title_block_sheet,title_block_date,title_block_weight,title_block_company,title_block_projection,title_block_revision,review_drawing_number,review_part_name,review_material,review_scale,review_sheet,review_date,review_weight,review_company,review_projection,review_revision,dimensions_count,dimensions_sample,layers_count,hatches_count,reviewer_label_cn,reviewer_label_en,review_status,review_notes,preview_path
PE2540.0.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/PE2540.0.dxf,PE2540.0.dwg,机械零件CAD图纸,挡板,,K2540G.0.0 | \M+5B0B2\M+5D7B0\M+5CDBC | PE250\M+5A1C1400G          \M+5B8B4\M+5B0DA\M+5F2A6\M+5CABD\M+5C6C6\M+5CBE9\M+5BBFA | \M+5CDBC \M+5D1F9 \M+5B1EA \M+5BCC7 | \M+5B9B2      \M+5D5C5 | \M+5C9F3...,k2540g.0.0 | \m+5b0b2\m+5d7b0\m+5cdbc | pe250\m+5a1c1400g          \m+5b8b4\m+5b0da\m+5f2a6\m+5cabd\m+5c6c6\m+5cbe9\m+5bbfa | \m+5cdbc \m+5d1f9 \m+5b1ea \m+5bcc7 | \m+5b9b2      \m+5d5c5 | \m+5c9f3...,,,,,,,,,,,,,,,,,,,,,46,angular:1.05 | linear:450.00 | linear:420.00 | linear:1180.00 | linear:840.00,9,123,挡板,,confirmed,manual_priority_decision; manual_priority_pack_30,reports/experiments/20260120/MECH_4000_DWG_REVIEW_PREVIEWS_20260120/PE2540.0.png
三视图练习.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/三视图练习.dxf,CAD机械零件图纸127个/14/三视图练习.dwg,机械CAD图纸,三视图练习,,,,,,,,,,,,,,,,,,,,,,,,9,linear:20.00 | linear:8.00 | linear:30.00 | radial:10.00 | linear:8.00,2,0,零件图,,confirmed,manual_priority_decision; manual_priority_pack_13e; manual_final_category=零件图; manual_subcategory=教学零件(三视图练习),reports/experiments/20260120/MECH_4000_DWG_REVIEW_PREVIEWS_20260120/三视图练习.png
机械制图9.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/机械制图9.dxf,CAD机械零件图纸127个/3/机械制图9.dwg,机械CAD图纸,机械制图,,36\M+5A1E3,36\m+5a1e3,,,,,,,,,,,,,,,,,,,,,15,linear:63.49 | linear:21.99 | linear:36.55 | linear:31.01 | linear:16.05,4,0,,,pending,,reports/experiments/20260120/MECH_4000_DWG_REVIEW_PREVIEWS_20260120/机械制图9.png
零件四.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/零件四.dxf,CAD图纸抄画/已完成/零件四.dwg,机械CAD图纸,零件四,,,,,,,,,,,,,,,,,,,,,,,,18,linear:15.00 | radial:20.00 | linear:15.00 | linear:12.00 | linear:51.00,22,0,零件图,,confirmed,manual_priority_decision; manual_priority_pack_30d; manual_final_category=零件图; manual_subcategory=教学零件,reports/experiments/20260120/MECH_4000_DWG_REVIEW_PREVIEWS_20260120/零件四.png
轴的标注-2.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/轴的标注-2.dxf,CAD轴承/轴的标注-2.dwg,机械CAD图纸,轴的标注,,,,,,,,,,,,,,,,,,,,,,,,20,linear:%%C<> | linear:%%C<> | linear:%%C<> | linear:%%C<> | linear:%%C<>,7,1,零件图,,confirmed,manual_priority_decision; manual_priority_pack_13e; manual_final_category=零件图; manual_subcategory=轴类(标注示例),reports/experiments/20260120/MECH_4000_DWG_REVIEW_PREVIEWS_20260120/轴的标注-2.png
零件五.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/零件五.dxf,CAD图纸抄画/已完成/零件五.dwg,机械CAD图纸,零件五,,,,,,,,,,,,,,,,,,,,,,,,34,radial:5.20 | radial:20.00 | radial:5.20 | linear:19.00 | linear:15.00,22,0,零件图,,confirmed,manual_priority_decision; manual_priority_pack_30d; manual_final_category=零件图; manual_subcategory=教学零件,reports/experiments/20260120/MECH_4000_DWG_REVIEW_PREVIEWS_20260120/零件五.png
A1模板.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/A1模板.dxf,"国家标准CAD模板(A0,A1,A2,A3,A4)文件及块/A1模板.dwg",机械CAD图纸,模板,,\M+5C9F3\M+5BACB | \M+5B9A4\M+5D2D5 | \M+5C5FA\M+5D7BC | \M+5BDD7\M+5B6CE\M+5B1EA\M+5BCC7 | \M+5D6D8\M+5C1BF | \M+5B1C8\M+5C0FD | \M+5B1EA\M+5BCC7 | \M+5B4A6\M+5CAFD | \M+5B7D6\M+5C7F8 | \M+5B8FC\M...,\m+5c9f3\m+5bacb | \m+5b9a4\m+5d2d5 | \m+5c5fa\m+5d7bc | \m+5bdd7\m+5b6ce\m+5b1ea\m+5bcc7 | \m+5d6d8\m+5c1bf | \m+5b1c8\m+5c0fd | \m+5b1ea\m+5bcc7 | \m+5b4a6\m+5cafd | \m+5b7d6\m+5c7f8 | \m+5b8fc\m...,,,,,,,,,,,,,,,,,,,,,0,,4,0,模板,,confirmed,manual_priority_decision; manual_priority_pack_13e; manual_final_category=模板; manual_subcategory=图框模板-A1幅面,reports/experiments/20260120/MECH_4000_DWG_REVIEW_PREVIEWS_20260120/A1模板.png
机械制图70.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/机械制图70.dxf,CAD机械零件图纸127个/13/机械制图70.dwg,机械CAD图纸,机械制图,,\M+5B8FC\M+5B8C4\M+5C8CB | \M+5B8FC\M+5B8C4\M+5C4DA\M+5C8DD\M+5BBF2\M+5D2C0\M+5BEDD | \M+5B1EA\M+5BCC7 | \M+5C9F3\M+5BACB | \M+5D0A3\M+5B6D4 | \M+5C3E8\M+5CDBC | \M+5D6C6\M+5CDBC | \M+5C9E8\M+5BCC6...,\m+5b8fc\m+5b8c4\m+5c8cb | \m+5b8fc\m+5b8c4\m+5c4da\m+5c8dd\m+5bbf2\m+5d2c0\m+5bedd | \m+5b1ea\m+5bcc7 | \m+5c9f3\m+5bacb | \m+5d0a3\m+5b6d4 | \m+5c3e8\m+5cdbc | \m+5d6c6\m+5cdbc | \m+5c9e8\m+5bcc6...,,,,,,,,,,,,,,,,,,,,,11,linear:<>N9 | linear:\A1;<>{\H0.7x;\S+0.2^  0;} | linear:%%c100 | linear:%%c<> | linear:%%c<>,9,3,零件图,,confirmed,manual_priority_decision; manual_priority_pack_30c; manual_final_category=零件图; manual_subcategory=教学零件,reports/experiments/20260120/MECH_4000_DWG_REVIEW_PREVIEWS_20260120/机械制图70.png
JDB00000.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/JDB00000.dxf,JDB00000.DWG,机械零件CAD图纸,轴类,,%% | \M+5BDC1\M+5B0E8\M+5D2B6\M+5C6AC\M+5B2BC\M+5D6C3\M+5CABE\M+5D2E2\M+5CDBC | \M+5B6CB\M+5B3C4\M+5B0E5 | \M+5BBA1\M+5B3C4\M+5B0E5 | \M+5A1F1 | 5 | \M+5A1F1 | 6 | \M+5A1F1 | 7 | \M+5A1F1 | 8 | \M+...,%% | \m+5bdc1\m+5b0e8\m+5d2b6\m+5c6ac\m+5b2bc\m+5d6c3\m+5cabe\m+5d2e2\m+5cdbc | \m+5b6cb\m+5b3c4\m+5b0e5 | \m+5bba1\m+5b3c4\m+5b0e5 | \m+5a1f1 | 5 | \m+5a1f1 | 6 | \m+5a1f1 | 7 | \m+5a1f1 | 8 | \m+...,,,,,,,,,,,,,,,,,,,,,6,angular:45%%d | linear:6 | linear:82 | linear:207X9+200(=2063) | linear:15,28,0,装配图,,confirmed,manual_priority_decision,reports/experiments/20260120/MECH_4000_DWG_REVIEW_PREVIEWS_20260120/JDB00000.png
机械制图74.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/机械制图74.dxf,CAD机械零件图纸127个/13/机械制图74.dwg,机械CAD图纸,机械制图,,\M+5CDBC\M+5D1F9\M+5B1EA\M+5BCC7 | \M+5B9B2  \M+5D5C5  \M+5B5DA   \M+5D5C5 | \M+5B1EA\M+5BCC7 | \M+5B8FC\M+5B8C4\M+5C4DA\M+5C8DD\M+5BBF2\M+5D2C0\M+5BEDD | \M+5B8FC\M+5B8C4\M+5C8CB | \M+5C8D5\M+5C6D...,\m+5cdbc\m+5d1f9\m+5b1ea\m+5bcc7 | \m+5b9b2  \m+5d5c5  \m+5b5da   \m+5d5c5 | \m+5b1ea\m+5bcc7 | \m+5b8fc\m+5b8c4\m+5c4da\m+5c8dd\m+5bbf2\m+5d2c0\m+5bedd | \m+5b8fc\m+5b8c4\m+5c8cb | \m+5c8d5\m+5c6d...,,,,,,,,,,,,,,,,,,,,,14,linear:<>f8 | linear:95.00 | linear:95.00 | linear:70.00 | linear:1.00,8,1,,,pending,,reports/experiments/20260120/MECH_4000_DWG_REVIEW_PREVIEWS_20260120/机械制图74.png
