file_name,source_path,relative_path,source_dir,suggested_label_cn,suggested_label_en,text_sample,normalized_text_sample,title_block_drawing_number,title_block_part_name,title_block_material,title_block_scale,title_block_sheet,title_block_date,title_block_weight,title_block_company,title_block_projection,title_block_revision,review_drawing_number,review_part_name,review_material,review_scale,review_sheet,review_date,review_weight,review_company,review_projection,review_revision,dimensions_count,dimensions_sample,layers_count,hatches_count,reviewer_label_cn,reviewer_label_en,review_status,review_notes,preview_path,graph2d_label,graph2d_confidence,auto_review_verdict,auto_review_reason
A1模板.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/A1模板.dxf,"国家标准CAD模板(A0,A1,A2,A3,A4)文件及块/A1模板.dwg",机械CAD图纸,模板,,\M+5C9F3\M+5BACB | \M+5B9A4\M+5D2D5 | \M+5C5FA\M+5D7BC | \M+5BDD7\M+5B6CE\M+5B1EA\M+5BCC7 | \M+5D6D8\M+5C1BF | \M+5B1C8\M+5C0FD | \M+5B1EA\M+5BCC7 | \M+5B4A6\M+5CAFD | \M+5B7D6\M+5C7F8 | \M+5B8FC\M...,\m+5c9f3\m+5bacb | \m+5b9a4\m+5d2d5 | \m+5c5fa\m+5d7bc | \m+5bdd7\m+5b6ce\m+5b1ea\m+5bcc7 | \m+5d6d8\m+5c1bf | \m+5b1c8\m+5c0fd | \m+5b1ea\m+5bcc7 | \m+5b4a6\m+5cafd | \m+5b7d6\m+5c7f8 | \m+5b8fc\m...,,,,,,,,,,,,,,,,,,,,,0,,4,0,模板,,confirmed,manual_priority_decision; manual_priority_pack_13e; manual_final_category=模板; manual_subcategory=图框模板-A1幅面,reports/experiments/20260120/MECH_4000_DWG_REVIEW_PREVIEWS_20260120/A1模板.png,机械制图,0.2196,needs_followup,label_conflict
A2模板.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/A2模板.dxf,"国家标准CAD模板(A0,A1,A2,A3,A4)文件及块/A2模板.dwg",机械CAD图纸,模板,,\M+5C9F3\M+5BACB | \M+5B9A4\M+5D2D5 | \M+5C5FA\M+5D7BC | \M+5BDD7\M+5B6CE\M+5B1EA\M+5BCC7 | \M+5D6D8\M+5C1BF | \M+5B1C8\M+5C0FD | \M+5B1EA\M+5BCC7 | \M+5B4A6\M+5CAFD | \M+5B7D6\M+5C7F8 | \M+5B8FC\M...,\m+5c9f3\m+5bacb | \m+5b9a4\m+5d2d5 | \m+5c5fa\m+5d7bc | \m+5bdd7\m+5b6ce\m+5b1ea\m+5bcc7 | \m+5d6d8\m+5c1bf | \m+5b1c8\m+5c0fd | \m+5b1ea\m+5bcc7 | \m+5b4a6\m+5cafd | \m+5b7d6\m+5c7f8 | \m+5b8fc\m...,,,,,,,,,,,,,,,,,,,,,0,,4,0,模板,,confirmed,manual_priority_decision; manual_priority_pack_13e; manual_final_category=模板; manual_subcategory=图框模板-A2幅面,,机械制图,0.1992,needs_followup,label_conflict
A3模板.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/A3模板.dxf,"国家标准CAD模板(A0,A1,A2,A3,A4)文件及块/A3模板.dwg",机械CAD图纸,模板,,\M+5C9F3\M+5BACB | \M+5B9A4\M+5D2D5 | \M+5C5FA\M+5D7BC | \M+5BDD7\M+5B6CE\M+5B1EA\M+5BCC7 | \M+5D6D8\M+5C1BF | \M+5B1C8\M+5C0FD | \M+5B1EA\M+5BCC7 | \M+5B4A6\M+5CAFD | \M+5B7D6\M+5C7F8 | \M+5B8FC\M...,\m+5c9f3\m+5bacb | \m+5b9a4\m+5d2d5 | \m+5c5fa\m+5d7bc | \m+5bdd7\m+5b6ce\m+5b1ea\m+5bcc7 | \m+5d6d8\m+5c1bf | \m+5b1c8\m+5c0fd | \m+5b1ea\m+5bcc7 | \m+5b4a6\m+5cafd | \m+5b7d6\m+5c7f8 | \m+5b8fc\m...,,,,,,,,,,,,,,,,,,,,,0,,4,0,模板,,confirmed,manual_priority_decision; manual_priority_pack_13e; manual_final_category=模板; manual_subcategory=图框模板-A3幅面,,机械制图,0.1899,needs_followup,label_conflict
A4模板.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/A4模板.dxf,"国家标准CAD模板(A0,A1,A2,A3,A4)文件及块/A4模板.dwg",机械CAD图纸,模板,,\M+5C9F3\M+5BACB | \M+5B9A4\M+5D2D5 | \M+5C5FA\M+5D7BC | \M+5BDD7\M+5B6CE\M+5B1EA\M+5BCC7 | \M+5D6D8\M+5C1BF | \M+5B1C8\M+5C0FD | \M+5B1EA\M+5BCC7 | \M+5B4A6\M+5CAFD | \M+5B7D6\M+5C7F8 | \M+5B8FC\M...,\m+5c9f3\m+5bacb | \m+5b9a4\m+5d2d5 | \m+5c5fa\m+5d7bc | \m+5bdd7\m+5b6ce\m+5b1ea\m+5bcc7 | \m+5d6d8\m+5c1bf | \m+5b1c8\m+5c0fd | \m+5b1ea\m+5bcc7 | \m+5b4a6\m+5cafd | \m+5b7d6\m+5c7f8 | \m+5b8fc\m...,,,,,,,,,,,,,,,,,,,,,0,,4,0,模板,,confirmed,manual_priority_decision; manual_priority_pack_13e; manual_final_category=模板; manual_subcategory=图框模板-A4幅面,,机械制图,0.1862,needs_followup,label_conflict
轴零件图.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/轴零件图.dxf,CAD机械零件图纸127个/15/轴零件图.dwg,机械CAD图纸,零件图,,A | A | 1\M+5A1C145° | 1\M+5A1C145° | \M+5B1ED\M+5C3E6\M+5B4E3\M+5BBF0HRC56-62 | \M+5BEB6\M+5CFF2\M+5B3DF\M+5B4E7\M+5B1EA\M+5D7BC | I | II | \M+5D6E1\M+5CFF2\M+5D6F7\M+5D2AA\M+5BBF9\M+5D7BC | \M+5D...,a | a | 1\m+5a1c145° | 1\m+5a1c145° | \m+5b1ed\m+5c3e6\m+5b4e3\m+5bbf0hrc56-62 | \m+5beb6\m+5cff2\m+5b3df\m+5b4e7\m+5b1ea\m+5d7bc | i | ii | \m+5d6e1\m+5cff2\m+5d6f7\m+5d2aa\m+5bbf9\m+5d7bc | \m+5d...,,,,,,,,,,,,,,,,,,,,,23,linear:14.00 | linear:35.00 | linear:14.00 | linear:13.00 | linear:2.50,6,3,零件图,,confirmed,manual_priority_decision; manual_priority_pack_13e; manual_final_category=零件图; manual_subcategory=轴类,,机械制图,0.1661,needs_followup,label_conflict
轴的标注-2.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/轴的标注-2.dxf,CAD轴承/轴的标注-2.dwg,机械CAD图纸,轴的标注,,,,,,,,,,,,,,,,,,,,,,,,20,linear:%%C<> | linear:%%C<> | linear:%%C<> | linear:%%C<> | linear:%%C<>,7,1,零件图,,confirmed,manual_priority_decision; manual_priority_pack_13e; manual_final_category=零件图; manual_subcategory=轴类(标注示例),reports/experiments/20260120/MECH_4000_DWG_REVIEW_PREVIEWS_20260120/轴的标注-2.png,机械制图,0.1519,needs_followup,label_conflict
1-3底座视图.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/1-3底座视图.dxf,CAD机械零件图纸127个/1/1-3底座视图.dwg,机械CAD图纸,底座视图,,,,,,,,,,,,,,,,,,,,,,,,11,linear:8.00 | linear:11.00 | linear:9.50 | linear:15.00 | radial:4.50,6,0,零件图,,confirmed,manual_priority_decision; manual_priority_pack_13e; manual_final_category=零件图; manual_subcategory=座类-底座,,机械制图,0.1512,needs_followup,label_conflict
改箱体右盖123.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/改箱体右盖123.dxf,改箱体右盖123.dwg,蜗杆与箱体,箱体,,A | A | A-A,a | a | a-a,,,,,,,,,,,,,,,,,,,,,9,linear:6{\f宋体|b0|i0|c134|p2;×\ftxt|b0|i0|c134|p2;%%C8} | linear:%%C130 | radial:{\fISOCPEUR|b0|i0|c134|p0;%%C}110 | linear:{\fISOCPEUR|b0|i0|c0|p34;%%C}100 | linear:{%%c<>}{}{},32,4,零件图,,confirmed,manual_priority_decision; manual_priority_pack_13e; manual_final_category=零件图; manual_subcategory=盖类-箱体盖,,机械制图,0.1497,needs_followup,label_conflict
M10菱形销.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/M10菱形销.dxf,夹具设计/CAD2007/M10菱形销.dwg,机械CAD图纸,紧固件,,,,,,,,,,,,,,,,,,,,,,,,5,radial:{<>}{}{\H0.7143x;\S+0.024^ +0.015;} | linear:7.00 | linear:15.00 | linear:10.00 | linear:{%%c<>}{}{\H0.7143x;\S+0.02^ +0.012;},19,0,零件图,,confirmed,manual_priority_decision; manual_priority_pack_13e; manual_final_category=零件图; manual_subcategory=标准件-销类,,机械制图,0.1495,needs_followup,label_conflict
粗糙度2.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/粗糙度2.dxf,"国家标准CAD模板(A0,A1,A2,A3,A4)文件及块/粗糙度2.dwg",机械CAD图纸,粗糙度,,,,,,,,,,,,,,,,,,,,,,,,0,,3,0,模板,,confirmed,manual_priority_decision; manual_priority_pack_13e; manual_final_category=模板; manual_subcategory=教学模板(表面粗糙度),,机械制图,0.1492,needs_followup,label_conflict
