file_name,source_path,relative_path,source_dir,suggested_label_cn,suggested_label_en,text_sample,normalized_text_sample,title_block_drawing_number,title_block_part_name,title_block_material,title_block_scale,title_block_sheet,title_block_date,title_block_weight,title_block_company,title_block_projection,title_block_revision,review_drawing_number,review_part_name,review_material,review_scale,review_sheet,review_date,review_weight,review_company,review_projection,review_revision,dimensions_count,dimensions_sample,layers_count,hatches_count,reviewer_label_cn,reviewer_label_en,review_status,review_notes,preview_path,graph2d_label,graph2d_confidence,auto_review_verdict,auto_review_reason
1200型风送式喷雾机.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/1200型风送式喷雾机.dxf,1200型风送式喷雾机/1200型风送式喷雾机.dwg,机械CAD图纸,型风送式喷雾机,,PELECBASETEXT1 | A0 | 技术要求 1、本喷雾机水平射程最大达到40米 2、风叶电动机功率40Kw 3、喷雾所用水泵压力为1.5-3.0Mpa 4、底架采用15号槽钢和150x3等边角钢拼接制作，表面涂红色油漆 | 1 | 喷雾器水泵 | 4 | GB/T7810-1998 | 带座轴承UCP218 | 2 | GB/T6170-2000 | 六角螺母M48 | 2 | 2...,pelecbasetext1 | a0 | 技术要求 1、本喷雾机水平射程最大达到40米 2、风叶电动机功率40kw 3、喷雾所用水泵压力为1.5-3.0mpa 4、底架采用15号槽钢和150x3等边角钢拼接制作，表面涂红色油漆 | 1 | 喷雾器水泵 | 4 | gb/t7810-1998 | 带座轴承ucp218 | 2 | gb/t6170-2000 | 六角螺母m48 | 2 | 2...,,,,,,,,,,,,,,,,,,,,,12,linear:1059.44 | linear:5530.59 | linear:108 | linear:4700.00 | linear:1218.00,47,46,型风送式喷雾机,,confirmed,manual_priority_decision,,机械平面图,0.9901,needs_followup,label_conflict
基质沥青计量罐.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/基质沥青计量罐.dxf,夹具图纸、装配图纸/基质沥青计量罐.dwg,机械CAD图纸,基质沥青计量罐,,B | A | 右视图 | 布管图 | A1 | 基质沥青计量罐 | 福州大学至诚学院化学工程系 | 共 张  第 张 | 重量 | 件数 | 比例 | 10过程装备与控制工程 | 审核 | 制图 | 专业 | 技术要求 1.本设备按GB150-2011《钢制压力容器》和HG20584-2011《钢制化工容器制造技术要求》进行制造，试验和验收。 2.焊接采用电弧焊，焊条牌号E4303。 3....,b | a | 右视图 | 布管图 | a1 | 基质沥青计量罐 | 福州大学至诚学院化学工程系 | 共 张  第 张 | 重量 | 件数 | 比例 | 10过程装备与控制工程 | 审核 | 制图 | 专业 | 技术要求 1.本设备按gb150-2011《钢制压力容器》和hg20584-2011《钢制化工容器制造技术要求》进行制造，试验和验收。 2.焊接采用电弧焊，焊条牌号e4303。 3....,,HG 20592-97,图号或标准号,10,,,,,,,,,,,,,,,,,36,linear:1800.00 | linear:30.00 | linear:80.00 | linear:160.00 | linear:675.02,24,24,基质沥青计量罐,,confirmed,manual_priority_decision,,装配图,0.8945,needs_followup,label_conflict
前进离合器A1.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/前进离合器A1.dxf,夹具图纸、装配图纸/前进离合器A1.dwg,机械CAD图纸,前进离合器,,1 | 2 | 4 | 5 | 6 | 7 | 3 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | \M+5BCBC\M+5CAF5\M+5D2AA\M+5C7F3  1.\M+5D4DA\M+5D7B0\M+5C5E4\M+5C7B0\M+5CBF9\M+5D3D0\M+5C1E3\M+5...,1 | 2 | 4 | 5 | 6 | 7 | 3 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | \m+5bcbc\m+5caf5\m+5d2aa\m+5c7f3  1.\m+5d4da\m+5d7b0\m+5c5e4\m+5c7b0\m+5cbf9\m+5d3d0\m+5c1e3\m+5...,,,,,,,,,,,,,,,,,,,,,16,linear:47.73 | linear:56.72 | linear:9.93 | linear:47.73 | linear:58.20,13,39,前进离合器,,confirmed,manual_priority_decision,,装配图,0.8571,needs_followup,label_conflict
轴承外圈强化研磨上下料系统11-2.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/轴承外圈强化研磨上下料系统11-2.dxf,轴承外圈强化研磨上下料系统11-2.dwg,蜗杆与箱体,轴承,,审核 | 学号 | 比例 | A 1 | 1:2 | 序号 | 图  号 | 名 称 | 数量 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 2 | 4 | 4 | 4 | 4 | 4 | A-A | 28 | 27 | 25 | 24 | 23 | 22 | 21 | 20 | 19 | 18 | 17 | 16 | 35 | 34 | 33 | 32 | 3...,审核 | 学号 | 比例 | a 1 | 1:2 | 序号 | 图  号 | 名 称 | 数量 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 2 | 4 | 4 | 4 | 4 | 4 | a-a | 28 | 27 | 25 | 24 | 23 | 22 | 21 | 20 | 19 | 18 | 17 | 16 | 35 | 34 | 33 | 32 | 3...,,,,,,,,,,,,,,,,,,,,,26,linear:\A1;{\fISOCPEUR|b0|i0|c134|p0;\H0.8571x;%%C}20{\H0.7x;\Sh7/k6;} | linear:\A1;{\fISOCPEUR|b0|i0|c134|p0;%%C22{\H0.7x;\Sh7/r6;}} | linear:\A1;{\fISOCPEUR|b0|i0|c134|p0;%%C}24{\H0.7x;\Sh7/r6;} | linear:\A1;{\fISOCPEUR|b0|i0|c134|p0;%%C}38{\H0.7x;\Sh7/f8;} | linear:\A1;{\fISOCPEUR|b0|i0|c134|p0;\H0.8571x;%%C40\H1.1667x;{\H0.6x;\Sh7/f8;}},37,144,装配图,,confirmed,manual_priority_decision,,装配图,0.4462,needs_followup,label_conflict
后机架更换桥6.20.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/后机架更换桥6.20.dxf,夹具图纸、装配图纸/后机架更换桥6.20.dwg,机械CAD图纸,机架,,A | A | A-A | 6-∅20 | 16Mn | 16Mn | 2件/台 | 4件/台 | 标记 | 处数 | 分 区 | 更改文件号 | 签名 | 年月日 | 设计 | 审核 | 工艺 | 批准 | 阶段标记 | 重量 | 比例 | 共  张  第  张 | 日    期 | 签    字 | 底图总号 | 旧底图总号 | 描    校 | 描    图 | 借（通）用件登记 |...,a | a | a-a | 6-∅20 | 16mn | 16mn | 2件/台 | 4件/台 | 标记 | 处数 | 分 区 | 更改文件号 | 签名 | 年月日 | 设计 | 审核 | 工艺 | 批准 | 阶段标记 | 重量 | 比例 | 共  张  第  张 | 日    期 | 签    字 | 底图总号 | 旧底图总号 | 描    校 | 描    图 | 借（通）用件登记 |...,,,,,,,,,,,,,,,,,,,,,516,linear:34.00 | linear:14.00 | linear:6-%%c20 | linear:6-%%c13EQS | linear:%%c131,71,156,装配图,,confirmed,manual_priority_decision,,装配图,0.3705,needs_followup,label_conflict
机械制图77.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/机械制图77.dxf,CAD机械零件图纸127个/14/机械制图77.dwg,机械CAD图纸,机械制图,,5000-5 | A | 3.2 | 5014 | 1.\M+5C8F1\M+5B1DF\M+5B5B9\M+5B6DB\M+5A3AC\M+5B2BB\M+5B9CE\M+5BBA8\M+5A1A3 2.\M+5BAB8\M+5B7EC\M+5B2BB\M+5B5C3\M+5D3D0\M+5BCD0\M+5D4FC\M+5A1A2\M+5C6F8\M+5BFD7\M+5BCB0\M+5C1...,5000-5 | a | 3.2 | 5014 | 1.\m+5c8f1\m+5b1df\m+5b5b9\m+5b6db\m+5a3ac\m+5b2bb\m+5b9ce\m+5bba8\m+5a1a3 2.\m+5bab8\m+5b7ec\m+5b2bb\m+5b5c3\m+5d3d0\m+5bcd0\m+5d4fc\m+5a1a2\m+5c6f8\m+5bfd7\m+5bcb0\m+5c1...,,,,,,,,,,,,,,,,,,,,,17,linear:270.00 | linear:390.00 | linear:\A1;<>{\H0.7x;\S0^ -0.20;} | linear:212.00 | linear:4500%%p1.0,7,9,机械制图,,confirmed,manual_priority_decision,,装配图,0.3241,needs_followup,label_conflict
31001-1.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/31001-1.dxf,31001-1.dwg,机械零件CAD图纸,差动机构,,YK3120CNC2-31001/1 | \M+5C9E8\M+5BCC6\M+5D4B1 | \M+5BCEC  \M+5CDBC | \M+5D6F7\M+5C8CE\M+5C9E8\M+5BCC6\M+5CAA6 | \M+5B1EA\M+5D7BC\M+5BBAF\M+5C9F3\M+5B2E9 | \M+5B2FA\M+5C6B7\M+5B9A4\M+5D2D5\M+5CAA6 |...,yk3120cnc2-31001/1 | \m+5c9e8\m+5bcc6\m+5d4b1 | \m+5bcec  \m+5cdbc | \m+5d6f7\m+5c8ce\m+5c9e8\m+5bcc6\m+5caa6 | \m+5b1ea\m+5d7bc\m+5bbaf\m+5c9f3\m+5b2e9 | \m+5b2fa\m+5c6b7\m+5b9a4\m+5d2d5\m+5caa6 |...,,,,,,,,,,SA,,,,,,,,,,,133,linear:251.00 | linear:405.00 | linear:65 | linear:15 | linear:12,9,162,装配图,,confirmed,manual_priority_decision,,装配图,0.2779,needs_followup,label_conflict
4后桥装配.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/4后桥装配.dxf,夹具图纸、装配图纸/4后桥装配.dwg,机械CAD图纸,后桥装配,,59 | 60 | 61 | 62 | 63 | 64 | 65 | 66 | 67 | 68 | 69 | 70 | 71 | 72 | 73 | 74 | 75 | 76 | 77 | 78 | 79 | 80 | 轮毂 | 2 | 2 | 6 | 6 | 2 | 6 | 6 | 1 | 2 | 4 | 4 | 4 | 1 | 45钢 | 45钢 | GCr4 | 45钢 | HT200...,59 | 60 | 61 | 62 | 63 | 64 | 65 | 66 | 67 | 68 | 69 | 70 | 71 | 72 | 73 | 74 | 75 | 76 | 77 | 78 | 79 | 80 | 轮毂 | 2 | 2 | 6 | 6 | 2 | 6 | 6 | 1 | 2 | 4 | 4 | 4 | 1 | 45钢 | 45钢 | gcr4 | 45钢 | ht200...,,数量,单件,1:2,,,,,,,,,,,,,,,,,8,linear:%%c30k6 | linear:%%c62H7/f8 | linear:%%c30k6 | linear:%%c62H7/f8 | linear:%%c35H7/f7,12,59,装配图,,confirmed,manual_priority_decision,,装配图,0.2610,needs_followup,label_conflict
4后桥装配 - 副本.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/4后桥装配 - 副本.dxf,夹具图纸、装配图纸/4后桥装配 - 副本.dwg,机械CAD图纸,后桥装配,,59 | 60 | 61 | 62 | 63 | 64 | 65 | 66 | 67 | 68 | 69 | 70 | 71 | 72 | 73 | 74 | 75 | 76 | 77 | 78 | 79 | 80 | 轮毂 | 2 | 2 | 6 | 6 | 2 | 6 | 6 | 1 | 2 | 4 | 4 | 4 | 1 | 45钢 | 45钢 | GCr4 | 45钢 | HT200...,59 | 60 | 61 | 62 | 63 | 64 | 65 | 66 | 67 | 68 | 69 | 70 | 71 | 72 | 73 | 74 | 75 | 76 | 77 | 78 | 79 | 80 | 轮毂 | 2 | 2 | 6 | 6 | 2 | 6 | 6 | 1 | 2 | 4 | 4 | 4 | 1 | 45钢 | 45钢 | gcr4 | 45钢 | ht200...,,数量,单件,1:2,,,,,,,,,,,,,,,,,8,linear:%%c30k6 | linear:%%c62H7/f8 | linear:%%c30k6 | linear:%%c62H7/f8 | linear:%%c35H7/f7,12,59,装配图,,confirmed,manual_priority_decision,,装配图,0.2610,needs_followup,label_conflict
JDB00000.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/JDB00000.dxf,JDB00000.DWG,机械零件CAD图纸,轴类,,%% | \M+5BDC1\M+5B0E8\M+5D2B6\M+5C6AC\M+5B2BC\M+5D6C3\M+5CABE\M+5D2E2\M+5CDBC | \M+5B6CB\M+5B3C4\M+5B0E5 | \M+5BBA1\M+5B3C4\M+5B0E5 | \M+5A1F1 | 5 | \M+5A1F1 | 6 | \M+5A1F1 | 7 | \M+5A1F1 | 8 | \M+...,%% | \m+5bdc1\m+5b0e8\m+5d2b6\m+5c6ac\m+5b2bc\m+5d6c3\m+5cabe\m+5d2e2\m+5cdbc | \m+5b6cb\m+5b3c4\m+5b0e5 | \m+5bba1\m+5b3c4\m+5b0e5 | \m+5a1f1 | 5 | \m+5a1f1 | 6 | \m+5a1f1 | 7 | \m+5a1f1 | 8 | \m+...,,,,,,,,,,,,,,,,,,,,,6,angular:45%%d | linear:6 | linear:82 | linear:207X9+200(=2063) | linear:15,28,0,装配图,,confirmed,manual_priority_decision,reports/experiments/20260120/MECH_4000_DWG_REVIEW_PREVIEWS_20260120/JDB00000.png,装配图,0.2511,needs_followup,label_conflict
