term,count,files
借用,96,JDB00000.DWG | JDC00000.DWG | JDF00000.DWG | PE2540.0.dwg
重量,67,31001-1.dwg | 31001-2.dwg | 5.dwg | 61001.dwg | FU200-02-01-1.DWG | FU200-02-01-2.DWG | FU200-02-05.DWG | FU200-02-06.DWG | FU200-02-13-01.DWG | GB27-88.DWG | JDA00000.DWG | JDB00000.DWG | JDC00000.DWG | JDD00000.DWG | JDE00000.DWG | JDF00000.DWG | PE2540.0.dwg | ZHITUI.DWG
审核,53,31001-1.dwg | 31001-2.dwg | 5.dwg | 61001.dwg | FU200-02-01-1.DWG | FU200-02-01-2.DWG | FU200-02-05.DWG | FU200-02-06.DWG | FU200-02-13-01.DWG | GB27-88.DWG | JDA00000.DWG | JDB00000.DWG | JDC00000.DWG | JDD00000.DWG | JDE00000.DWG | JDF00000.DWG | PE2540.0.dwg | ZHITUI.DWG
紫铜管,50,31001-1.dwg | 31001-2.dwg
垫圈,46,JDA00000.DWG | JDB00000.DWG | JDC00000.DWG | JDD00000.DWG | JDF00000.DWG | PE2540.0.dwg
工艺,45,FU200-02-01-1.DWG | FU200-02-01-2.DWG | FU200-02-05.DWG | FU200-02-06.DWG | FU200-02-13-01.DWG | GB27-88.DWG | JDA00000.DWG | JDB00000.DWG | JDC00000.DWG | JDD00000.DWG | JDE00000.DWG | JDF00000.DWG | ZHITUI.DWG
日期,44,31001-1.dwg | 31001-2.dwg | 61001.dwg | FU200-02-01-1.DWG | FU200-02-01-2.DWG | FU200-02-05.DWG | FU200-02-06.DWG | FU200-02-13-01.DWG | GB27-88.DWG | JDB00000.DWG | JDC00000.DWG | JDD00000.DWG | PE2540.0.dwg
螺栓,42,JDA00000.DWG | JDB00000.DWG | JDC00000.DWG | JDD00000.DWG | JDF00000.DWG | PE2540.0.dwg
设计,41,31001-1.dwg | 31001-2.dwg | 5.dwg | 61001.dwg | FU200-02-01-1.DWG | FU200-02-01-2.DWG | FU200-02-05.DWG | FU200-02-06.DWG | FU200-02-13-01.DWG | GB27-88.DWG | JDA00000.DWG | JDB00000.DWG | JDC00000.DWG | JDD00000.DWG | JDE00000.DWG | JDF00000.DWG | PE2540.0.dwg | ZHITUI.DWG
螺母,40,JDA00000.DWG | JDB00000.DWG | JDC00000.DWG | JDD00000.DWG | JDF00000.DWG | PE2540.0.dwg
批准,36,FU200-02-01-1.DWG | FU200-02-01-2.DWG | FU200-02-05.DWG | FU200-02-06.DWG | FU200-02-13-01.DWG | JDA00000.DWG | JDB00000.DWG | JDC00000.DWG | JDD00000.DWG | JDE00000.DWG | JDF00000.DWG | PE2540.0.dwg | ZHITUI.DWG
校对,35,31001-1.dwg | 31001-2.dwg | 61001.dwg | FU200-02-01-1.DWG | FU200-02-01-2.DWG | FU200-02-05.DWG | FU200-02-06.DWG | FU200-02-13-01.DWG | JDA00000.DWG | JDB00000.DWG | JDE00000.DWG | JDF00000.DWG | ZHITUI.DWG
处数,33,FU200-02-01-1.DWG | FU200-02-01-2.DWG | FU200-02-05.DWG | FU200-02-06.DWG | FU200-02-13-01.DWG | GB27-88.DWG | JDA00000.DWG | JDB00000.DWG | JDC00000.DWG | JDD00000.DWG | JDE00000.DWG | JDF00000.DWG | PE2540.0.dwg | ZHITUI.DWG
图号,31,31001-1.dwg | 31001-2.dwg | 5.dwg | 61001.dwg
名称,29,31001-1.dwg | 31001-2.dwg | 61001.dwg | FU200-02-13-01.DWG | JDA00000.DWG | JDB00000.DWG | JDC00000.DWG | JDD00000.DWG | JDE00000.DWG | JDF00000.DWG | PE2540.0.dwg | ZHITUI.DWG
材料,28,31001-1.dwg | 31001-2.dwg | 5.dwg | 61001.dwg | FU200-02-13-01.DWG | JDA00000.DWG | JDB00000.DWG | JDC00000.DWG | JDD00000.DWG | JDE00000.DWG | JDF00000.DWG | PE2540.0.dwg | ZHITUI.DWG
耐磨铸铁,28,JDB00000.DWG | JDC00000.DWG
第张,26,31001-1.dwg | 31001-2.dwg | 61001.dwg | FU200-02-01-1.DWG | FU200-02-01-2.DWG | FU200-02-05.DWG | FU200-02-06.DWG | FU200-02-13-01.DWG | GB27-88.DWG | JDB00000.DWG | JDC00000.DWG | JDD00000.DWG | PE2540.0.dwg
共张,26,31001-1.dwg | 31001-2.dwg | 61001.dwg | FU200-02-01-1.DWG | FU200-02-01-2.DWG | FU200-02-05.DWG | FU200-02-06.DWG | FU200-02-13-01.DWG | GB27-88.DWG | JDB00000.DWG | JDC00000.DWG | JDD00000.DWG | PE2540.0.dwg
标记,24,31001-1.dwg | 31001-2.dwg | 61001.dwg | FU200-02-01-1.DWG | FU200-02-01-2.DWG | FU200-02-05.DWG | FU200-02-06.DWG | FU200-02-13-01.DWG | GB27-88.DWG | JDA00000.DWG | JDE00000.DWG | PE2540.0.dwg
标准化,20,31001-1.dwg | 31001-2.dwg | 61001.dwg | FU200-02-01-1.DWG | FU200-02-01-2.DWG | FU200-02-05.DWG | FU200-02-06.DWG | FU200-02-13-01.DWG | GB27-88.DWG | JDA00000.DWG | JDE00000.DWG
齿数,20,31001-1.dwg | 31001-2.dwg | 61001.dwg
端衬板,20,JDB00000.DWG | JDC00000.DWG
精度等级,19,31001-1.dwg | 31001-2.dwg | 61001.dwg
签名,19,GB27-88.DWG | JDA00000.DWG | JDB00000.DWG | JDC00000.DWG | JDD00000.DWG | JDE00000.DWG | JDF00000.DWG | ZHITUI.DWG
图样标记,18,31001-1.dwg | 31001-2.dwg | 61001.dwg | FU200-02-01-1.DWG | FU200-02-01-2.DWG | FU200-02-05.DWG | FU200-02-06.DWG | FU200-02-13-01.DWG | GB27-88.DWG | PE2540.0.dwg
签字,18,FU200-02-01-1.DWG | FU200-02-01-2.DWG | FU200-02-05.DWG | FU200-02-06.DWG | FU200-02-13-01.DWG | GB27-88.DWG | JDB00000.DWG | JDC00000.DWG | JDD00000.DWG | PE2540.0.dwg
代号,18,FU200-02-13-01.DWG | JDA00000.DWG | JDB00000.DWG | JDC00000.DWG | JDD00000.DWG | JDE00000.DWG | JDF00000.DWG | PE2540.0.dwg | ZHITUI.DWG
分区,18,JDA00000.DWG | JDB00000.DWG | JDC00000.DWG | JDD00000.DWG | JDE00000.DWG | JDF00000.DWG | ZHITUI.DWG
槽钢,18,JDE00000.DWG
密封环,14,PE2540.0.dwg
共张第张,13,31001-1.dwg | 31001-2.dwg | 61001.dwg | JDA00000.DWG | JDE00000.DWG | JDF00000.DWG | ZHITUI.DWG
