term,count,files
端衬板,20,JDB00000.DWG | JDC00000.DWG
轴承盖,10,JDB00000.DWG | JDF00000.DWG | PE2540.0.dwg
轴承座,8,FU200-02-01-2.DWG | JDB00000.DWG | JDF00000.DWG
弧衬板,8,JDB00000.DWG | JDC00000.DWG
立柱装配图,6,31001-1.dwg | 31001-2.dwg
相配蜗杆,6,31001-1.dwg | 31001-2.dwg | 61001.dwg
相配蜗轮,6,31001-1.dwg | 31001-2.dwg
角钢,6,FU200-02-13-01.DWG | JDE00000.DWG
去刀架,4,31001-1.dwg
两轴,4,31001-2.dwg
来自小立柱,4,61001.dwg
压板,4,PE2540.0.dwg
压盖,4,FU200-02-01-1.DWG | PE2540.0.dwg
挡板,4,JDD00000.DWG | PE2540.0.dwg
支腿,4,JDA00000.DWG | ZHITUI.DWG
机床带差动机构,2,31001-1.dwg
刀架,2,31001-1.dwg
采用松下伺服电机的装配图,2,31001-2.dwg
工作台装配图,2,61001.dwg
挡灰板,2,PE2540.0.dwg
肘板座,2,PE2540.0.dwg
肘板,2,PE2540.0.dwg
活动齿板,2,PE2540.0.dwg
固定齿板,2,PE2540.0.dwg
右边护板,2,PE2540.0.dwg
左边护板,2,PE2540.0.dwg
偏心轴,2,PE2540.0.dwg
托轮轴压板,2,FU200-02-05.DWG
带座轴承板,2,FU200-02-06.DWG
齿轮罩,2,JDA00000.DWG
搅拌轴,2,JDB00000.DWG
垫板,2,JDB00000.DWG
刮板,2,JDB00000.DWG
接机动浓油泵,2,JDB00000.DWG
铝板,2,JDC00000.DWG
油管布置示意图,2,JDC00000.DWG
长轴,2,JDF00000.DWG
短轴,2,JDF00000.DWG
闷盖,2,JDF00000.DWG
拨叉,1,5.dwg
铰制螺栓,1,GB27-88.DWG
