file_name,output_path,status,error,relative_path,source_dir
1200型风送式喷雾机.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/1200型风送式喷雾机.dxf,ok,,1200型风送式喷雾机/1200型风送式喷雾机.dwg,机械CAD图纸
前筒体（改）.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/前筒体（改）.dxf,ok,,1200型风送式喷雾机/前筒体（改）.dwg,机械CAD图纸
后筒体（改）.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/后筒体（改）.dxf,ok,,1200型风送式喷雾机/后筒体（改）.dwg,机械CAD图纸
喷雾器组件（改）.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/喷雾器组件（改）.dxf,ok,,1200型风送式喷雾机/喷雾器组件（改）.dwg,机械CAD图纸
风叶(改).dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/风叶(改).dxf,ok,,1200型风送式喷雾机/风叶(改).dwg,机械CAD图纸
上摆臂.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/上摆臂.dxf,ok,,2007版本的/上摆臂.dwg,机械CAD图纸
中摆臂.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/中摆臂.dxf,ok,,2007版本的/中摆臂.dwg,机械CAD图纸
光线调节座.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/光线调节座.dxf,ok,,2007版本的/光线调节座.dwg,机械CAD图纸
前盖板.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/前盖板.dxf,ok,,2007版本的/前盖板.dwg,机械CAD图纸
压紧片.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/压紧片.dxf,ok,,2007版本的/压紧片.dwg,机械CAD图纸
底座.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/底座.dxf,ok,,2007版本的/底座.dwg,机械CAD图纸
校准指示激光器结构示意图.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/校准指示激光器结构示意图.dxf,ok,,2007版本的/校准指示激光器结构示意图.dwg,机械CAD图纸
激光发射仓结构图.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/激光发射仓结构图.dxf,ok,,2007版本的/激光发射仓结构图.dwg,机械CAD图纸
激光固定座.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/激光固定座.dxf,ok,,2007版本的/激光固定座.dwg,机械CAD图纸
激光固定座2.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/激光固定座2.dxf,ok,,2007版本的/激光固定座2.dwg,机械CAD图纸
瞄准指示激光器结构示意图.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/瞄准指示激光器结构示意图.dxf,ok,,2007版本的/瞄准指示激光器结构示意图.dwg,机械CAD图纸
镜头固定座.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/镜头固定座.dxf,ok,,2007版本的/镜头固定座.dwg,机械CAD图纸
零件一.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/零件一.dxf,ok,,CAD图纸抄画/已完成/零件一.dwg,机械CAD图纸
零件七.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/零件七.dxf,ok,,CAD图纸抄画/已完成/零件七.dwg,机械CAD图纸
零件三.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/零件三.dxf,ok,,CAD图纸抄画/已完成/零件三.dwg,机械CAD图纸
零件九.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/零件九.dxf,ok,,CAD图纸抄画/已完成/零件九.dwg,机械CAD图纸
零件二.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/零件二.dxf,ok,,CAD图纸抄画/已完成/零件二.dwg,机械CAD图纸
零件五.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/零件五.dxf,ok,,CAD图纸抄画/已完成/零件五.dwg,机械CAD图纸
零件八.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/零件八.dxf,ok,,CAD图纸抄画/已完成/零件八.dwg,机械CAD图纸
零件六.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/零件六.dxf,ok,,CAD图纸抄画/已完成/零件六.dwg,机械CAD图纸
零件四.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/零件四.dxf,ok,,CAD图纸抄画/已完成/零件四.dwg,机械CAD图纸
轴的标注.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/轴的标注.dxf,ok,,CAD机械零件图及高阶练习图纸/CAD机械零件图/轴的标注.dwg,机械CAD图纸
1-1泵盖图.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/1-1泵盖图.dxf,ok,,CAD机械零件图纸127个/1/1-1泵盖图.dwg,机械CAD图纸
1-2弹簧视图.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/1-2弹簧视图.dxf,ok,,CAD机械零件图纸127个/1/1-2弹簧视图.dwg,机械CAD图纸
1-3底座视图.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/1-3底座视图.dxf,ok,,CAD机械零件图纸127个/1/1-3底座视图.dwg,机械CAD图纸
1-6机械平面图1.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/1-6机械平面图1.dxf,ok,,CAD机械零件图纸127个/1/1-6机械平面图1.dwg,机械CAD图纸
1-7机械平面图2.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/1-7机械平面图2.dxf,ok,,CAD机械零件图纸127个/1/1-7机械平面图2.dwg,机械CAD图纸
1-8机械平面图3.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/1-8机械平面图3.dxf,ok,,CAD机械零件图纸127个/1/1-8机械平面图3.dwg,机械CAD图纸
1-9机械平面图4.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/1-9机械平面图4.dxf,ok,,CAD机械零件图纸127个/1/1-9机械平面图4.dwg,机械CAD图纸
餐桌底视图.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/餐桌底视图.dxf,ok,,CAD机械零件图纸127个/1/餐桌底视图.dwg,机械CAD图纸
机械制图49.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/机械制图49.dxf,ok,,CAD机械零件图纸127个/10/机械制图49.dwg,机械CAD图纸
机械制图50.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/机械制图50.dxf,ok,,CAD机械零件图纸127个/10/机械制图50.dwg,机械CAD图纸
机械制图51.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/机械制图51.dxf,ok,,CAD机械零件图纸127个/10/机械制图51.dwg,机械CAD图纸
机械制图52.dwg,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/机械制图52.dxf,ok,,CAD机械零件图纸127个/10/机械制图52.dwg,机械CAD图纸
