file_name,source_path,relative_path,source_dir,suggested_label_cn,suggested_label_en,text_sample,normalized_text_sample,title_block_drawing_number,title_block_part_name,title_block_material,title_block_scale,title_block_sheet,title_block_date,title_block_weight,title_block_company,title_block_projection,title_block_revision,review_drawing_number,review_part_name,review_material,review_scale,review_sheet,review_date,review_weight,review_company,review_projection,review_revision,dimensions_count,dimensions_sample,layers_count,hatches_count,reviewer_label_cn,reviewer_label_en,review_status,review_notes,preview_path,graph2d_label,graph2d_confidence,auto_review_verdict,auto_review_reason,preview_pack_path
31001-2.dxf,reports/experiments/20260121/dxf_unlabeled/31001-2.dxf,31001-2.dwg,机械零件CAD图纸,蜗杆,worm,\M+5A2F2 | \M+5A2F3 | \M+5A2F4 | \M+5A2F6 | \M+5A2FB | \M+5A2F5 | \M+5A2F6 | \M+5A2F8 | \M+5A2F4 | \M+5A2F3 | \M+5A2F2 | \M+5A2F5 | \M+5A2F6 | \M+5A2FB | YK3120CNC2-31001/2 | \M+5C9E8\M+5BCC6\M+5D4...,\m+5a2f2 | \m+5a2f3 | \m+5a2f4 | \m+5a2f6 | \m+5a2fb | \m+5a2f5 | \m+5a2f6 | \m+5a2f8 | \m+5a2f4 | \m+5a2f3 | \m+5a2f2 | \m+5a2f5 | \m+5a2f6 | \m+5a2fb | yk3120cnc2-31001/2 | \m+5c9e8\m+5bcc6\m+5d4...,,,,,,,,,,,,,,,,,,,,,430,linear:60.00 | linear:22.00 | linear:20.00 | linear:22.00 | linear:19.00,8,424,,,pending,,reports/experiments/20260121/MECH_4000_DWG_REVIEW_PREVIEWS_20260121/31001-2.png,机械制图,0.3147,needs_followup,label_conflict,previews/001_31001-2.png
FU200-02-01-1.dxf,reports/experiments/20260121/dxf_unlabeled/FU200-02-01-1.dxf,FU200-02-01-1.DWG,机械零件CAD图纸,盖,cover,2x45%%D | 1.5x45%%D | 6.3 | 6.3 | 3.2 | 6-Ø9 | 4-Ø4 | \M+5BEF9\M+5B2BC | \M+5BEF9\M+5B2BC | \M+5BCBC\M+5CAF5\M+5D2AA\M+5C7F3 | \M+5D6FD\M+5BCFE\M+5B2BB\M+5B5C3\M+5D3D0\M+5D3B0\M+5CFEC\M+5D0D4\M+5C4...,2x45%%d | 1.5x45%%d | 6.3 | 6.3 | 3.2 | 6-ø9 | 4-ø4 | \m+5bef9\m+5b2bc | \m+5bef9\m+5b2bc | \m+5bcbc\m+5caf5\m+5d2aa\m+5c7f3 | \m+5d6fd\m+5bcfe\m+5b2bb\m+5b5c3\m+5d3d0\m+5d3b0\m+5cfec\m+5d0d4\m+5c4...,,,,,,,,,,,,,,,,,,,,,12,linear:{%%C<>} | linear:{%%C<>} | linear:{%%C<>} | linear:-1.00 | linear:-1.00,6,0,,,pending,,reports/experiments/20260121/MECH_4000_DWG_REVIEW_PREVIEWS_20260121/FU200-02-01-1.png,机械制图,0.2557,needs_followup,label_conflict,previews/002_FU200-02-01-1.png
JDD00000.dxf,reports/experiments/20260121/dxf_unlabeled/JDD00000.dxf,JDD00000.DWG,机械零件CAD图纸,挡板,baffle plate,\M+5A1F1 | 1 | 105 | 104 | 103 | \M+5A1F1 | 107 | \M+5A1F1 | 106 | \M+5A1F1 | 2 | \M+5A1F1 | 102 | 101 | \M+5A1F1 | 3 | 1 | JDDAOO00 | \M+5D6A7\M+5BCDC | 1 | 2 | JDDOOO01 | \M+5B3DD\M+5C2D6 | 1 | 4...,\m+5a1f1 | 1 | 105 | 104 | 103 | \m+5a1f1 | 107 | \m+5a1f1 | 106 | \m+5a1f1 | 2 | \m+5a1f1 | 102 | 101 | \m+5a1f1 | 3 | 1 | jddaoo00 | \m+5d6a7\m+5bcdc | 1 | 2 | jddooo01 | \m+5b3dd\m+5c2d6 | 1 | 4...,,,,,,,,,,,,,,,,,,,,,4,linear:330 | linear:330 | linear:113 | linear:419,27,0,,,pending,,reports/experiments/20260121/MECH_4000_DWG_REVIEW_PREVIEWS_20260121/JDD00000.png,机械制图,0.4252,needs_followup,label_conflict,previews/003_JDD00000.png
JDB00000.dxf,reports/experiments/20260121/dxf_unlabeled/JDB00000.dxf,JDB00000.DWG,机械零件CAD图纸,旋转组件,rotary assembly,%% | \M+5BDC1\M+5B0E8\M+5D2B6\M+5C6AC\M+5B2BC\M+5D6C3\M+5CABE\M+5D2E2\M+5CDBC | \M+5B6CB\M+5B3C4\M+5B0E5 | \M+5BBA1\M+5B3C4\M+5B0E5 | \M+5A1F1 | 5 | \M+5A1F1 | 6 | \M+5A1F1 | 7 | \M+5A1F1 | 8 | \M+...,%% | \m+5bdc1\m+5b0e8\m+5d2b6\m+5c6ac\m+5b2bc\m+5d6c3\m+5cabe\m+5d2e2\m+5cdbc | \m+5b6cb\m+5b3c4\m+5b0e5 | \m+5bba1\m+5b3c4\m+5b0e5 | \m+5a1f1 | 5 | \m+5a1f1 | 6 | \m+5a1f1 | 7 | \m+5a1f1 | 8 | \m+...,,,,,,,,,,,,,,,,,,,,,6,angular:45%%d | linear:6 | linear:82 | linear:207X9+200(=2063) | linear:15,28,0,,,pending,,reports/experiments/20260121/MECH_4000_DWG_REVIEW_PREVIEWS_20260121/JDB00000.png,机械制图,0.4586,needs_followup,label_conflict,previews/004_JDB00000.png
61001.dxf,reports/experiments/20260121/dxf_unlabeled/61001.dxf,61001.dwg,机械零件CAD图纸,旋转组件,rotary assembly,J-72X6 Q43-2 | 50X72X12   61910/P5 | 72 J62-3A | 55X78X16  81111/P4 | 40X68X21 NN3008K/P4 | 68X8   Q43-2 | M10X40  J21-9A | 61301 | 61302 | 4X20  J44-1 | 61305 | M6X20  J21-1A | 61304 | 61303 | 613...,j-72x6 q43-2 | 50x72x12   61910/p5 | 72 j62-3a | 55x78x16  81111/p4 | 40x68x21 nn3008k/p4 | 68x8   q43-2 | m10x40  j21-9a | 61301 | 61302 | 4x20  j44-1 | 61305 | m6x20  j21-1a | 61304 | 61303 | 613...,,,,,,,,,,,,,,,,,,,,,136,linear:560.00 | linear:%%c40h6 | linear:32 | linear:160.00 | linear:%%C70,15,109,,,pending,,reports/experiments/20260121/MECH_4000_DWG_REVIEW_PREVIEWS_20260121/61001.png,机械制图,0.3982,needs_followup,label_conflict,previews/005_61001.png
FU200-02-05.dxf,reports/experiments/20260121/dxf_unlabeled/FU200-02-05.dxf,FU200-02-05.DWG,机械零件CAD图纸,托轮轴压板,roller shaft clamp plate,12.5 | \M+5C9F3   \M+5BACB | \M+5B9A4   \M+5D2D5 | \M+5C8D5   \M+5C6DA | \M+5B5DA       \M+5D5C5 | \M+5B9B2        \M+5D5C5 | 2002.05 | \M+5B8FC\M+5B8C4\M+5CEC4\M+5BCFE\M+5BAC5 | \M+5B4A6\M+5CAFD |...,12.5 | \m+5c9f3   \m+5bacb | \m+5b9a4   \m+5d2d5 | \m+5c8d5   \m+5c6da | \m+5b5da       \m+5d5c5 | \m+5b9b2        \m+5d5c5 | 2002.05 | \m+5b8fc\m+5b8c4\m+5cec4\m+5bcfe\m+5bac5 | \m+5b4a6\m+5cafd |...,,,,,,,,,,,,,,,,,,,,,5,linear:{%%C<>} | linear:{%%C<>} | linear:{%%C<>} | linear:-1.00 | linear:-1.00,5,0,,,pending,,reports/experiments/20260121/MECH_4000_DWG_REVIEW_PREVIEWS_20260121/FU200-02-05.png,机械制图,0.2981,needs_followup,label_conflict,previews/006_FU200-02-05.png
JDF00000.dxf,reports/experiments/20260121/dxf_unlabeled/JDF00000.dxf,JDF00000.DWG,机械零件CAD图纸,盖,cover,A2 | 1:3 | \M+5D0B6\M+5C1CF\M+5C3C5 | JD F000 00 | \M+5A1F1 | \M+5D2A1 | \M+5B1DB | \M+5D6D0 | \M+5D0C4 | \M+5CFDF | %%C100H7 | 1 | JC F000 01 | \M+5B5E6\M+5C6AC | 10 | Q235\M+5A3ADA | 2 | JD FOOO...,a2 | 1:3 | \m+5d0b6\m+5c1cf\m+5c3c5 | jd f000 00 | \m+5a1f1 | \m+5d2a1 | \m+5b1db | \m+5d6d0 | \m+5d0c4 | \m+5cfdf | %%c100h7 | 1 | jc f000 01 | \m+5b5e6\m+5c6ac | 10 | q235\m+5a3ada | 2 | jd fooo...,,,,,,,,,,,,,,,,,,,,,0,,27,0,,,pending,,reports/experiments/20260121/MECH_4000_DWG_REVIEW_PREVIEWS_20260121/JDF00000.png,机械制图,0.2687,needs_followup,label_conflict,previews/007_JDF00000.png
FU200-02-06.dxf,reports/experiments/20260121/dxf_unlabeled/FU200-02-06.dxf,FU200-02-06.DWG,机械零件CAD图纸,轴承,bearing,3.2 | 12.5 | 6.3 | 6.3 | 6.3 | \M+5B5DA       \M+5D5C5 | \M+5C5FA   \M+5D7BC | \M+5D0A3   \M+5B6D4 | \M+5B9A4   \M+5D2D5 | \M+5C9F3   \M+5BACB | 2002.05 | \M+5C8D5   \M+5C6DA | \M+5B9B2        \M+5...,3.2 | 12.5 | 6.3 | 6.3 | 6.3 | \m+5b5da       \m+5d5c5 | \m+5c5fa   \m+5d7bc | \m+5d0a3   \m+5b6d4 | \m+5b9a4   \m+5d2d5 | \m+5c9f3   \m+5bacb | 2002.05 | \m+5c8d5   \m+5c6da | \m+5b9b2        \m+5...,,,,,,,,,,,,,,,,,,,,,10,"linear:{%%c<>} | linear:{%%c<>} | linear:-1.00 | radial:-1.00 | radial:\Ftxt.shx,hztxt.shx;<>",5,0,,,pending,,reports/experiments/20260121/MECH_4000_DWG_REVIEW_PREVIEWS_20260121/FU200-02-06.png,机械制图,0.2680,needs_followup,label_conflict,previews/008_FU200-02-06.png
ZHITUI.dxf,reports/experiments/20260121/dxf_unlabeled/ZHITUI.dxf,ZHITUI.DWG,机械零件CAD图纸,支腿,support leg,\M+5D6A7 \M+5CDC8 | 1:15 | A | 325 | B | 1:5 | B\M+5CFF2 | 16-%%C27 | 1:5 | C-C | 8-%%C33 | A\M+5CFF2 | C | C | 1980 | 1980 | 35 | 168 | \M+5BDD7\M+5B6CE%%p\M+5EABCÇ | \M+5B9B2   \M+5D5C5    \M+5B5...,\m+5d6a7 \m+5cdc8 | 1:15 | a | 325 | b | 1:5 | b\m+5cff2 | 16-%%c27 | 1:5 | c-c | 8-%%c33 | a\m+5cff2 | c | c | 1980 | 1980 | 35 | 168 | \m+5bdd7\m+5b6ce%%p\m+5eabcç | \m+5b9b2   \m+5d5c5    \m+5b5...,,,,,,,,,,,,,,,,,,,,,19,linear:4460 | linear:150 | linear:150 | linear: 2630 +1 -1\M+5AFA4 | angular:75%%D,27,0,,,pending,,,机械制图,0.6094,needs_followup,label_conflict,previews/009_ZHITUI.png
5.dxf,reports/experiments/20260121/dxf_unlabeled/5.dxf,5.dwg,机械零件CAD图纸,拨叉,shift fork,,,,,,,,,,,,,,,,,,,,,,,4,radial:12{\f\M+5CBCE\M+5CCE5|b0|i0|c134|p54;\M+5A1C1}<> | radial:300.00 | radial:500.00 | radial:600.00,9,0,,,pending,,,机械制图,0.2060,needs_followup,label_conflict,previews/010_5.png
