file_name,output_path,status,error,relative_path,source_dir
BTJ01230901522-00汽水分离器v1.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ01230901522-00汽水分离器v1.dxf,ok,,BTJ01230901522-00汽水分离器v1.dwg,训练图纸
BTJ01230901522-00汽水分离器v2.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ01230901522-00汽水分离器v2.dxf,ok,,BTJ01230901522-00汽水分离器v2.dwg,训练图纸
BTJ01231101522-00自动进料装置v1.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ01231101522-00自动进料装置v1.dxf,ok,,BTJ01231101522-00自动进料装置v1.dwg,训练图纸
BTJ01231101522-00自动进料装置v2.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ01231101522-00自动进料装置v2.dxf,ok,,BTJ01231101522-00自动进料装置v2.dwg,训练图纸
BTJ01231201522-00拖车DN1500v1.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ01231201522-00拖车DN1500v1.dxf,ok,,BTJ01231201522-00拖车DN1500v1.dwg,训练图纸
BTJ01231201522-00拖车DN1500v2.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ01231201522-00拖车DN1500v2.dxf,ok,,BTJ01231201522-00拖车DN1500v2.dwg,训练图纸
BTJ01231301522-00蜗轮蜗杆传动出料机构v1.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ01231301522-00蜗轮蜗杆传动出料机构v1.dxf,ok,,BTJ01231301522-00蜗轮蜗杆传动出料机构v1.dwg,训练图纸
BTJ01231301522-00蜗轮蜗杆传动出料机构v2.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ01231301522-00蜗轮蜗杆传动出料机构v2.dxf,ok,,BTJ01231301522-00蜗轮蜗杆传动出料机构v2.dwg,训练图纸
BTJ01231301522-00蜗轮蜗杆传动出料机构v3.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ01231301522-00蜗轮蜗杆传动出料机构v3.dxf,ok,,BTJ01231301522-00蜗轮蜗杆传动出料机构v3.dwg,训练图纸
BTJ01231301522-01轴向定位轴承v1.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ01231301522-01轴向定位轴承v1.dxf,ok,,BTJ01231301522-01轴向定位轴承v1.dwg,训练图纸
BTJ01231301522-01轴向定位轴承v2.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ01231301522-01轴向定位轴承v2.dxf,ok,,BTJ01231301522-01轴向定位轴承v2.dwg,训练图纸
BTJ01231501522-00短轴承座(盖)v1.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ01231501522-00短轴承座(盖)v1.dxf,ok,,BTJ01231501522-00短轴承座(盖)v1.dwg,训练图纸
BTJ01231501522-00短轴承座(盖)v2.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ01231501522-00短轴承座(盖)v2.dxf,ok,,BTJ01231501522-00短轴承座(盖)v2.dwg,训练图纸
BTJ01231501522-00短轴承座(盖)v3.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ01231501522-00短轴承座(盖)v3.dxf,ok,,BTJ01231501522-00短轴承座(盖)v3.dwg,训练图纸
BTJ01232801522-01电加热箱v1.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ01232801522-01电加热箱v1.dxf,ok,,BTJ01232801522-01电加热箱v1.dwg,训练图纸
BTJ01232801522-01电加热箱v2.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ01232801522-01电加热箱v2.dxf,ok,,BTJ01232801522-01电加热箱v2.dwg,训练图纸
BTJ01239601522-03扭转弹簧v1.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ01239601522-03扭转弹簧v1.dxf,ok,,BTJ01239601522-03扭转弹簧v1.dwg,训练图纸
BTJ01239601522-03扭转弹簧v2.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ01239601522-03扭转弹簧v2.dxf,ok,,BTJ01239601522-03扭转弹簧v2.dwg,训练图纸
BTJ01239601522-03扭转弹簧v3.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ01239601522-03扭转弹簧v3.dxf,ok,,BTJ01239601522-03扭转弹簧v3.dwg,训练图纸
BTJ01239901522-00拖轮组件v1.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ01239901522-00拖轮组件v1.dxf,ok,,BTJ01239901522-00拖轮组件v1.dwg,训练图纸
BTJ01239901522-00拖轮组件v2.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ01239901522-00拖轮组件v2.dxf,ok,,BTJ01239901522-00拖轮组件v2.dwg,训练图纸
BTJ02230101102-12手轮组件v1.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ02230101102-12手轮组件v1.dxf,ok,,BTJ02230101102-12手轮组件v1.dwg,训练图纸
BTJ02230101102-12手轮组件v2.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ02230101102-12手轮组件v2.dxf,ok,,BTJ02230101102-12手轮组件v2.dwg,训练图纸
BTJ02230301120-03保护罩组件v1.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ02230301120-03保护罩组件v1.dxf,ok,,BTJ02230301120-03保护罩组件v1.dwg,训练图纸
BTJ02230301120-03保护罩组件v2.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ02230301120-03保护罩组件v2.dxf,ok,,BTJ02230301120-03保护罩组件v2.dwg,训练图纸
BTJ14240301522-00防爆视灯组件v1.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ14240301522-00防爆视灯组件v1.dxf,ok,,BTJ14240301522-00防爆视灯组件v1.dwg,训练图纸
BTJ14240301522-00防爆视灯组件v2.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ14240301522-00防爆视灯组件v2.dxf,ok,,BTJ14240301522-00防爆视灯组件v2.dwg,训练图纸
J0224014-09液压开盖组件v1.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0224014-09液压开盖组件v1.dxf,ok,,J0224014-09液压开盖组件v1.dwg,训练图纸
