file_name,true_label,pred_label,confidence,margin,bucket
J0525002-04-02过滤托架v1.dxf,过滤组件,开孔件,0.109,0.008,low_confidence
J0224025-06-01-03出料凸缘v1.dxf,法兰,开孔件,0.109,0.008,low_confidence
J0224014-09液压开盖组件v1.dxf,传动件,开孔件,0.107,0.004,low_confidence
J2925001-05管束v1.dxf,设备,开孔件,0.111,0.007,low_confidence
LTJ012306102-0084调节螺栓v1.dxf,紧固件,开孔件,0.111,0.009,low_confidence
BTJ01231201522-00拖车DN1500v1.dxf,设备,开孔件,0.123,0.022,low_confidence
J0225034-05罐体部分v2.dxf,罐体,开孔件,0.121,0.009,low_confidence
J0724006-05上封头组件v3.dxf,罐体,开孔件,0.106,0.005,low_confidence
BTJ01231501522-00短轴承座(盖)v1.dxf,轴承件,开孔件,0.110,0.008,low_confidence
J0724006-01下锥体组件v2.dxf,罐体,开孔件,0.105,0.001,low_confidence
J3025001-12轴承座v2.dxf,轴承件,开孔件,0.111,0.008,low_confidence
J2825002-09下轴承支架组件v2.dxf,轴承件,开孔件,0.112,0.010,low_confidence
BTJ01231501522-00短轴承座(盖)v3.dxf,轴承件,开孔件,0.110,0.008,low_confidence
LTJ012303106-0030连接法兰(大)v2.dxf,法兰,开孔件,0.126,0.021,low_confidence
BTJ01239601522-03扭转弹簧v2.dxf,弹簧,开孔件,0.115,0.011,low_confidence
J0224014-09液压开盖组件v2.dxf,传动件,开孔件,0.107,0.004,low_confidence
J0224036-10搅拌减速机机罩v1.dxf,罩盖件,开孔件,0.108,0.008,low_confidence
BTJ01231101522-00自动进料装置v2.dxf,设备,开孔件,0.107,0.011,low_confidence
BTJ01232801522-01电加热箱v1.dxf,设备,开孔件,0.113,0.009,low_confidence
J2824002-06上封头组件v2.dxf,罐体,开孔件,0.119,0.017,low_confidence
