file_name,true_label,pred_label,confidence,margin,bucket
J2825002-09下轴承支架组件v1.dxf,轴承件,传动件,0.168,0.001,low_confidence
BTJ01231301522-01轴向定位轴承v1.dxf,轴承件,传动件,0.174,0.011,low_confidence
J2925001-00再沸器v3.dxf,设备,罐体,0.168,0.009,low_confidence
BTJ01232801522-01电加热箱v1.dxf,设备,传动件,0.178,0.020,low_confidence
J2925001-05管束v1.dxf,设备,罐体,0.160,0.003,low_confidence
J1424042-51-01-08对接法兰v2.dxf,法兰,传动件,0.174,0.015,low_confidence
J2925001-01-01人孔法兰v2.dxf,法兰,传动件,0.165,0.002,low_confidence
J0224036-10搅拌减速机机罩v2.dxf,罩盖件,传动件,0.172,0.017,low_confidence
J2925004-04-01底板v2.dxf,other,传动件,0.179,0.016,low_confidence
比较_LTJ012306102-0084调节螺栓v1 vs LTJ012306102-0084调节螺栓v2.dxf,other,传动件,0.170,0.011,low_confidence
J0224071-11捕集器组件v2.dxf,过滤组件,传动件,0.170,0.005,low_confidence
