file_name,true_label,pred_label,confidence,margin,bucket
J2825002-09下轴承支架组件v1.dxf,轴承件,罐体,0.189,0.014,low_confidence
BTJ01231301522-01轴向定位轴承v1.dxf,轴承件,传动件,0.198,0.028,low_confidence
J2925001-00再沸器v3.dxf,设备,罐体,0.200,0.020,low_confidence
BTJ01232801522-01电加热箱v1.dxf,设备,传动件,0.212,0.034,low_confidence
BTJ01231301522-00蜗轮蜗杆传动出料机构v1.dxf,传动件,设备,0.197,0.023,low_confidence
J0724006-02搅拌器组件v2.dxf,传动件,设备,0.178,0.003,low_confidence
J1424042-51-01-08对接法兰v2.dxf,法兰,传动件,0.200,0.033,low_confidence
J2925001-01-01人孔法兰v2.dxf,法兰,罐体,0.182,0.008,low_confidence
J0224036-10搅拌减速机机罩v2.dxf,罩盖件,传动件,0.197,0.020,low_confidence
J2925004-04-01底板v2.dxf,other,传动件,0.199,0.022,low_confidence
比较_LTJ012306102-0084调节螺栓v1 vs LTJ012306102-0084调节螺栓v2.dxf,other,传动件,0.191,0.024,low_confidence
J0224071-11捕集器组件v2.dxf,过滤组件,罐体,0.183,0.002,low_confidence
