file_name,true_label,pred_label,confidence,margin,bucket
J0525002-04-02过滤托架v1.dxf,过滤组件,传动件,0.211,0.052,low_confidence
J0224025-06-01-03出料凸缘v1.dxf,法兰,传动件,0.204,0.050,low_confidence
J2925001-05管束v1.dxf,设备,传动件,0.176,0.020,low_confidence
LTJ012306102-0084调节螺栓v1.dxf,紧固件,传动件,0.208,0.050,low_confidence
BTJ01231201522-00拖车DN1500v1.dxf,设备,传动件,0.216,0.030,low_confidence
J0225034-05罐体部分v2.dxf,罐体,设备,0.193,0.011,low_confidence
J0724006-05上封头组件v3.dxf,罐体,传动件,0.196,0.048,low_confidence
BTJ01231501522-00短轴承座(盖)v1.dxf,轴承件,传动件,0.213,0.051,low_confidence
J0724006-01下锥体组件v2.dxf,罐体,传动件,0.190,0.039,low_confidence
J3025001-12轴承座v2.dxf,轴承件,传动件,0.219,0.058,low_confidence
J2825002-09下轴承支架组件v2.dxf,轴承件,传动件,0.202,0.052,low_confidence
BTJ01231501522-00短轴承座(盖)v3.dxf,轴承件,传动件,0.211,0.048,low_confidence
LTJ012303106-0030连接法兰(大)v2.dxf,法兰,传动件,0.206,0.034,low_confidence
BTJ01239601522-03扭转弹簧v2.dxf,弹簧,传动件,0.207,0.044,low_confidence
J0224036-10搅拌减速机机罩v1.dxf,罩盖件,传动件,0.220,0.058,low_confidence
J0224070-04-07捕集口v1.dxf,开孔件,传动件,0.225,0.050,low_confidence
J2925001-01人孔v1.dxf,开孔件,传动件,0.210,0.049,low_confidence
BTJ01231101522-00自动进料装置v2.dxf,设备,传动件,0.228,0.056,low_confidence
BTJ01232801522-01电加热箱v1.dxf,设备,传动件,0.233,0.064,low_confidence
J2824002-06上封头组件v2.dxf,罐体,传动件,0.208,0.031,low_confidence
