file_name,relative_path,label_cn,label_raw,extracted_name,review_label,notes
J0225054-15-01支承座v2.dxf,J0225054-15-01支承座v2.dxf,轴承件,支承座,支承座,,
BTJ01231301522-01轴向定位轴承v1.dxf,BTJ01231301522-01轴向定位轴承v1.dxf,轴承件,轴向定位轴承,轴向定位轴承,,
BTJ01230901522-00汽水分离器v2.dxf,BTJ01230901522-00汽水分离器v2.dxf,设备,汽水分离器,汽水分离器,,
J0225004-08搅拌轴组件v2.dxf,J0225004-08搅拌轴组件v2.dxf,传动件,搅拌轴组件,搅拌轴组件,,
LTJ012303106-0001超声波法兰v2.dxf,LTJ012303106-0001超声波法兰v2.dxf,法兰,超声波法兰,超声波法兰,,
BTJ01232801522-01电加热箱v2.dxf,BTJ01232801522-01电加热箱v2.dxf,设备,电加热箱,电加热箱,,
J0225047-04罐体部分v2.dxf,J0225047-04罐体部分v2.dxf,罐体,罐体部分,罐体部分,,
J0724006-01下锥体组件v1.dxf,J0724006-01下锥体组件v1.dxf,罐体,下锥体组件,下锥体组件,,
J1424042-00出料正压隔离器v1.dxf,J1424042-00出料正压隔离器v1.dxf,设备,出料正压隔离器,出料正压隔离器,,
BTJ14240301522-00防爆视灯组件v2.dxf,BTJ14240301522-00防爆视灯组件v2.dxf,罩盖件,防爆视灯组件,防爆视灯组件,,
J2925004-04-01底板v2.dxf,J2925004-04-01底板v2.dxf,other,底板,底板,,
J0724006-01下锥体组件v3.dxf,J0724006-01下锥体组件v3.dxf,罐体,下锥体组件,下锥体组件,,
J0224025-06-01-03出料凸缘v2.dxf,J0224025-06-01-03出料凸缘v2.dxf,法兰,出料凸缘,出料凸缘,,
J0224036-10搅拌减速机机罩v2.dxf,J0224036-10搅拌减速机机罩v2.dxf,罩盖件,搅拌减速机机罩,搅拌减速机机罩,,
J0225054-15罐体支腿v2.dxf,J0225054-15罐体支腿v2.dxf,other,罐体支腿,罐体支腿,,
J0225048-02-07侧推料组件v1.dxf,J0225048-02-07侧推料组件v1.dxf,传动件,侧推料组件,侧推料组件,,
J0225054-15罐体支腿v1.dxf,J0225054-15罐体支腿v1.dxf,other,罐体支腿,罐体支腿,,
J2825002-06上筒体组件v3.dxf,J2825002-06上筒体组件v3.dxf,罐体,上筒体组件,上筒体组件,,
J0225047-04罐体部分v1.dxf,J0225047-04罐体部分v1.dxf,罐体,罐体部分,罐体部分,,
J0225009-04-03阀体v2.dxf,J0225009-04-03阀体v2.dxf,设备,阀体,阀体,,
J0225004-08搅拌轴组件v1.dxf,J0225004-08搅拌轴组件v1.dxf,传动件,搅拌轴组件,搅拌轴组件,,
J0225004-04搅拌桨组件v1.dxf,J0225004-04搅拌桨组件v1.dxf,传动件,搅拌桨组件,搅拌桨组件,,
J2825002-09下轴承支架组件v1.dxf,J2825002-09下轴承支架组件v1.dxf,轴承件,下轴承支架组件,下轴承支架组件,,
J2825002-06上筒体组件v1.dxf,J2825002-06上筒体组件v1.dxf,罐体,上筒体组件,上筒体组件,,
J1424042-51-01-08对接法兰v1.dxf,J1424042-51-01-08对接法兰v1.dxf,法兰,对接法兰,对接法兰,,
J2824002-06上封头组件v1.dxf,J2824002-06上封头组件v1.dxf,罐体,上封头组件,上封头组件,,
BTJ02230101102-12手轮组件v2.dxf,BTJ02230101102-12手轮组件v2.dxf,传动件,手轮组件,手轮组件,,
BTJ01231301522-00蜗轮蜗杆传动出料机构v3.dxf,BTJ01231301522-00蜗轮蜗杆传动出料机构v3.dxf,传动件,蜗轮蜗杆传动出料机构,蜗轮蜗杆传动出料机构,,
BTJ02230101102-12手轮组件v1.dxf,BTJ02230101102-12手轮组件v1.dxf,传动件,手轮组件,手轮组件,,
J0224071-11-02过滤芯组件v1.dxf,J0224071-11-02过滤芯组件v1.dxf,过滤组件,过滤芯组件,过滤芯组件,,
