file,raw_texts,part_name,drawing_number,material,raw_texts_count,region_entities_count
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ02230301120-03保护罩组件v1.dxf,图样名称:保护罩组件 | 图样代号:BTJ02230301120-03 | 比例:1:1.5 | 页码:1 | 页数:1 | 版本号:1 | 材料名称:组合件 | 重量:1.12 | 图号或标准号:BTJ02230301120-03-01 | 名称及规格型号:凹凸罩头 | 材料:C22 | 单重:0.74 | 总重:0.74 | 图号或标准号:BTJ02230301102-10-02 | 名称及规格型号:定制垫片 %%C56X%%C48X2 | 材料:RPTFE | 备注:本图 | 图号或标准号:150801532001 | 名称及规格型号:取样瓶 DN36 | 材料:硼硅玻璃 | 备注:外购件 | 图号或标准号:BTJ02230301102-10-03 | 名称及规格型号:罩壳 | 材料:组焊件 | 单重:0.38 | 总重:0.38,保护罩组件,BTJ02230301120-03,组合件,26,26
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ14240301522-00防爆视灯组件v1.dxf,"图样名称:防爆视灯组件 | 图样代号:BTJ14240301522-00 | 页数:1 | 材料名称:组合件 | 图号或标准号:BTJ14240301522-01 | 名称及规格型号:视灯下法兰 | 材料:S31603 | 备注:自制件 | 图号或标准号:HG/T 20606-2009 | 名称及规格型号:垫片 φ100Xφ80X2 | 材料:PTFE | 备注:标准件 | 图号或标准号:170206504006 | 名称及规格型号:视灯视镜 φ100X10 | 材料:钢化玻璃 | 备注:外购件 | 图号或标准号:131802522002 | 名称及规格型号:防爆视灯 LED/DV24/防爆 | 材料:组合件 | 备注:外购件 | 图号或标准号:BTJ14240301522-02 | 名称及规格型号:视灯上法兰组 | 材料:S30408 | 备注:自制件 | 图号或标准号:BTJ14240301522-03 | 名称及规格型号:视灯罩 | 材料:S30408 | 备注:自制件 | 图号或标准号:GB/T 5783-2016 | 名称及规格型号:全螺纹六角头螺栓 M6X20 | 材料:A2-70 | 备注:标准件 | 图号或标准号:210902101007 | 名称及规格型号:内丝接头 G1/2""X2,L=30 | 材料:S30408 | 备注:外购件",防爆视灯组件,BTJ14240301522-00,组合件,36,36
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J2925001-01人孔v2.dxf,"图样名称:人孔 | 图样代号:J2925001-01 | 比例:1:5 | 页码:1 | 页数:1 | 版本号:1 | 材料名称:组合件 | 重量:67 | 图号或标准号:GB/T 713.7-2023 | 名称及规格型号:筒体 %%C426X12,L=173 | 数量:1 | 材料:S30408 | 单重:10.75 | 总重:10.75 | 图号或标准号:GB/T 5783-2016 | 名称及规格型号:全螺纹六角头螺栓 M20X90 | 数量:16 | 材料:A2-70 | 单重:0.23 | 总重:3.68 | 图号或标准号:GB/T 6170-2015 | 名称及规格型号:1型六角螺母 M20 | 数量:16 | 材料:S30408 | 单重:0.06 | 总重:0.96 | 图号或标准号:GB/T 97.1-2002 | 名称及规格型号:平垫圈A级 20 | 数量:16 | 材料:S30408 | 单重:0.02 | 总重:0.32 | 图号或标准号:GB/T 93-1987 | 名称及规格型号:标准型弹簧垫圈 20 | 数量:16 | 材料:S30408 | 单重:0.01 | 总重:0.16 | 图号或标准号:J2925001-01-01 | 名称及规格型号:人孔法兰 | 数量:1 | 材料:S30408Ⅱ | 单重:17.1 | 总重:17.1 | 图号或标准号:HG/T 20606-2009 | 名称及规格型号:垫片 %%c473X%%c426X3 | 数量:1 | 材料:PTFE | 单重:0.02 | 总重:0.02 | 图号或标准号:J2925001-01-02 | 名称及规格型号:法兰盖 | 数量:1 | 材料:S30408 | 单重:31 | 总重:31 | 图号或标准号:J2925001-01-03 | 名称及规格型号:把手 | 数量:1 | 材料:S30408 | 单重:0.27 | 总重:0.27 | 图号或标准号:J2925001-01-04 | 名称及规格型号:销轴 | 材料:S30408 | 图号或标准号:GB/T 923-2009 | 名称及规格型号:盖形螺母 M20 | 材料:A2-50 | 图号或标准号:GB/T 95-2002 | 名称及规格型号:C级平垫圈 20 | 材料:S30408 | 图号或标准号:J2925001-01-05 | 名称及规格型号:盖轴耳(1) | 材料:S30408 | 图号或标准号:J2925001-01-06 | 名称及规格型号:法兰轴耳(1) | 材料:S30408 | 图号或标准号:J2925001-01-07 | 名称及规格型号:法兰轴耳(2) | 材料:S30408 | 图号或标准号:J2925001-01-08 | 名称及规格型号:盖轴耳(2) | 材料:S30408",人孔,J2925001-01,组合件,83,83
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ01231301522-00蜗轮蜗杆传动出料机构v3.dxf,图样名称:蜗轮蜗杆传动出料机构 | 图样代号:BTJ01231301522-00 | 材料名称:组合件 | 图号或标准号:BTJ01231301522-01 | 名称及规格型号:轴向定位轴承 | 材料:组合件 | 图号或标准号:BTJ01231301522-02 | 名称及规格型号:出料口 | 材料:组焊件 | 图号或标准号:BTJ01231301522-03 | 名称及规格型号:装饰板密封圈 | 材料:VMQ | 图号或标准号:BTJ01231301522-04 | 名称及规格型号:径向定位轴承 | 材料:组合件 | 图号或标准号:BTJ01231301522-05 | 名称及规格型号:上端盖组件 | 材料:组合件 | 图号或标准号:BTJ01231301522-06 | 名称及规格型号:象鼻子装饰板 | 材料:S30408 | 图号或标准号:GB/T 5782-2016 | 名称及规格型号:六角螺栓 M10X25 | 材料:S30408 | 图号或标准号:GB/T 70.1-2008 | 名称及规格型号:内六角圆柱头螺钉 M8X20 | 材料:S30408 | 图号或标准号:GB/T 93-1987 | 名称及规格型号:弹簧垫圈 8 | 材料:S30408 | 图号或标准号:BTJ01231301522-08 | 名称及规格型号:扇形卡快 | 材料:S30408 | 图号或标准号:BTJ01231301522-09 | 名称及规格型号:象鼻子连接法兰 | 材料:S31603 | 图号或标准号:BTJ01231301522-10 | 名称及规格型号:充气密封组件 | 材料:组合件 | 图号或标准号:JB/T 6659-1993 | 名称及规格型号:O形圈 %%C310(外)X4.5 | 材料:EPDM | 图号或标准号:BTJ01231301522-11 | 名称及规格型号:蜗轮蜗杆传动组件 | 材料:组合件 | 图号或标准号:140708522003 | 名称及规格型号:限位开关 V-156-1C25 | 材料:组合件 | 图号或标准号:BTJ01231301522-12 | 名称及规格型号:挡块 | 材料:S30408 | 图号或标准号:BTJ01231301522-13 | 名称及规格型号:支撑座 | 材料:S30408,蜗轮蜗杆传动出料机构,BTJ01231301522-00,组合件,54,54
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0225048-02-07侧推料组件v2.dxf,图样名称:侧推料组件 | 图样代号:J0225048-02-07 | 比例:1:5 | 页码:1 | 页数:1 | 版本号:1 | 材料名称:组合件 | 重量:22 | 序号:1 | 图号或标准号:J0224048-03-15-02 | 名称及规格型号:横臂 | 数量:1 | 材料:S30408 | 单重:0.5 | 总重:0.5 | 序号:2 | 图号或标准号:J0224048-03-15-11 | 名称及规格型号:支撑臂 | 数量:1 | 材料:S30408 | 单重:3.5 | 总重:3.5 | 序号:3 | 图号或标准号:ISO | 名称及规格型号:卡箍 DN250 | 数量:1 | 材料:组合件 | 序号:4 | 图号或标准号:GB/T 5782-2016 | 名称及规格型号:六角头螺栓 M12X35 | 数量:4 | 材料:A2-70 | 序号:5 | 图号或标准号:GB/T 93-1987 | 名称及规格型号:标准型弹簧垫圈 12 | 数量:4 | 材料:S30408 | 图号或标准号:J0225048-02-07-03 | 名称及规格型号:安装座 | 材料:S30408 | 图号或标准号:J0225048-02-07-04 | 名称及规格型号:推料阀芯 | 材料:组焊件 | 图号或标准号:GB/T 3452.1-2005 | 名称及规格型号:O形圈 227X5.3 | 材料:VMQ+FEP | 图号或标准号:J0224027-05-07-11 | 名称及规格型号:六角头螺栓 M16X75 | 材料:S30408 | 图号或标准号:GB/T 923-2009 | 名称及规格型号:盖形螺母 M16 | 材料:A2-50 | 图号或标准号:J0224027-05-07-08 | 名称及规格型号:支撑座 | 材料:S30408 | 图号或标准号:GB/T 5782-2016 | 名称及规格型号:六角头螺栓 M10X80 | 数量:2 | 材料:A2-70 | 图号或标准号:J0224048-03-15-10 | 名称及规格型号:梅花螺母 | 数量:2 | 材料:S30408 | 单重:0.38 | 总重:0.76 | 图号或标准号:J0225048-02-07-05 | 名称及规格型号:除料耙 | 数量:1 | 材料:组合件 | 单重:3 | 总重:3 | 图号或标准号:J0225048-02-07-06 | 名称及规格型号:保温材料 | 数量:1 | 材料:硅酸铝 | 备注:本图 | 图号或标准号:J0225048-02-07-07 | 名称及规格型号:保温筒体 | 数量:1 | 材料:S30408 | 备注:本图 | 图号或标准号:J0225048-02-07-08 | 名称及规格型号:把手 | 数量:2 | 材料:S30408 | 备注:本图,侧推料组件,J0225048-02-07,组合件,86,86
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0224025-06-01-03出料凸缘v2.dxf,图样名称:出料凸缘 | 图样代号:J0224025-06-01-03 | 页数:1 | 材料名称:组焊件 | 重量:65 | 图号或标准号:J0224025-06-01-03-01 | 名称及规格型号:出料阀座 | 材料:S30408Ⅱ | 备注:本图 | 图号或标准号:GB/T 14976-2012 | 名称及规格型号:接管 %%C273 | 材料:S31603,出料凸缘,J0224025-06-01-03,组焊件,12,12
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ01239601522-03扭转弹簧v2.dxf,图样名称:扭转弹簧 | 图样代号:BTJ01239601522-03 | 比例:1:1 | 页码:1 | 页数:1 | 版本号:1 | 材料名称:S31603,扭转弹簧,BTJ01239601522-03,S31603,7,7
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/BTJ02230101102-12手轮组件v1.dxf,技术要求 1、表面抛光处理； 2、手柄轴与手轮铆接。 | 图样名称:手轮组件 | 图样代号:BTJ02230101102-12 | 比例:1:1.5 | 页码:1 | 页数:1 | 版本号:1 | 材料名称:组合件 | 重量:0.74 | 图号或标准号:BTJ02230101102-12-01 | 名称及规格型号:手柄轴 | 材料:S30408 | 单重:0.08 | 总重:0.08 | 图号或标准号:BTJ02230101102-12-02 | 名称及规格型号:手柄套 | 材料:S30408 | 单重:0.16 | 总重:0.16 | 图号或标准号:BTJ0223010102-12-03 | 名称及规格型号:手轮 | 材料:S30408 | 单重:0.5 | 总重:0.5,手轮组件,BTJ02230101102-12,组合件,24,24
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J2825003-05下筒体组件v2.dxf,"图样名称:下筒体组件 | 图样代号:J2825003-05 | 材料名称:组合件 | 图号或标准号:HG/T 20592-2009 | 名称及规格型号:法兰 SO 65(B)-16 RF | 材料:S31603Ⅱ | 图号或标准号:GB/T 14976-2012 | 名称及规格型号:接管 %%c76X3,L=188 | 材料:S31603 | 图号或标准号:J2825003-05-01 | 名称及规格型号:保温盖板 | 材料:S30408 | 图号或标准号:J2825003-05-02 | 名称及规格型号:平盖 %%c1100X%%c390X12 | 材料:S31603 | 图号或标准号:HG/T 20592-2009 | 名称及规格型号:法兰 SO 150(B)-16 RF | 材料:S31603Ⅱ | 图号或标准号:GB/T 14976-2012 | 名称及规格型号:接管 %%c159X4,L=716 | 材料:S31603 | 图号或标准号:201305501001 | 名称及规格型号:保温棉 | 材料:硅酸铝 | 图号或标准号:J2825003-05-03 | 名称及规格型号:下支撑环 %%c1100X%%c980X27 | 材料:S31603 | 图号或标准号:GB/T 713.7-2023 | 名称及规格型号:筒体 %%c1100X6,L=765 | 材料:S31603 | 图号或标准号:GB/T 713.7-2023 | 名称及规格型号:保温筒体 %%c1200(外)X3,L=765 | 材料:S30408 | 图号或标准号:J2825003-05-04 | 名称及规格型号:上支撑环 %%c1100X%%c1040X27 | 材料:S31603 | 图号或标准号:J2825003-05-05 | 名称及规格型号:法兰 | 材料:S31603Ⅱ | 图号或标准号:HG/T 20592-2009 | 名称及规格型号:法兰 SO 25(B)-16 RF | 材料:S31603Ⅱ | 图号或标准号:GB/T 14976-2012 | 名称及规格型号:接管 %%c32X3,L=122 | 材料:S31603 | 图号或标准号:J2825003-05-06 | 名称及规格型号:耳座 | 材料:S30408 | 图号或标准号:J2825003-05-07 | 名称及规格型号:保护管 %%c273(外)X3,L=180 | 材料:S31603 | 图号或标准号:J2825003-05-08 | 名称及规格型号:下凸缘 | 材料:S31603 | 图号或标准号:J2825003-05-09 | 名称及规格型号:支撑环 %%c406(外)X8,L=55 | 材料:S31603 | 图号或标准号:J2825003-05-10 | 名称及规格型号:筋板 755X40X6 | 材料:Q235B | 图号或标准号:J2825003-05-11 | 名称及规格型号:筋板 347X80X12 | 材料:Q235B",下筒体组件,J2825003-05,组合件,63,63
/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J0724006-01下锥体组件v3.dxf,"图样名称:下锥体组件 | 图样代号:J0724006-01 | 比例:1:14 | 页码:1 | 页数:1 | 版本号:1 | 材料名称:组合件 | 重量:1172 | 序号:1 | 图号或标准号:J0724006-01-01 | 名称及规格型号:出料法兰 | 数量:1 | 材料:S31603Ⅱ | 单重:16 | 总重:16 | 序号:2 | 图号或标准号:J0724006-01-02 | 名称及规格型号:下测温座 | 数量:1 | 材料:S31603 | 单重:0.6 | 总重:0.6 | 序号:3 | 图号或标准号:J0724006-01-03 | 名称及规格型号:锥体保温封头 | 数量:1 | 材料:S30408 | 单重:221 | 总重:221 | 序号:4 | 图号或标准号:J0724006-01-04 | 名称及规格型号:保温层 | 数量:1 | 材料:硅酸铝 | 单重:22 | 总重:22 | 备注:本图 | 序号:5 | 图号或标准号:J0724006-01-05 | 名称及规格型号:内锥体 | 数量:1 | 材料:S31603 | 单重:730 | 总重:730 | 序号:6 | 图号或标准号:J0724006-01-06 | 名称及规格型号:保温直筒体 %%C1906X4 L=330 | 数量:1 | 材料:S30408 | 单重:63 | 总重:63 | 备注:本图 | 序号:7 | 图号或标准号:J0724006-01-07 | 名称及规格型号:耳式支座 | 数量:4 | 材料:S30408 | 单重:28.6 | 总重:114.4 | 序号:8 | 图号或标准号:J0724006-01-08 | 名称及规格型号:振动器安装座 | 数量:2 | 材料:S30408 | 单重:2.5 | 总重:5 | 序号:9 | 图号或标准号:3A | 名称及规格型号:接管 %%c12.7X1.65,L=38 | 数量:4 | 材料:S31603 | 单重:0.01 | 总重:0.04 | 序号:10 | 图号或标准号:3A | 名称及规格型号:快开接头 1/2""X1.65,A=25,L=21.5 | 数量:4 | 材料:S31603 | 单重:0.05 | 总重:0.2",下锥体组件,J0724006-01,组合件,80,80
