file_name,label_cn,label_confidence,match_type,extracted_name
BTJ01230901522-00汽水分离器v1.dxf,汽水分离器,0.950,exact,汽水分离器
BTJ01230901522-00汽水分离器v2.dxf,汽水分离器,0.950,exact,汽水分离器
BTJ01231101522-00自动进料装置v1.dxf,自动进料装置,0.950,exact,自动进料装置
BTJ01231101522-00自动进料装置v2.dxf,自动进料装置,0.950,exact,自动进料装置
BTJ01231201522-00拖车DN1500v1.dxf,拖车,0.500,partial_low,拖车DN1500
BTJ01231201522-00拖车DN1500v2.dxf,拖车,0.500,partial_low,拖车DN1500
BTJ01231301522-00蜗轮蜗杆传动出料机构v1.dxf,蜗轮蜗杆传动出料机构,0.950,exact,蜗轮蜗杆传动出料机构
BTJ01231301522-00蜗轮蜗杆传动出料机构v2.dxf,蜗轮蜗杆传动出料机构,0.950,exact,蜗轮蜗杆传动出料机构
BTJ01231301522-00蜗轮蜗杆传动出料机构v3.dxf,蜗轮蜗杆传动出料机构,0.950,exact,蜗轮蜗杆传动出料机构
BTJ01231301522-01轴向定位轴承v1.dxf,轴向定位轴承,0.950,exact,轴向定位轴承
BTJ01231301522-01轴向定位轴承v2.dxf,轴向定位轴承,0.950,exact,轴向定位轴承
BTJ01231501522-00短轴承座(盖)v1.dxf,短轴承座(盖),0.950,exact,短轴承座(盖)
BTJ01231501522-00短轴承座(盖)v2.dxf,短轴承座(盖),0.950,exact,短轴承座(盖)
BTJ01231501522-00短轴承座(盖)v3.dxf,短轴承座(盖),0.950,exact,短轴承座(盖)
BTJ01232801522-01电加热箱v1.dxf,电加热箱,0.950,exact,电加热箱
BTJ01232801522-01电加热箱v2.dxf,电加热箱,0.950,exact,电加热箱
BTJ01239601522-03扭转弹簧v1.dxf,扭转弹簧,0.950,exact,扭转弹簧
BTJ01239601522-03扭转弹簧v2.dxf,扭转弹簧,0.950,exact,扭转弹簧
BTJ01239601522-03扭转弹簧v3.dxf,扭转弹簧,0.950,exact,扭转弹簧
BTJ01239901522-00拖轮组件v1.dxf,拖轮组件,0.950,exact,拖轮组件
BTJ01239901522-00拖轮组件v2.dxf,拖轮组件,0.950,exact,拖轮组件
BTJ02230101102-12手轮组件v1.dxf,手轮组件,0.950,exact,手轮组件
BTJ02230101102-12手轮组件v2.dxf,手轮组件,0.950,exact,手轮组件
BTJ02230301120-03保护罩组件v1.dxf,保护罩组件,0.950,exact,保护罩组件
BTJ02230301120-03保护罩组件v2.dxf,保护罩组件,0.950,exact,保护罩组件
BTJ14240301522-00防爆视灯组件v1.dxf,防爆视灯组件,0.950,exact,防爆视灯组件
BTJ14240301522-00防爆视灯组件v2.dxf,防爆视灯组件,0.950,exact,防爆视灯组件
J0224014-09液压开盖组件v1.dxf,液压开盖组件,0.950,exact,液压开盖组件
J0224014-09液压开盖组件v2.dxf,液压开盖组件,0.950,exact,液压开盖组件
J0224025-06-01-03出料凸缘v1.dxf,出料凸缘,0.950,exact,出料凸缘
J0224025-06-01-03出料凸缘v2.dxf,出料凸缘,0.950,exact,出料凸缘
J0224036-10搅拌减速机机罩v1.dxf,搅拌减速机机罩,0.950,exact,搅拌减速机机罩
J0224036-10搅拌减速机机罩v2.dxf,搅拌减速机机罩,0.950,exact,搅拌减速机机罩
J0224036-12真空组件v1.dxf,真空组件,0.950,exact,真空组件
J0224036-12真空组件v2.dxf,真空组件,0.950,exact,真空组件
J0224070-04-07捕集口v1.dxf,捕集口,0.950,exact,捕集口
J0224070-04-07捕集口v2.dxf,捕集口,0.950,exact,捕集口
J0224071-11-02过滤芯组件v1.dxf,过滤芯组件,0.950,exact,过滤芯组件
J0224071-11-02过滤芯组件v2.dxf,过滤芯组件,0.950,exact,过滤芯组件
J0224071-11捕集器组件v1.dxf,捕集器组件,0.950,exact,捕集器组件
J0224071-11捕集器组件v2.dxf,捕集器组件,0.950,exact,捕集器组件
J0225001-09-04旋转组件v1.dxf,旋转组件,0.950,exact,旋转组件
J0225001-09-04旋转组件v2.dxf,旋转组件,0.950,exact,旋转组件
J0225004-04-04轴头组件v1.dxf,轴头组件,0.950,exact,轴头组件
J0225004-04-04轴头组件v2.dxf,轴头组件,0.950,exact,轴头组件
J0225004-04-05下封板v1.dxf,下封板,0.950,exact,下封板
J0225004-04-05下封板v2.dxf,下封板,0.950,exact,下封板
J0225004-04搅拌桨组件v1.dxf,搅拌桨组件,0.950,exact,搅拌桨组件
J0225004-04搅拌桨组件v2.dxf,搅拌桨组件,0.950,exact,搅拌桨组件
J0225004-08搅拌轴组件v1.dxf,搅拌轴组件,0.950,exact,搅拌轴组件
J0225004-08搅拌轴组件v2.dxf,搅拌轴组件,0.950,exact,搅拌轴组件
J0225009-04-03阀体v1.dxf,阀体,0.950,exact,阀体
J0225009-04-03阀体v2.dxf,阀体,0.950,exact,阀体
J0225034-05罐体部分v1.dxf,罐体部分,0.950,exact,罐体部分
J0225034-05罐体部分v2.dxf,罐体部分,0.950,exact,罐体部分
