label,count,share,avg_confidence
盖,11,0.100,0.900
轴承,6,0.055,0.900
挡板,5,0.045,0.900
罩,4,0.036,0.900
旋转组件,4,0.036,0.950
支腿,4,0.036,0.900
底板,4,0.036,0.900
过滤托架,4,0.036,0.950
超声波法兰,3,0.027,0.950
上封头组件,3,0.027,0.950
调节螺栓,3,0.027,0.950
上筒体组件,3,0.027,0.950
扭转弹簧,3,0.027,0.950
蜗杆,3,0.027,0.900
再沸器,3,0.027,0.950
下锥体组件,3,0.027,0.950
对接法兰,2,0.018,0.950
人孔法兰,2,0.018,0.950
人孔,2,0.018,0.950
拖车,2,0.018,0.950
过滤芯组件,2,0.018,0.950
箱体,2,0.018,0.900
搅拌器组件,2,0.018,0.950
侧推料组件,2,0.018,0.950
阀体,2,0.018,0.950
连接法兰(大),2,0.018,0.950
轴头组件,2,0.018,0.950
出料凸缘,2,0.018,0.950
下筒体组件,2,0.018,0.950
手轮组件,2,0.018,0.950
下封板,2,0.018,0.950
管束,2,0.018,0.950
拖轮组件,2,0.018,0.950
捕集器组件,2,0.018,0.950
防爆视灯组件,2,0.018,0.950
真空组件,2,0.018,0.950
自动进料装置,2,0.018,0.950
捕集口,2,0.018,0.950
