file,status,part_type,confidence,confidence_source,rule_version,graph2d_label,graph2d_confidence,graph2d_temperature,graph2d_temperature_source,graph2d_is_drawing_type,graph2d_ensemble_enabled,graph2d_ensemble_size,graph2d_voting,filename_label,filename_confidence,filename_match_type,filename_extracted_name,hybrid_label,hybrid_confidence,hybrid_source,hybrid_path,titleblock_label,titleblock_confidence,titleblock_status,titleblock_part_name,titleblock_drawing_number,titleblock_material,titleblock_raw_texts_count,titleblock_region_entities_count,fusion_label,fusion_confidence,soft_override_eligible,soft_override_label,soft_override_confidence,soft_override_threshold,soft_override_reason
J1424042-51-01-08对接法兰v2.dxf,ok,对接法兰,0.950,hybrid,HybridClassifier-v1,,,,,,,,,对接法兰,0.95,exact,对接法兰,对接法兰,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,对接法兰,0.85,matched,对接法兰,J1424042-51-01-08,S31603,7,7,,,,,,,
J0225047-04罐体部分v3.dxf,ok,挡板,0.900,fusion,L2-Fusion-v1,,,,,,,,,罐体部分,0.95,exact,罐体部分,罐体部分,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,罐体部分,0.85,matched,罐体部分,J0225047-04,组合件,69,69,,,,,,,
LTJ012303106-0001超声波法兰v2.dxf,ok,超声波法兰,0.950,hybrid,HybridClassifier-v1,,,,,,,,,超声波法兰,0.95,exact,超声波法兰,超声波法兰,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,超声波法兰,0.85,matched,超声波法兰,LTJ012303106-0001,S31603Ⅱ,8,8,,,,,,,
J2925001-01-01人孔法兰v1.dxf,ok,人孔法兰,0.950,hybrid,HybridClassifier-v1,,,,,,,,,人孔法兰,0.95,exact,人孔法兰,人孔法兰,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,人孔法兰,0.85,matched,人孔法兰,J2925001-01-01,S30408Ⅱ,8,8,,,,,,,
J2925001-01人孔v1.dxf,ok,人孔,0.950,hybrid,HybridClassifier-v1,,,,,,,,,人孔,0.95,exact,人孔,人孔,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,人孔,0.85,matched,人孔,J2925001-01,组合件,83,83,,,,,,,
BTJ01231201522-00拖车DN1500v1.dxf,ok,拖车,0.950,hybrid,HybridClassifier-v1,,,,,,,,,拖车,0.95,exact,拖车,拖车,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,拖车,0.6,partial_match,拖车DN1500,BTJ01231201522-00,组合件,43,43,,,,,,,
J0724006-05上封头组件v1.dxf,ok,上封头组件,0.950,hybrid,HybridClassifier-v1,,,,,,,,,上封头组件,0.95,exact,上封头组件,上封头组件,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,上封头组件,0.85,matched,上封头组件,J0724006-05,组合件,54,54,,,,,,,
J0224071-11-02过滤芯组件v1.dxf,ok,过滤芯组件,0.950,hybrid,HybridClassifier-v1,,,,,,,,,过滤芯组件,0.95,exact,过滤芯组件,过滤芯组件,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,过滤芯组件,0.85,matched,过滤芯组件,J0224071-11-02,组焊件,60,60,,,,,,,
J2824002-06上封头组件v2.dxf,ok,盖,0.900,fusion,L2-Fusion-v1,,,,,,,,,上封头组件,0.95,exact,上封头组件,上封头组件,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,上封头组件,0.85,matched,上封头组件,J2824002-06,组合件,81,81,,,,,,,
BTJ02230301120-03保护罩组件v2.dxf,ok,罩,0.900,fusion,L2-Fusion-v1,,,,,,,,,保护罩组件,0.95,exact,保护罩组件,保护罩组件,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,保护罩组件,0.85,matched,保护罩组件,BTJ02230301120-03,组合件,26,26,,,,,,,
LTJ012306102-0084调节螺栓v1.dxf,ok,调节螺栓,0.950,hybrid,HybridClassifier-v1,,,,,,,,,调节螺栓,0.95,exact,调节螺栓,调节螺栓,0.95,filename,filename_extracted;titleblock_predicted;titleblock_filename_conflict;titleblock_ignored_filename_high_conf;filename_high_conf_adopted,轴类,0.85,matched,小减速机轴,LTJ012306102-0084,45,9,9,,,,,,,
BTJ01232801522-01电加热箱v1.dxf,ok,箱体,0.900,fusion,L2-Fusion-v1,,,,,,,,,电加热箱,0.95,exact,电加热箱,电加热箱,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,电加热箱,0.85,matched,电加热箱,BTJ01232801522-01,组合件,86,86,,,,,,,
J2825002-09下轴承支架组件v2.dxf,ok,轴承,0.900,fusion,L2-Fusion-v1,,,,,,,,,下轴承支架组件,0.95,exact,下轴承支架组件,下轴承支架组件,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,下轴承支架组件,0.85,matched,下轴承支架组件,J2825002-09,组合件,70,70,,,,,,,
J2825002-06上筒体组件v2.dxf,ok,上筒体组件,0.950,hybrid,HybridClassifier-v1,,,,,,,,,上筒体组件,0.95,exact,上筒体组件,上筒体组件,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,上筒体组件,0.85,matched,上筒体组件,J2825002-06,组合件,39,39,,,,,,,
J0225047-04罐体部分v1.dxf,ok,挡板,0.900,fusion,L2-Fusion-v1,,,,,,,,,罐体部分,0.95,exact,罐体部分,罐体部分,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,罐体部分,0.85,matched,罐体部分,J0225047-04,组合件,69,69,,,,,,,
J1424042-00出料正压隔离器v2-yuantus.dxf,ok,挡板,0.900,fusion,L2-Fusion-v1,,,,,,,,,,0.0,no_match,yuantus,出料正压隔离器,0.17,fusion,filename_extracted;titleblock_predicted;fusion_scored,出料正压隔离器,0.85,matched,出料正压隔离器,J1424042-00,组合件,26,26,,,,,,,
BTJ01239601522-03扭转弹簧v1.dxf,ok,扭转弹簧,0.950,hybrid,HybridClassifier-v1,,,,,,,,,扭转弹簧,0.95,exact,扭转弹簧,扭转弹簧,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,扭转弹簧,0.85,matched,扭转弹簧,BTJ01239601522-03,S31603,7,7,,,,,,,
J0724006-02搅拌器组件v2.dxf,ok,搅拌器组件,0.950,hybrid,HybridClassifier-v1,,,,,,,,,搅拌器组件,0.95,exact,搅拌器组件,搅拌器组件,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,搅拌器组件,0.85,matched,搅拌器组件,J0724006-02,组合件,113,113,,,,,,,
J0225048-02-07侧推料组件v2.dxf,ok,侧推料组件,0.950,hybrid,HybridClassifier-v1,,,,,,,,,侧推料组件,0.95,exact,侧推料组件,侧推料组件,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,侧推料组件,0.85,matched,侧推料组件,J0225048-02-07,组合件,86,86,,,,,,,
J0225009-04-03阀体v1.dxf,ok,阀体,0.950,hybrid,HybridClassifier-v1,,,,,,,,,阀体,0.95,exact,阀体,阀体,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,阀体,0.85,matched,阀体,J0225009-04-03,组焊件,60,60,,,,,,,
J2825002-06上筒体组件v1.dxf,ok,上筒体组件,0.950,hybrid,HybridClassifier-v1,,,,,,,,,上筒体组件,0.95,exact,上筒体组件,上筒体组件,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,上筒体组件,0.85,matched,上筒体组件,J2825002-06,组合件,39,39,,,,,,,
J0225054-15-01支承座v2.dxf,ok,盖,0.900,fusion,L2-Fusion-v1,,,,,,,,,支承座,0.95,exact,支承座,支承座,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,支承座,0.85,matched,支承座,J0225054-15-01,组焊件,41,41,,,,,,,
LTJ012303106-0030连接法兰(大)v1.dxf,ok,连接法兰(大),0.950,hybrid,HybridClassifier-v1,,,,,,,,,连接法兰(大),0.95,exact,连接法兰(大),连接法兰(大),0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,连接法兰(大),0.85,matched,连接法兰(大),LTJ012303106-0030,S31603Ⅱ,8,8,,,,,,,
J0225004-04搅拌桨组件v2.dxf,ok,盖,0.900,fusion,L2-Fusion-v1,,,,,,,,,搅拌桨组件,0.95,exact,搅拌桨组件,搅拌桨组件,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,搅拌桨组件,0.85,matched,搅拌桨组件,J0225004-04,组合件,65,65,,,,,,,
BTJ01231501522-00短轴承座(盖)v2.dxf,ok,盖,0.900,fusion,L2-Fusion-v1,,,,,,,,,短轴承座(盖),0.95,exact,短轴承座(盖),短轴承座(盖),0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,短轴承座(盖),0.85,matched,短轴承座(盖),BTJ01231501522-00,HT200,15,15,,,,,,,
J0225054-15-01支承座v1.dxf,ok,盖,0.900,fusion,L2-Fusion-v1,,,,,,,,,支承座,0.95,exact,支承座,支承座,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,支承座,0.85,matched,支承座,J0225054-15-01,组焊件,54,54,,,,,,,
J0225004-04-04轴头组件v2.dxf,ok,轴头组件,0.950,hybrid,HybridClassifier-v1,,,,,,,,,轴头组件,0.95,exact,轴头组件,轴头组件,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,轴头组件,0.85,matched,轴头组件,J0225004-04-04,TA2锻件,9,9,,,,,,,
J0224025-06-01-03出料凸缘v2.dxf,ok,出料凸缘,0.950,hybrid,HybridClassifier-v1,,,,,,,,,出料凸缘,0.95,exact,出料凸缘,出料凸缘,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,出料凸缘,0.85,matched,出料凸缘,J0224025-06-01-03,组焊件,12,12,,,,,,,
BTJ01231301522-00蜗轮蜗杆传动出料机构v2.dxf,ok,蜗杆,0.900,fusion,L2-Fusion-v1,,,,,,,,,蜗轮蜗杆传动出料机构,0.95,exact,蜗轮蜗杆传动出料机构,蜗轮蜗杆传动出料机构,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,蜗轮蜗杆传动出料机构,0.85,matched,蜗轮蜗杆传动出料机构,BTJ01231301522-00,组合件,57,57,,,,,,,
J0225004-08搅拌轴组件v2.dxf,ok,旋转组件,0.900,fusion,L2-Fusion-v1,,,,,,,,,搅拌轴组件,0.95,exact,搅拌轴组件,搅拌轴组件,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,搅拌轴组件,0.85,matched,搅拌轴组件,J0225004-08,组合件,51,51,,,,,,,
LTJ012303106-0001超声波法兰.dxf,ok,超声波法兰,0.950,hybrid,HybridClassifier-v1,,,,,,,,,超声波法兰,0.95,exact,超声波法兰,超声波法兰,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,超声波法兰,0.85,matched,超声波法兰,LTJ012303106-0001,S31603Ⅱ,8,8,,,,,,,
