file,status,part_type,confidence,confidence_source,rule_version,graph2d_label,graph2d_confidence,graph2d_temperature,graph2d_temperature_source,graph2d_is_drawing_type,graph2d_ensemble_enabled,graph2d_ensemble_size,graph2d_voting,filename_label,filename_confidence,filename_match_type,filename_extracted_name,hybrid_label,hybrid_confidence,hybrid_source,hybrid_path,titleblock_label,titleblock_confidence,titleblock_status,titleblock_part_name,titleblock_drawing_number,titleblock_material,titleblock_raw_texts_count,titleblock_region_entities_count,fusion_label,fusion_confidence,soft_override_eligible,soft_override_label,soft_override_confidence,soft_override_threshold,soft_override_reason
BTJ02230301120-03保护罩组件v1.dxf,ok,罩,0.900,fusion,L2-Fusion-v1,零件图,0.3012021780014038,1.0,,True,False,,,保护罩组件,0.95,exact,保护罩组件,保护罩组件,0.95,filename,filename_extracted;titleblock_predicted;process_predicted;graph2d_drawing_type_ignored;filename_high_conf_adopted,保护罩组件,0.85,matched,保护罩组件,BTJ02230301120-03,组合件,26,26,Standard_Part,0.55,False,零件图,0.3012021780014038,0.17,confidence_source_not_rules
BTJ14240301522-00防爆视灯组件v1.dxf,ok,防爆视灯组件,0.950,hybrid,HybridClassifier-v1,机械制图,0.31598663330078125,1.0,,True,False,,,防爆视灯组件,0.95,exact,防爆视灯组件,防爆视灯组件,0.95,filename,filename_extracted;titleblock_predicted;graph2d_drawing_type_ignored;filename_high_conf_adopted,防爆视灯组件,0.85,matched,防爆视灯组件,BTJ14240301522-00,组合件,36,36,Standard_Part,0.55,False,机械制图,0.31598663330078125,0.17,graph2d_drawing_type
J2925001-01人孔v2.dxf,ok,人孔,0.950,hybrid,HybridClassifier-v1,机械制图,0.29114750027656555,1.0,,True,False,,,人孔,0.95,exact,人孔,人孔,0.95,filename,filename_extracted;titleblock_predicted;graph2d_drawing_type_ignored;filename_high_conf_adopted,人孔,0.85,matched,人孔,J2925001-01,组合件,83,83,Standard_Part,0.55,False,机械制图,0.29114750027656555,0.17,graph2d_drawing_type
BTJ01231301522-00蜗轮蜗杆传动出料机构v3.dxf,ok,蜗杆,0.900,fusion,L2-Fusion-v1,机械制图,0.3548223078250885,1.0,,True,False,,,蜗轮蜗杆传动出料机构,0.95,exact,蜗轮蜗杆传动出料机构,蜗轮蜗杆传动出料机构,0.95,filename,filename_extracted;titleblock_predicted;graph2d_drawing_type_ignored;filename_high_conf_adopted,蜗轮蜗杆传动出料机构,0.85,matched,蜗轮蜗杆传动出料机构,BTJ01231301522-00,组合件,54,54,Standard_Part,0.6000000000000001,False,机械制图,0.3548223078250885,0.17,confidence_source_not_rules
J0225048-02-07侧推料组件v2.dxf,ok,侧推料组件,0.950,hybrid,HybridClassifier-v1,机械制图,0.31031709909439087,1.0,,True,False,,,侧推料组件,0.95,exact,侧推料组件,侧推料组件,0.95,filename,filename_extracted;titleblock_predicted;process_predicted;graph2d_drawing_type_ignored;filename_high_conf_adopted,侧推料组件,0.85,matched,侧推料组件,J0225048-02-07,组合件,86,86,Standard_Part,0.55,False,机械制图,0.31031709909439087,0.17,graph2d_drawing_type
J0224025-06-01-03出料凸缘v2.dxf,ok,出料凸缘,0.950,hybrid,HybridClassifier-v1,机械制图,0.3116476535797119,1.0,,True,False,,,出料凸缘,0.95,exact,出料凸缘,出料凸缘,0.95,filename,filename_extracted;titleblock_predicted;process_predicted;graph2d_drawing_type_ignored;filename_high_conf_adopted,出料凸缘,0.85,matched,出料凸缘,J0224025-06-01-03,组焊件,12,12,Standard_Part,0.55,False,机械制图,0.3116476535797119,0.17,graph2d_drawing_type
BTJ01239601522-03扭转弹簧v2.dxf,ok,扭转弹簧,0.950,hybrid,HybridClassifier-v1,零件图,0.3106755018234253,1.0,,True,False,,,扭转弹簧,0.95,exact,扭转弹簧,扭转弹簧,0.95,filename,filename_extracted;titleblock_predicted;process_predicted;graph2d_drawing_type_ignored;filename_high_conf_adopted,扭转弹簧,0.85,matched,扭转弹簧,BTJ01239601522-03,S31603,7,7,Standard_Part,0.55,False,零件图,0.3106755018234253,0.17,graph2d_drawing_type
BTJ02230101102-12手轮组件v1.dxf,ok,手轮组件,0.950,hybrid,HybridClassifier-v1,装配图,0.46711307764053345,1.0,,True,False,,,手轮组件,0.95,exact,手轮组件,手轮组件,0.95,filename,filename_extracted;titleblock_predicted;process_predicted;graph2d_drawing_type_ignored;filename_high_conf_adopted,手轮组件,0.85,matched,手轮组件,BTJ02230101102-12,组合件,24,24,Standard_Part,0.55,False,装配图,0.46711307764053345,0.17,graph2d_drawing_type
J2825003-05下筒体组件v2.dxf,ok,下筒体组件,0.950,hybrid,HybridClassifier-v1,机械制图,0.3042571544647217,1.0,,True,False,,,下筒体组件,0.95,exact,下筒体组件,下筒体组件,0.95,filename,filename_extracted;titleblock_predicted;graph2d_drawing_type_ignored;filename_high_conf_adopted,下筒体组件,0.85,matched,下筒体组件,J2825003-05,组合件,63,63,Standard_Part,0.55,False,机械制图,0.3042571544647217,0.17,graph2d_drawing_type
J0724006-01下锥体组件v3.dxf,ok,下锥体组件,0.950,hybrid,HybridClassifier-v1,装配图,0.3696727454662323,1.0,,True,False,,,下锥体组件,0.95,exact,下锥体组件,下锥体组件,0.95,filename,filename_extracted;titleblock_predicted;process_predicted;graph2d_drawing_type_ignored;filename_high_conf_adopted,下锥体组件,0.85,matched,下锥体组件,J0724006-01,组合件,80,80,Standard_Part,0.55,False,装配图,0.3696727454662323,0.17,confidence_source_not_rules
