label,count,share,avg_confidence
罩,2,0.067,0.900
侧推料组件,2,0.067,0.950
出料凸缘,2,0.067,0.950
下锥体组件,2,0.067,0.950
再沸器,2,0.067,0.950
防爆视灯组件,1,0.033,0.950
人孔,1,0.033,0.950
蜗杆,1,0.033,0.900
扭转弹簧,1,0.033,0.950
手轮组件,1,0.033,0.950
下筒体组件,1,0.033,0.950
捕集器组件,1,0.033,0.950
支腿,1,0.033,0.900
超声波法兰,1,0.033,0.950
连接法兰(大),1,0.033,0.950
管束,1,0.033,0.950
拖轮组件,1,0.033,0.950
盖,1,0.033,0.900
下封板,1,0.033,0.950
上筒体组件,1,0.033,0.950
拖车,1,0.033,0.950
旋转组件,1,0.033,0.900
挡板,1,0.033,0.900
自动进料装置,1,0.033,0.950
对接法兰,1,0.033,0.950
