file,part_type,confidence,confidence_source,rule_version,fine_part_type,fine_confidence,fine_source,part_classifier_status,part_classifier_label,part_classifier_confidence,part_classifier_provider,part_classifier_error,part_family,part_family_confidence,part_family_source,part_family_model_version,part_family_needs_review,part_family_review_reason,part_family_top2,part_family_error_code,part_family_error_message
BTJ02230301120-03保护罩组件v1.dxf,罩,0.9,fusion,L2-Fusion-v1,,,,ok,轴类,0.5456069707870483,v16,,轴类,0.5456069707870483,provider:v16,v16_fast,True,置信度(54.6%)低于阈值(85%),"{""label"": ""其他"", ""confidence"": 0.36541977524757385}",,
BTJ14240301522-00防爆视灯组件v1.dxf,complex_assembly,0.55,rules,v1,,,,ok,其他,0.9608876705169678,v16,,其他,0.9608876705169678,provider:v16,v16_fast,False,,"{""label"": ""轴类"", ""confidence"": 0.012988421134650707}",,
J2925001-01人孔v2.dxf,complex_assembly,0.55,rules,v1,,,,ok,其他,0.8577157258987427,v16,,其他,0.8577157258987427,provider:v16,v16_fast,False,,"{""label"": ""连接件"", ""confidence"": 0.11973637342453003}",,
BTJ01231301522-00蜗轮蜗杆传动出料机构v3.dxf,蜗杆,0.9,fusion,L2-Fusion-v1,,,,ok,其他,0.9583146572113037,v16,,其他,0.9583146572113037,provider:v16,v16_fast,False,,"{""label"": ""连接件"", ""confidence"": 0.01735871657729149}",,
J0225048-02-07侧推料组件v2.dxf,complex_assembly,0.55,rules,v1,,,,ok,其他,0.9703274965286255,v16,,其他,0.9703274965286255,provider:v16,v16_fast,False,,"{""label"": ""连接件"", ""confidence"": 0.01095951534807682}",,
J0224025-06-01-03出料凸缘v2.dxf,complex_assembly,0.55,rules,v1,,,,ok,其他,0.9728388786315918,v16,,其他,0.9728388786315918,provider:v16,v16_fast,False,,"{""label"": ""轴类"", ""confidence"": 0.00780541030690074}",,
BTJ01239601522-03扭转弹簧v2.dxf,moderate_component,0.6,rules,v1,,,,ok,其他,0.8827875256538391,v16,,其他,0.8827875256538391,provider:v16,v16_fast,False,,"{""label"": ""轴类"", ""confidence"": 0.08761533349752426}",,
BTJ02230101102-12手轮组件v1.dxf,moderate_component,0.6,rules,v1,,,,ok,其他,0.9177942276000977,v16,,其他,0.9177942276000977,provider:v16,v16_fast,False,,"{""label"": ""轴类"", ""confidence"": 0.05769255384802818}",,
J2825003-05下筒体组件v2.dxf,complex_assembly,0.55,rules,v1,,,,ok,连接件,0.6927102208137512,v16,,连接件,0.6927102208137512,provider:v16,v16_fast,True,置信度(69.3%)低于阈值(85%),"{""label"": ""其他"", ""confidence"": 0.2838550806045532}",,
J0724006-01下锥体组件v3.dxf,机械制图,0.9,fusion,L2-Fusion-v1,,,,ok,其他,0.9478462338447571,v16,,其他,0.9478462338447571,provider:v16,v16_fast,False,,"{""label"": ""连接件"", ""confidence"": 0.019746823236346245}",,
