label,count,share,avg_confidence
盖,10,0.091,0.900
挡板,5,0.045,0.900
旋转组件,4,0.036,0.875
过滤托架,4,0.036,0.850
底板,4,0.036,0.875
蜗轮蜗杆传动出料机构,3,0.027,0.850
扭转弹簧,3,0.027,0.850
下锥体组件,3,0.027,0.850
超声波法兰,3,0.027,0.850
再沸器,3,0.027,0.850
上筒体组件,3,0.027,0.850
上封头组件,3,0.027,0.850
短轴承座(盖),3,0.027,0.850
保护罩组件,2,0.018,0.850
防爆视灯组件,2,0.018,0.850
人孔,2,0.018,0.850
侧推料组件,2,0.018,0.850
出料凸缘,2,0.018,0.850
手轮组件,2,0.018,0.850
下筒体组件,2,0.018,0.850
捕集器组件,2,0.018,0.850
连接法兰(大),2,0.018,0.850
管束,2,0.018,0.850
搅拌减速机机罩,2,0.018,0.850
拖轮组件,2,0.018,0.850
下封板,2,0.018,0.850
拖车,2,0.018,0.850
自动进料装置,2,0.018,0.850
对接法兰,2,0.018,0.850
轴类,2,0.018,0.850
轴承座,2,0.018,0.850
支腿,2,0.018,0.900
过滤芯组件,2,0.018,0.850
捕集口,2,0.018,0.850
阀体,2,0.018,0.850
搅拌器组件,2,0.018,0.850
真空组件,2,0.018,0.850
箱体,2,0.018,0.900
下轴承支架组件,2,0.018,0.850
轴向定位轴承,2,0.018,0.850
轴头组件,2,0.018,0.850
人孔法兰,2,0.018,0.850
调节螺栓,1,0.009,0.850
