symbol,size_upper,ei_um
A,3.0,270.0
A,6.0,270.0
A,10.0,280.0
A,18.0,290.0
A,30.0,300.0
A,40.0,310.0
A,50.0,320.0
A,65.0,340.0
A,80.0,360.0
A,100.0,380.0
A,120.0,410.0
A,140.0,460.0
A,160.0,520.0
A,180.0,580.0
A,200.0,660.0
A,225.0,740.0
A,250.0,820.0
A,280.0,920.0
A,315.0,1050.0
A,355.0,1200.0
A,400.0,1350.0
A,450.0,1500.0
A,500.0,1650.0
B,3.0,140.0
B,6.0,140.0
B,10.0,150.0
B,18.0,150.0
B,30.0,160.0
B,40.0,170.0
B,50.0,180.0
B,65.0,190.0
B,80.0,200.0
B,100.0,220.0
B,120.0,240.0
B,140.0,260.0
B,160.0,280.0
B,180.0,310.0
B,200.0,340.0
B,225.0,380.0
B,250.0,420.0
B,280.0,480.0
B,315.0,540.0
B,355.0,600.0
B,400.0,680.0
B,450.0,760.0
B,500.0,840.0
C,3.0,60.0
C,6.0,70.0
C,10.0,80.0
C,18.0,95.0
C,30.0,110.0
C,40.0,120.0
C,50.0,130.0
C,65.0,140.0
C,80.0,150.0
C,100.0,170.0
C,120.0,180.0
C,140.0,200.0
C,160.0,210.0
C,180.0,230.0
C,200.0,240.0
C,225.0,260.0
C,250.0,280.0
C,280.0,300.0
C,315.0,330.0
C,355.0,360.0
C,400.0,400.0
C,450.0,440.0
C,500.0,480.0
CD,3.0,34.0
CD,6.0,46.0
CD,10.0,56.0
D,3.0,20.0
D,6.0,30.0
D,10.0,40.0
D,18.0,50.0
D,30.0,65.0
D,50.0,80.0
D,80.0,100.0
D,120.0,120.0
D,180.0,145.0
D,250.0,170.0
D,315.0,190.0
D,400.0,210.0
D,500.0,230.0
E,3.0,14.0
E,6.0,20.0
E,10.0,25.0
E,18.0,32.0
E,30.0,40.0
E,50.0,50.0
E,80.0,60.0
E,120.0,72.0
E,180.0,85.0
E,250.0,100.0
E,315.0,110.0
E,400.0,125.0
E,500.0,135.0
EF,3.0,10.0
EF,6.0,14.0
EF,10.0,18.0
F,3.0,6.0
F,6.0,10.0
F,10.0,13.0
F,18.0,16.0
F,30.0,20.0
F,50.0,25.0
FG,3.0,4.0
FG,6.0,6.0
FG,10.0,8.0
G,3.0,2.0
G,6.0,4.0
G,10.0,5.0
G,18.0,6.0
G,30.0,7.0
G,50.0,9.0
H,6.0,0.0
H,10.0,0.0
H,18.0,0.0
H,30.0,0.0
H,50.0,0.0
H,80.0,0.0
H,120.0,0.0
H,180.0,0.0
H,250.0,0.0
H,315.0,0.0
H,400.0,0.0
H,500.0,0.0
