combo_index,status,sample,lines_delta,circles_delta,arcs_delta,ink_ratio_delta,components_delta,thresholds
1,ok,BTJ01230901522-00汽水分离器v1__f36cd05a.png,-5,-3,0,0.0,-8,"arc_fill_max=0.25, arc_fill_min=0.05, circle_fill_min=0.3, line_aspect=4.0, min_area=24.0"
1,ok,BTJ01230901522-00汽水分离器v2__9f41a97f.png,-5,-3,0,0.0,-8,"arc_fill_max=0.25, arc_fill_min=0.05, circle_fill_min=0.3, line_aspect=4.0, min_area=24.0"
1,ok,BTJ01231501522-00短轴承座(盖)v2__923f3197.png,-7,-1,0,0.0,-8,"arc_fill_max=0.25, arc_fill_min=0.05, circle_fill_min=0.3, line_aspect=4.0, min_area=24.0"
1,ok,BTJ01231501522-00短轴承座(盖)v3__42db91c9.png,-7,-1,0,0.0,-8,"arc_fill_max=0.25, arc_fill_min=0.05, circle_fill_min=0.3, line_aspect=4.0, min_area=24.0"
1,ok,BTJ01231501522-00短轴承座(盖)v1__d80be3da.png,-6,-1,0,0.0,-7,"arc_fill_max=0.25, arc_fill_min=0.05, circle_fill_min=0.3, line_aspect=4.0, min_area=24.0"
2,ok,BTJ01230901522-00汽水分离器v1__f36cd05a.png,-5,-3,0,0.0,-8,"arc_fill_max=0.25, arc_fill_min=0.08, circle_fill_min=0.3, line_aspect=4.0, min_area=24.0"
2,ok,BTJ01230901522-00汽水分离器v2__9f41a97f.png,-5,-3,0,0.0,-8,"arc_fill_max=0.25, arc_fill_min=0.08, circle_fill_min=0.3, line_aspect=4.0, min_area=24.0"
2,ok,BTJ01231501522-00短轴承座(盖)v2__923f3197.png,-7,-1,0,0.0,-8,"arc_fill_max=0.25, arc_fill_min=0.08, circle_fill_min=0.3, line_aspect=4.0, min_area=24.0"
2,ok,BTJ01231501522-00短轴承座(盖)v3__42db91c9.png,-7,-1,0,0.0,-8,"arc_fill_max=0.25, arc_fill_min=0.08, circle_fill_min=0.3, line_aspect=4.0, min_area=24.0"
2,ok,BTJ01231501522-00短轴承座(盖)v1__d80be3da.png,-6,-1,0,0.0,-7,"arc_fill_max=0.25, arc_fill_min=0.08, circle_fill_min=0.3, line_aspect=4.0, min_area=24.0"
3,ok,BTJ01230901522-00汽水分离器v1__f36cd05a.png,-5,-3,0,0.0,-8,"arc_fill_max=0.3, arc_fill_min=0.05, circle_fill_min=0.3, line_aspect=4.0, min_area=24.0"
3,ok,BTJ01230901522-00汽水分离器v2__9f41a97f.png,-5,-3,0,0.0,-8,"arc_fill_max=0.3, arc_fill_min=0.05, circle_fill_min=0.3, line_aspect=4.0, min_area=24.0"
3,ok,BTJ01231501522-00短轴承座(盖)v2__923f3197.png,-7,-1,0,0.0,-8,"arc_fill_max=0.3, arc_fill_min=0.05, circle_fill_min=0.3, line_aspect=4.0, min_area=24.0"
3,ok,BTJ01231501522-00短轴承座(盖)v3__42db91c9.png,-7,-1,0,0.0,-8,"arc_fill_max=0.3, arc_fill_min=0.05, circle_fill_min=0.3, line_aspect=4.0, min_area=24.0"
3,ok,BTJ01231501522-00短轴承座(盖)v1__d80be3da.png,-6,-1,0,0.0,-7,"arc_fill_max=0.3, arc_fill_min=0.05, circle_fill_min=0.3, line_aspect=4.0, min_area=24.0"
4,ok,BTJ01230901522-00汽水分离器v1__f36cd05a.png,-5,-3,0,0.0,-8,"arc_fill_max=0.3, arc_fill_min=0.08, circle_fill_min=0.3, line_aspect=4.0, min_area=24.0"
4,ok,BTJ01230901522-00汽水分离器v2__9f41a97f.png,-5,-3,0,0.0,-8,"arc_fill_max=0.3, arc_fill_min=0.08, circle_fill_min=0.3, line_aspect=4.0, min_area=24.0"
4,ok,BTJ01231501522-00短轴承座(盖)v2__923f3197.png,-7,-1,0,0.0,-8,"arc_fill_max=0.3, arc_fill_min=0.08, circle_fill_min=0.3, line_aspect=4.0, min_area=24.0"
4,ok,BTJ01231501522-00短轴承座(盖)v3__42db91c9.png,-7,-1,0,0.0,-8,"arc_fill_max=0.3, arc_fill_min=0.08, circle_fill_min=0.3, line_aspect=4.0, min_area=24.0"
4,ok,BTJ01231501522-00短轴承座(盖)v1__d80be3da.png,-6,-1,0,0.0,-7,"arc_fill_max=0.3, arc_fill_min=0.08, circle_fill_min=0.3, line_aspect=4.0, min_area=24.0"
