combo_index,status,sample,lines_delta,circles_delta,arcs_delta,ink_ratio_delta,components_delta,thresholds
1,ok,J1424042-00出料正压隔离器v2__8f59d038.png,-19,-2,0,0.0,-21,"arc_fill_max=0.25, arc_fill_min=0.05, circle_fill_min=0.3, line_aspect=4.0, min_area=24.0"
1,ok,J1424042-00出料正压隔离器v1__be1dc1e1.png,-18,-2,0,0.0,-20,"arc_fill_max=0.25, arc_fill_min=0.05, circle_fill_min=0.3, line_aspect=4.0, min_area=24.0"
1,ok,J0724006-02搅拌器组件v1__cf0b8ba1.png,-8,-6,0,0.0,-14,"arc_fill_max=0.25, arc_fill_min=0.05, circle_fill_min=0.3, line_aspect=4.0, min_area=24.0"
1,ok,J0724006-02搅拌器组件v2__d13715c9.png,-8,-6,0,0.0,-14,"arc_fill_max=0.25, arc_fill_min=0.05, circle_fill_min=0.3, line_aspect=4.0, min_area=24.0"
1,ok,J0225034-05罐体部分v1__496f492d.png,-2,-11,0,0.0,-13,"arc_fill_max=0.25, arc_fill_min=0.05, circle_fill_min=0.3, line_aspect=4.0, min_area=24.0"
2,ok,J1424042-00出料正压隔离器v2__8f59d038.png,-19,-2,0,0.0,-21,"arc_fill_max=0.25, arc_fill_min=0.08, circle_fill_min=0.3, line_aspect=4.0, min_area=24.0"
2,ok,J1424042-00出料正压隔离器v1__be1dc1e1.png,-18,-2,0,0.0,-20,"arc_fill_max=0.25, arc_fill_min=0.08, circle_fill_min=0.3, line_aspect=4.0, min_area=24.0"
2,ok,J0724006-02搅拌器组件v1__cf0b8ba1.png,-8,-6,0,0.0,-14,"arc_fill_max=0.25, arc_fill_min=0.08, circle_fill_min=0.3, line_aspect=4.0, min_area=24.0"
2,ok,J0724006-02搅拌器组件v2__d13715c9.png,-8,-6,0,0.0,-14,"arc_fill_max=0.25, arc_fill_min=0.08, circle_fill_min=0.3, line_aspect=4.0, min_area=24.0"
2,ok,J0225034-05罐体部分v1__496f492d.png,-2,-11,0,0.0,-13,"arc_fill_max=0.25, arc_fill_min=0.08, circle_fill_min=0.3, line_aspect=4.0, min_area=24.0"
3,ok,J1424042-00出料正压隔离器v2__8f59d038.png,-19,-2,0,0.0,-21,"arc_fill_max=0.3, arc_fill_min=0.05, circle_fill_min=0.3, line_aspect=4.0, min_area=24.0"
3,ok,J1424042-00出料正压隔离器v1__be1dc1e1.png,-18,-2,0,0.0,-20,"arc_fill_max=0.3, arc_fill_min=0.05, circle_fill_min=0.3, line_aspect=4.0, min_area=24.0"
3,ok,J0724006-02搅拌器组件v1__cf0b8ba1.png,-8,-6,0,0.0,-14,"arc_fill_max=0.3, arc_fill_min=0.05, circle_fill_min=0.3, line_aspect=4.0, min_area=24.0"
3,ok,J0724006-02搅拌器组件v2__d13715c9.png,-8,-6,0,0.0,-14,"arc_fill_max=0.3, arc_fill_min=0.05, circle_fill_min=0.3, line_aspect=4.0, min_area=24.0"
3,ok,J0225034-05罐体部分v1__496f492d.png,-2,-11,0,0.0,-13,"arc_fill_max=0.3, arc_fill_min=0.05, circle_fill_min=0.3, line_aspect=4.0, min_area=24.0"
4,ok,J1424042-00出料正压隔离器v2__8f59d038.png,-19,-2,0,0.0,-21,"arc_fill_max=0.3, arc_fill_min=0.08, circle_fill_min=0.3, line_aspect=4.0, min_area=24.0"
4,ok,J1424042-00出料正压隔离器v1__be1dc1e1.png,-18,-2,0,0.0,-20,"arc_fill_max=0.3, arc_fill_min=0.08, circle_fill_min=0.3, line_aspect=4.0, min_area=24.0"
4,ok,J0724006-02搅拌器组件v1__cf0b8ba1.png,-8,-6,0,0.0,-14,"arc_fill_max=0.3, arc_fill_min=0.08, circle_fill_min=0.3, line_aspect=4.0, min_area=24.0"
4,ok,J0724006-02搅拌器组件v2__d13715c9.png,-8,-6,0,0.0,-14,"arc_fill_max=0.3, arc_fill_min=0.08, circle_fill_min=0.3, line_aspect=4.0, min_area=24.0"
4,ok,J0225034-05罐体部分v1__496f492d.png,-2,-11,0,0.0,-13,"arc_fill_max=0.3, arc_fill_min=0.08, circle_fill_min=0.3, line_aspect=4.0, min_area=24.0"
