combo_index,sample,lines,circles,arcs,ink_ratio,components
1,BTJ01230901522-00汽水分离器v1__f36cd05a.png,8,0,0,0.0238,8
1,BTJ01230901522-00汽水分离器v2__9f41a97f.png,8,0,0,0.0238,8
1,BTJ01231101522-00自动进料装置v1__ed0666ed.png,3,0,1,0.0157,4
1,BTJ01231101522-00自动进料装置v2__e0007441.png,3,0,1,0.0157,4
1,BTJ01231201522-00拖车DN1500v1__367bd8de.png,0,0,0,0.008,0
1,BTJ01231201522-00拖车DN1500v2__6da497fb.png,0,0,0,0.008,0
1,BTJ01231301522-00蜗轮蜗杆传动出料机构v1__89176167.png,2,2,0,0.0143,4
1,BTJ01231301522-00蜗轮蜗杆传动出料机构v2__0bd0b61f.png,2,2,0,0.0143,4
1,BTJ01231301522-00蜗轮蜗杆传动出料机构v3__a0178782.png,2,2,0,0.0143,4
1,BTJ01231301522-01轴向定位轴承v1__3d251799.png,5,0,0,0.0217,5
1,BTJ01231301522-01轴向定位轴承v2__0c88289b.png,5,0,0,0.0217,5
1,BTJ01231501522-00短轴承座(盖)v1__d80be3da.png,7,1,2,0.0306,10
1,BTJ01231501522-00短轴承座(盖)v2__923f3197.png,6,2,2,0.0303,10
1,BTJ01231501522-00短轴承座(盖)v3__42db91c9.png,6,2,2,0.0303,10
1,BTJ01232801522-01电加热箱v1__d5549abb.png,6,0,0,0.0156,6
1,BTJ01232801522-01电加热箱v2__b8a6335f.png,6,0,0,0.0156,6
1,BTJ01239601522-03扭转弹簧v1__c9712988.png,4,0,0,0.0206,4
1,BTJ01239601522-03扭转弹簧v2__d4055527.png,4,0,0,0.0206,4
1,BTJ01239601522-03扭转弹簧v3__97695b78.png,4,0,0,0.0206,4
1,BTJ01239901522-00拖轮组件v1__f953a9aa.png,2,4,1,0.0237,7
