combo_index,sample,lines,circles,arcs,ink_ratio,components
1,BTJ01230901522-00汽水分离器v1__f36cd05a.png,8,0,0,0.0238,8
1,BTJ01230901522-00汽水分离器v2__9f41a97f.png,8,0,0,0.0238,8
1,BTJ01231101522-00自动进料装置v1__ed0666ed.png,3,0,1,0.0157,4
1,BTJ01231101522-00自动进料装置v2__e0007441.png,3,0,1,0.0157,4
1,BTJ01231201522-00拖车DN1500v1__367bd8de.png,0,0,0,0.008,0
1,BTJ01231201522-00拖车DN1500v2__6da497fb.png,0,0,0,0.008,0
1,BTJ01231301522-00蜗轮蜗杆传动出料机构v1__89176167.png,2,2,0,0.0143,4
1,BTJ01231301522-00蜗轮蜗杆传动出料机构v2__0bd0b61f.png,2,2,0,0.0143,4
1,BTJ01231301522-00蜗轮蜗杆传动出料机构v3__a0178782.png,2,2,0,0.0143,4
1,BTJ01231301522-01轴向定位轴承v1__3d251799.png,5,0,0,0.0217,5
1,BTJ01231301522-01轴向定位轴承v2__0c88289b.png,5,0,0,0.0217,5
1,BTJ01231501522-00短轴承座(盖)v1__d80be3da.png,7,1,2,0.0306,10
1,BTJ01231501522-00短轴承座(盖)v2__923f3197.png,6,2,2,0.0303,10
1,BTJ01231501522-00短轴承座(盖)v3__42db91c9.png,6,2,2,0.0303,10
1,BTJ01232801522-01电加热箱v1__d5549abb.png,6,0,0,0.0156,6
1,BTJ01232801522-01电加热箱v2__b8a6335f.png,6,0,0,0.0156,6
1,BTJ01239601522-03扭转弹簧v1__c9712988.png,4,0,0,0.0206,4
1,BTJ01239601522-03扭转弹簧v2__d4055527.png,4,0,0,0.0206,4
1,BTJ01239601522-03扭转弹簧v3__97695b78.png,4,0,0,0.0206,4
1,BTJ01239901522-00拖轮组件v1__f953a9aa.png,2,4,1,0.0237,7
1,BTJ01239901522-00拖轮组件v2__b504d1da.png,2,4,1,0.0237,7
1,BTJ02230101102-12手轮组件v1__cb759bc6.png,2,0,1,0.0099,3
1,BTJ02230101102-12手轮组件v2__13c5ab8f.png,2,0,1,0.0099,3
1,BTJ02230301120-03保护罩组件v1__421bee49.png,5,0,1,0.0314,6
1,BTJ02230301120-03保护罩组件v2__1c38aef8.png,5,0,1,0.0314,6
1,BTJ14240301522-00防爆视灯组件v1__4e552f9c.png,21,1,1,0.0567,23
1,BTJ14240301522-00防爆视灯组件v2__17e347e5.png,21,1,1,0.0567,23
1,J0224014-09液压开盖组件v1__6286fef0.png,1,2,0,0.0108,3
1,J0224014-09液压开盖组件v2__e202134c.png,1,2,0,0.0108,3
1,J0224025-06-01-03出料凸缘v1__aafe6178.png,0,0,0,0.004,0
1,J0224025-06-01-03出料凸缘v2__16247ad5.png,0,0,0,0.004,0
1,J0224036-10搅拌减速机机罩v1__5eed34b6.png,0,0,0,0.0055,0
1,J0224036-10搅拌减速机机罩v2__ba59344c.png,0,0,0,0.0055,0
1,J0224036-12真空组件v1__afb52b21.png,2,1,0,0.0101,3
1,J0224036-12真空组件v2__3fd09453.png,2,1,0,0.0115,3
1,J0224070-04-07捕集口v1__1c5ae458.png,3,0,0,0.0221,3
1,J0224070-04-07捕集口v2__06a7d6f4.png,5,0,0,0.0169,5
1,J0224071-11-02过滤芯组件v1__0b306c32.png,2,1,1,0.0103,4
1,J0224071-11-02过滤芯组件v2__d3385e3a.png,2,1,1,0.0103,4
1,J0224071-11捕集器组件v1__de954dda.png,6,1,1,0.0184,8
1,J0224071-11捕集器组件v2__cb5ad6b5.png,6,1,1,0.0184,8
1,J0225001-09-04旋转组件v1__f2571330.png,0,3,0,0.0089,3
1,J0225001-09-04旋转组件v2__d36e853c.png,0,3,0,0.0089,3
1,J0225004-04-04轴头组件v1__b939ba01.png,3,0,1,0.0245,4
1,J0225004-04-04轴头组件v2__9d595d0d.png,3,0,1,0.0246,4
1,J0225004-04-05下封板v1__edf9e961.png,2,1,0,0.0074,3
1,J0225004-04-05下封板v2__53b21619.png,2,1,0,0.0075,3
1,J0225004-04搅拌桨组件v1__7e4698aa.png,1,0,0,0.008,1
1,J0225004-04搅拌桨组件v2__9ada7b6a.png,1,0,0,0.0079,1
1,J0225004-08搅拌轴组件v1__b78e8b4d.png,2,0,0,0.0132,2
